active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-10-30,4,-6,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,361,2,3,0,0,0,0,0,0,0,0,0,0,0,2.7
True,2003-11-01,0,13,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,624,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.8
True,2003-11-10,2,-3,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,235,1,2,0,0,0,0,1,0,0,0,0,0,0,1.7
True,2003-11-14,2,2,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,121,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2003-11-15,0,-3,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,203,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2003-11-21,7,-3,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1353,2,5,1,2,2,2,1,1,1,0,0,1,3,3.8
True,2003-11-22,13,-7,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,1904,4,11,3,4,2,2,3,2,0,1,0,0,1,10.2
True,2003-11-26,14,-1,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS HORNETS,LOSS,2048,5,14,3,6,1,1,2,3,1,1,0,1,5,7.2
True,2003-11-28,2,-5,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,505,1,3,0,0,0,0,1,0,2,0,1,1,1,1.7
True,2003-11-29,0,0,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,LOSS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2003-12-06,16,22,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1360,6,8,2,2,2,2,2,0,2,1,1,1,2,15.5
True,2003-12-09,8,-2,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,676,3,7,1,2,1,2,1,1,0,1,0,0,1,5.5
