active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-10-29,0,-6,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,280,0,1,0,0,0,0,0,1,0,0,0,1,1,-1.8
True,2003-10-30,0,-11,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,658,0,1,0,0,0,0,0,1,4,2,0,2,0,2.4
True,2003-11-01,3,0,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,680,0,0,0,0,3,4,1,1,1,0,0,2,0,2.3
True,2003-11-05,8,15,CLEVELAND CAVALIERS,HOME,DENVER NUGGETS,LOSS,1879,3,7,0,0,2,2,1,2,7,2,0,1,2,10.7
True,2003-11-07,2,2,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,810,0,4,0,0,2,2,0,1,3,0,0,1,1,0.2
True,2003-11-08,2,1,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,389,1,3,0,0,0,0,0,0,2,1,0,0,1,2.3
True,2003-11-10,3,4,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1620,0,5,0,0,3,3,1,4,3,0,0,1,0,2.5
True,2003-11-12,7,3,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,767,2,3,0,0,3,3,0,1,1,0,0,2,0,4.7
True,2003-11-14,2,-10,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,1054,0,2,0,0,2,2,0,2,4,0,0,0,1,3.6
True,2003-11-15,6,-2,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,1564,2,4,0,1,2,3,0,4,2,0,1,3,4,2.3
True,2003-11-18,11,7,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,1281,2,3,0,0,7,10,0,3,2,0,0,1,2,9.0
True,2003-11-19,12,12,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,1277,3,6,0,0,6,7,0,2,8,0,0,0,1,14.4
True,2003-11-21,6,-9,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,921,3,5,0,0,0,0,0,3,1,0,0,2,1,2.9
True,2003-11-22,5,-9,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,1297,1,2,0,0,3,3,1,1,2,0,0,0,2,5.6
True,2003-11-26,2,-1,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS HORNETS,LOSS,1108,0,4,0,1,2,2,0,3,3,1,0,1,3,1.0
True,2003-11-28,5,5,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1319,1,4,0,0,3,4,0,3,5,1,0,2,3,4.4
True,2003-11-29,2,-7,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,LOSS,759,0,1,0,0,2,2,0,1,4,1,0,1,0,4.4
True,2003-12-02,7,-2,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,1563,3,5,0,0,1,3,0,0,4,0,0,4,3,1.5
True,2003-12-03,2,-13,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,LOSS,887,0,3,0,0,2,3,0,2,2,1,0,1,0,1.5
True,2003-12-06,7,17,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1221,3,5,0,0,1,1,0,4,3,0,1,0,2,7.9
True,2003-12-09,4,-7,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,740,1,2,0,0,2,2,0,0,1,0,0,1,1,2.3
True,2003-12-11,4,5,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,541,1,1,0,0,2,2,0,1,3,0,0,1,0,5.1
True,2003-12-13,2,-2,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,1071,1,4,0,0,0,0,0,2,3,0,0,2,4,-1.3
