active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-10-31,6,-9,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,LOSS,957,2,5,0,0,2,2,3,2,2,0,1,1,4,5.5
True,2003-11-01,5,13,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,1280,2,4,0,0,1,2,1,1,2,0,2,0,2,5.6
True,2003-11-03,0,7,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,956,0,4,0,0,0,0,2,2,1,4,0,4,4,-1.7
True,2003-11-05,6,-5,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1166,3,6,0,0,0,0,2,1,1,1,1,0,3,5.9
True,2003-11-07,3,1,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1340,1,3,0,0,1,2,1,1,0,2,0,0,2,3.1
True,2003-11-08,5,-27,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,996,2,3,0,0,1,1,0,2,0,0,1,1,2,3.2
True,2003-11-10,4,0,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,712,2,2,0,0,0,0,1,3,1,0,1,0,3,5.2
True,2003-11-12,5,-2,MEMPHIS GRIZZLIES,AWAY,ORLANDO MAGIC,WIN,802,2,3,0,0,1,2,1,2,1,1,0,0,4,4.7
True,2003-11-15,6,14,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,WIN,1575,2,4,0,0,2,2,4,9,2,1,1,0,2,11.8
True,2003-11-19,0,9,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,LOSS,965,0,0,0,0,0,0,1,3,2,0,0,0,2,2.2
True,2003-11-21,7,12,MEMPHIS GRIZZLIES,AWAY,SEATTLE SUPERSONICS,WIN,1322,3,5,0,0,1,2,1,3,1,1,0,0,1,7.2
True,2003-11-23,0,-9,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,932,0,1,0,0,0,0,0,0,0,1,1,0,3,-0.2
True,2003-11-25,6,-8,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1313,3,6,0,0,0,0,5,2,0,0,1,0,2,7.0
True,2003-11-28,9,-9,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,LOSS,1168,3,7,0,0,3,4,0,1,0,0,1,0,3,4.7
True,2003-11-29,3,20,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,WIN,1173,1,4,0,0,1,2,3,1,1,1,1,0,0,5.0
True,2003-12-01,4,5,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,926,2,3,0,0,0,0,1,1,0,1,1,1,2,3.6
True,2003-12-03,3,13,MEMPHIS GRIZZLIES,AWAY,NEW JERSEY NETS,WIN,1187,1,2,0,0,1,2,1,4,1,2,0,2,3,3.0
True,2003-12-05,5,7,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,947,2,6,0,0,1,3,4,1,1,2,2,0,0,8.0
True,2003-12-07,2,6,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,WIN,1045,1,3,0,0,0,0,3,7,1,3,0,2,1,5.8
True,2003-12-10,5,12,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,WIN,1033,2,4,0,0,1,2,3,5,0,0,1,0,1,6.5
True,2003-12-12,2,-20,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,806,1,1,0,0,0,0,0,1,0,0,1,1,3,0.5
True,2003-12-13,0,11,MEMPHIS GRIZZLIES,HOME,NEW JERSEY NETS,WIN,1078,0,1,0,0,0,0,0,1,0,2,2,1,0,2.0
True,2003-12-15,0,3,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,935,0,2,0,0,0,0,0,5,0,0,0,0,2,-0.7
True,2003-12-16,4,-1,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,914,2,2,0,0,0,2,0,2,0,1,1,0,2,4.1
True,2003-12-19,4,-2,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,1139,1,2,0,0,2,4,2,3,0,2,1,0,1,6.8
True,2003-12-20,2,3,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS HORNETS,LOSS,1150,1,3,0,0,0,0,2,2,0,1,1,0,2,3.2
True,2003-12-22,0,-10,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,848,0,0,0,0,0,0,1,2,1,0,1,1,2,0.9
True,2003-12-23,6,0,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1389,3,7,0,0,0,1,3,3,0,2,1,0,3,6.4
True,2003-12-26,2,-2,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,LOSS,1173,1,1,0,0,0,1,0,2,0,0,1,1,3,0.4
True,2003-12-27,10,26,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,1759,5,7,0,0,0,0,4,3,1,2,1,0,1,13.8
