active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-02-20,4,11,ORLANDO MAGIC,HOME,DENVER NUGGETS,WIN,1123,2,8,0,0,0,0,4,4,2,0,1,1,1,3.9
True,2004-02-22,0,-5,ORLANDO MAGIC,AWAY,DETROIT PISTONS,WIN,167,0,0,0,0,0,0,0,1,0,0,0,1,2,-1.5
True,2004-02-24,2,-4,ORLANDO MAGIC,HOME,PORTLAND TRAIL BLAZERS,LOSS,225,1,3,0,0,0,0,0,0,0,1,0,0,1,0.9
True,2004-02-27,4,-9,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,LOSS,502,2,3,0,0,0,0,0,0,0,1,0,0,1,3.3
True,2004-02-28,2,1,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,121,1,1,0,0,0,0,1,1,0,0,0,0,1,2.3
True,2004-03-01,6,4,ORLANDO MAGIC,AWAY,BOSTON CELTICS,LOSS,850,3,4,0,0,0,0,1,3,1,0,0,1,2,4.9
True,2004-03-03,2,5,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,448,1,2,0,0,0,0,0,2,0,0,0,0,3,0.4
True,2004-03-05,6,8,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,889,2,3,0,0,2,2,0,5,0,0,1,2,3,3.7
True,2004-03-07,4,5,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,558,1,3,0,0,2,2,0,2,0,0,0,0,0,2.9
True,2004-03-09,2,4,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,299,1,1,0,0,0,0,0,0,0,0,0,1,0,0.7
