active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-10-29,15,3,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,WIN,2486,5,13,1,4,4,6,1,3,5,2,0,4,3,9.0
True,2003-10-31,9,-22,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,2344,4,18,1,5,0,0,4,6,2,0,0,4,1,-0.4
True,2003-11-01,4,22,MINNESOTA TIMBERWOLVES,HOME,TORONTO RAPTORS,WIN,2269,2,7,0,1,0,0,0,4,6,1,1,1,3,4.8
True,2003-11-03,24,-4,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,2559,10,19,2,4,2,2,1,2,5,2,0,2,0,19.5
True,2003-11-05,23,8,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,LOSS,2749,9,18,2,4,3,5,1,3,8,1,0,1,2,19.6
True,2003-11-07,22,26,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,WIN,1939,7,15,2,4,6,6,0,3,4,0,0,1,2,16.2
True,2003-11-08,15,4,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,WIN,2264,6,13,3,6,0,1,1,4,1,0,0,1,0,9.5
True,2003-11-11,20,-7,MINNESOTA TIMBERWOLVES,HOME,SEATTLE SUPERSONICS,LOSS,2275,7,16,3,8,3,4,0,4,5,2,0,3,1,14.5
True,2003-11-13,27,7,MINNESOTA TIMBERWOLVES,AWAY,CHICAGO BULLS,WIN,2783,11,21,2,8,3,4,0,8,2,3,0,3,0,20.1
True,2003-11-14,6,-18,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,2086,2,13,0,4,2,2,1,2,2,2,0,0,4,0.8
True,2003-11-18,8,0,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,1999,3,11,0,1,2,2,1,5,2,1,0,2,3,2.9
True,2003-11-21,31,17,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,2240,11,21,4,9,5,5,1,3,2,2,1,1,1,25.0
True,2003-11-22,14,20,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,WIN,2265,5,14,0,6,4,5,1,3,2,2,0,2,1,8.4
True,2003-11-25,0,-16,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,2218,0,8,0,2,0,0,0,5,5,1,1,1,1,-0.3
True,2003-11-26,5,2,MINNESOTA TIMBERWOLVES,HOME,NEW YORK KNICKS,LOSS,2261,2,11,1,2,0,0,1,1,6,1,0,1,1,2.9
True,2003-11-28,24,4,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,WIN,2415,7,16,0,3,10,12,1,5,4,0,1,3,0,17.5
True,2003-11-29,14,7,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,2336,6,17,0,5,2,2,1,6,3,4,0,5,1,7.7
True,2003-12-03,21,13,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,WIN,2383,9,20,2,7,1,1,1,5,3,2,0,1,0,15.9
True,2003-12-05,37,0,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,2706,14,20,1,1,8,9,0,2,5,1,0,5,3,27.1
True,2003-12-07,27,3,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,WIN,2331,12,23,1,5,2,3,0,1,2,4,0,4,2,16.2
True,2003-12-09,27,-2,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,2424,12,21,0,1,3,4,1,3,4,0,1,1,0,20.8
True,2003-12-12,21,18,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,WIN,2427,8,19,0,2,5,6,0,4,7,1,0,4,1,13.2
True,2003-12-15,14,18,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,WIN,1918,5,14,0,1,4,4,1,3,3,2,0,3,4,7.3
True,2003-12-16,14,17,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,WIN,1714,5,14,0,1,4,6,0,5,5,1,0,4,1,7.0
True,2003-12-18,8,11,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,2466,4,12,0,2,0,0,0,3,8,2,0,4,3,4.5
True,2003-12-20,17,31,MINNESOTA TIMBERWOLVES,HOME,INDIANA PACERS,WIN,2219,6,11,1,1,4,4,0,3,4,0,1,2,0,14.1
True,2003-12-23,31,9,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,WIN,2500,9,20,1,1,12,14,0,3,1,2,0,2,1,21.0
True,2003-12-26,21,4,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2448,9,21,3,7,0,2,0,1,4,0,0,0,3,11.0
True,2003-12-27,12,9,MINNESOTA TIMBERWOLVES,AWAY,SEATTLE SUPERSONICS,WIN,2231,5,13,0,3,2,2,0,1,5,1,0,5,1,4.3
True,2003-12-30,27,-1,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,2480,11,22,2,3,3,3,0,4,3,0,0,4,2,14.5
True,2004-01-02,7,18,MINNESOTA TIMBERWOLVES,HOME,ATLANTA HAWKS,WIN,2477,2,13,1,3,2,2,1,3,8,1,1,2,0,5.6
True,2004-01-03,21,6,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,2470,8,21,5,10,0,0,1,3,3,0,0,4,1,8.8
True,2004-01-06,30,17,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,2297,13,27,0,4,4,5,1,4,1,1,1,1,0,19.2
True,2004-01-08,25,22,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,WIN,2321,8,20,1,4,8,8,0,4,4,0,0,2,1,15.8
True,2004-01-10,7,2,MINNESOTA TIMBERWOLVES,HOME,MIAMI HEAT,WIN,2495,2,12,0,3,3,4,0,4,2,0,0,1,0,0.6
