active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-11-01,5,5,WASHINGTON WIZARDS,HOME,NEW JERSEY NETS,LOSS,1166,2,7,1,2,0,0,1,1,3,1,0,0,0,5.0
True,2003-11-05,0,-7,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,WIN,416,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2003-11-07,0,-2,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2003-11-08,0,-7,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,397,0,0,0,0,0,0,0,0,1,2,0,0,0,2.7
True,2003-11-15,3,-15,WASHINGTON WIZARDS,HOME,SAN ANTONIO SPURS,LOSS,601,1,2,1,1,0,0,0,0,1,0,0,0,1,2.3
True,2003-11-21,2,-7,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,LOSS,604,1,1,0,0,0,0,1,2,3,0,0,0,0,5.1
True,2003-11-25,8,13,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1521,3,5,2,3,0,0,1,1,3,2,0,2,0,8.8
True,2003-11-26,11,-11,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1178,4,8,1,3,2,2,0,2,1,0,0,0,1,7.9
True,2003-11-29,5,-7,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,LOSS,1207,1,4,1,2,2,2,0,0,0,0,1,0,3,2.1
True,2003-12-02,6,-10,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1005,2,6,1,4,1,1,0,1,2,0,1,2,1,2.6
True,2003-12-05,3,-4,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,1048,1,5,1,1,0,0,0,2,0,1,0,1,0,0.5
True,2003-12-10,4,9,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,414,2,2,0,0,0,0,0,0,0,0,0,1,0,2.4
True,2004-03-23,0,-6,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,540,0,3,0,1,0,0,0,2,0,0,0,0,0,-1.5
True,2004-03-26,0,0,WASHINGTON WIZARDS,AWAY,GOLDEN STATE WARRIORS,LOSS,327,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2004-03-28,0,0,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,LOSS,41,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2004-03-29,0,-9,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,LOSS,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
