active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-03,6,11,MIAMI HEAT,AWAY,NEW JERSEY NETS,WIN,1290,2,4,0,0,2,2,2,1,1,0,2,0,3,6.6
True,2004-11-04,4,-1,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,976,2,4,0,0,0,0,1,3,0,0,1,1,4,1.7
True,2004-11-06,9,3,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,1075,4,7,0,0,1,2,2,3,0,0,1,1,4,5.7
True,2004-11-09,4,-3,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,1028,2,6,0,0,0,0,0,3,1,0,1,0,1,2.5
True,2004-11-11,4,5,MIAMI HEAT,HOME,DALLAS MAVERICKS,LOSS,923,2,4,0,0,0,0,1,3,0,1,0,1,1,3.2
True,2004-11-12,10,0,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,LOSS,1506,5,11,0,0,0,0,2,2,0,0,1,3,2,3.2
True,2004-11-14,8,-2,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,1098,2,3,0,0,4,4,3,0,2,0,1,1,2,9.1
True,2004-11-16,10,-16,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1676,4,8,0,0,2,2,1,4,2,2,0,1,2,9.5
True,2004-11-17,6,3,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,WIN,773,3,4,0,0,0,0,3,2,1,0,1,2,2,5.7
True,2004-11-19,10,-5,MIAMI HEAT,HOME,UTAH JAZZ,WIN,1831,5,10,0,0,0,0,5,2,1,1,1,0,4,9.9
True,2005-02-11,2,-2,MIAMI HEAT,AWAY,CHARLOTTE BOBCATS,WIN,360,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2005-02-16,2,1,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,WIN,668,1,4,0,0,0,0,0,1,2,0,1,0,1,1.6
True,2005-02-22,6,-7,MIAMI HEAT,AWAY,CHICAGO BULLS,LOSS,1185,1,6,0,0,4,4,3,3,1,0,1,0,2,5.8
True,2005-02-23,2,-8,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,550,1,4,0,0,0,0,1,0,0,0,0,1,1,-1.1
True,2005-02-26,9,-10,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,LOSS,1083,3,7,0,0,3,3,3,3,0,0,2,0,2,8.9
True,2005-03-01,2,-1,CHARLOTTE BOBCATS,HOME,SACRAMENTO KINGS,WIN,274,1,2,0,0,0,0,0,0,0,0,0,0,2,0.2
True,2005-03-02,2,-3,CHARLOTTE BOBCATS,AWAY,NEW ORLEANS HORNETS,LOSS,236,1,2,0,0,0,0,0,0,0,0,0,0,1,0.6
True,2005-03-04,5,-8,CHARLOTTE BOBCATS,AWAY,BOSTON CELTICS,LOSS,970,2,9,0,0,1,2,3,2,2,0,1,1,1,2.5
True,2005-03-08,6,-11,CHARLOTTE BOBCATS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,835,3,6,0,0,0,0,0,1,0,1,0,0,4,2.7
True,2005-03-11,12,-12,CHARLOTTE BOBCATS,AWAY,PHILADELPHIA 76ERS,LOSS,1395,6,10,0,0,0,0,1,4,0,1,0,1,0,9.3
True,2005-03-12,0,7,CHARLOTTE BOBCATS,HOME,LOS ANGELES LAKERS,LOSS,861,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2005-03-14,4,3,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,LOSS,826,1,2,0,0,2,2,1,1,1,0,1,0,0,5.4
True,2005-03-16,2,-1,CHARLOTTE BOBCATS,AWAY,DENVER NUGGETS,LOSS,349,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2005-03-23,5,8,CHARLOTTE BOBCATS,HOME,PHOENIX SUNS,LOSS,484,2,3,0,0,1,1,0,3,0,0,0,0,1,4.2
True,2005-03-26,0,1,CHARLOTTE BOBCATS,HOME,MIAMI HEAT,WIN,351,0,2,0,0,0,0,0,0,0,0,0,0,2,-2.2
True,2005-03-30,6,2,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,LOSS,529,3,7,0,0,0,0,0,0,0,1,0,0,0,3.3
True,2005-04-01,6,5,CHARLOTTE BOBCATS,HOME,TORONTO RAPTORS,LOSS,642,3,5,0,0,0,0,0,3,0,0,1,0,1,4.9
True,2005-04-02,2,0,CHARLOTTE BOBCATS,AWAY,CHICAGO BULLS,LOSS,404,1,1,0,0,0,0,0,2,0,0,0,1,1,0.9
True,2005-04-05,0,-4,CHARLOTTE BOBCATS,HOME,LOS ANGELES CLIPPERS,LOSS,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2005-04-06,0,-3,CHARLOTTE BOBCATS,AWAY,PHILADELPHIA 76ERS,LOSS,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
