active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-05,0,1,ORLANDO MAGIC,AWAY,NEW ORLEANS HORNETS,WIN,343,0,1,0,0,0,0,0,2,0,0,0,0,0,-0.1
True,2004-11-09,0,-4,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2004-11-10,2,23,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,868,1,2,0,0,0,0,1,3,2,0,0,1,0,3.0
True,2004-12-08,0,-1,ORLANDO MAGIC,AWAY,UTAH JAZZ,WIN,264,0,1,0,0,0,0,1,0,0,0,1,0,1,0.3
True,2004-12-12,2,5,ORLANDO MAGIC,AWAY,LOS ANGELES LAKERS,LOSS,403,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2004-12-13,2,0,ORLANDO MAGIC,AWAY,PHOENIX SUNS,LOSS,129,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2004-12-15,0,-3,ORLANDO MAGIC,AWAY,SAN ANTONIO SPURS,LOSS,831,0,1,0,0,0,0,1,4,0,1,0,0,3,1.0
True,2004-12-18,0,-3,ORLANDO MAGIC,HOME,DENVER NUGGETS,WIN,265,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0
True,2005-01-20,4,1,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,236,2,2,0,0,0,0,0,1,1,0,0,0,1,4.0
True,2005-01-23,2,-2,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,339,1,1,0,0,0,0,1,2,0,0,0,0,0,3.0
True,2005-01-25,0,-2,SACRAMENTO KINGS,HOME,NEW JERSEY NETS,WIN,205,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2005-01-27,0,0,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,LOSS,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2005-01-30,0,-6,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,WIN,366,0,2,0,0,0,0,0,0,0,0,0,1,1,-2.8
True,2005-02-01,6,-1,SACRAMENTO KINGS,HOME,SEATTLE SUPERSONICS,LOSS,621,2,2,0,0,2,4,2,2,1,0,0,2,4,3.7
True,2005-02-02,4,-3,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,WIN,533,2,3,0,0,0,2,1,0,0,0,0,0,1,2.2
True,2005-02-04,2,3,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,WIN,449,1,2,0,0,0,0,1,0,0,0,0,0,1,1.3
True,2005-03-01,0,-3,PHILADELPHIA 76ERS,AWAY,MILWAUKEE BUCKS,WIN,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2005-04-20,9,5,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,900,4,5,0,1,1,2,0,3,1,0,0,1,0,7.3
