active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-03,2,15,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,WIN,1419,1,4,0,0,0,0,3,7,0,1,0,2,5,0.8
True,2004-11-05,6,-3,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,LOSS,1034,3,4,0,0,0,0,2,5,1,0,1,1,2,6.9
True,2004-11-14,5,1,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,1152,2,6,0,0,1,2,1,5,0,0,3,1,2,3.7
True,2004-11-16,9,-4,PHILADELPHIA 76ERS,HOME,SEATTLE SUPERSONICS,LOSS,1562,4,6,0,0,1,1,1,5,0,1,1,3,2,6.5
True,2004-11-18,4,0,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,1265,2,5,0,0,0,0,3,4,0,1,2,2,3,3.8
True,2004-11-21,0,-3,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,792,0,1,0,0,0,0,2,0,0,0,0,2,1,-1.7
True,2004-11-24,7,-4,PHILADELPHIA 76ERS,HOME,BOSTON CELTICS,WIN,1298,3,6,0,0,1,1,2,4,1,0,1,0,2,7.2
True,2004-11-26,13,-2,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1394,6,11,0,0,1,3,4,2,1,1,2,2,1,11.0
True,2004-11-27,0,-3,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,LOSS,159,0,0,0,0,0,0,0,0,0,0,0,1,3,-2.2
True,2004-12-01,2,-29,PHILADELPHIA 76ERS,AWAY,SAN ANTONIO SPURS,LOSS,1522,0,5,0,0,2,2,3,4,2,2,0,1,2,3.4
True,2004-12-03,4,-2,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1016,2,4,0,0,0,0,1,5,0,0,0,1,4,1.6
True,2004-12-08,0,-13,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,804,0,2,0,0,0,0,0,2,0,0,1,3,5,-5.1
True,2004-12-10,13,10,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,2081,5,7,0,0,3,3,4,10,2,1,6,1,4,19.9
True,2004-12-12,6,-2,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,WIN,1635,2,5,0,0,2,2,1,8,1,0,2,2,1,6.1
True,2004-12-14,10,18,PHILADELPHIA 76ERS,HOME,DENVER NUGGETS,WIN,2062,5,11,0,0,0,2,8,3,2,1,4,3,5,10.2
True,2004-12-17,6,8,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1040,3,4,0,0,0,0,5,0,1,0,0,1,4,6.0
True,2004-12-18,5,8,PHILADELPHIA 76ERS,AWAY,MILWAUKEE BUCKS,WIN,2225,2,5,0,0,1,2,6,9,0,0,3,3,4,6.3
True,2004-12-20,2,-2,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,LOSS,1736,1,2,0,0,0,4,1,5,0,0,3,2,3,0.5
True,2004-12-22,7,-6,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,1160,2,3,0,0,3,4,1,3,0,0,1,0,4,6.0
True,2004-12-27,10,2,PHILADELPHIA 76ERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1574,5,8,0,0,0,0,3,3,1,0,3,1,6,8.8
True,2004-12-28,6,-3,PHILADELPHIA 76ERS,AWAY,SEATTLE SUPERSONICS,WIN,1061,2,3,0,0,2,3,3,5,0,0,1,1,3,6.4
True,2004-12-31,4,-9,PHILADELPHIA 76ERS,AWAY,DENVER NUGGETS,LOSS,1193,2,4,0,0,0,0,3,0,0,1,1,1,1,4.4
True,2005-01-02,1,-7,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,LOSS,536,0,1,0,0,1,2,1,2,0,0,0,2,4,-2.4
True,2005-01-03,3,0,PHILADELPHIA 76ERS,AWAY,GOLDEN STATE WARRIORS,WIN,1227,0,3,0,0,3,4,2,2,2,0,1,0,1,4.2
True,2005-01-05,8,13,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,WIN,1391,4,6,0,0,0,0,2,4,0,0,2,0,3,8.2
True,2005-01-07,3,-3,PHILADELPHIA 76ERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,883,1,3,0,0,1,2,0,7,0,0,0,3,4,-1.6
True,2005-01-10,8,7,PHILADELPHIA 76ERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1361,2,5,0,0,4,5,0,5,0,1,1,1,4,5.5
True,2005-01-19,5,7,PHILADELPHIA 76ERS,AWAY,CHARLOTTE BOBCATS,WIN,1077,2,3,0,0,1,2,1,3,0,0,2,0,3,5.1
True,2005-01-22,24,8,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,LOSS,2115,11,13,0,0,2,2,6,10,0,0,4,2,5,25.3
True,2005-01-24,16,11,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,1910,6,11,0,0,4,6,3,8,2,0,3,0,3,16.7
True,2005-01-26,5,-2,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,LOSS,1938,1,6,0,0,3,5,6,5,2,0,0,2,1,5.1
True,2005-01-28,10,-12,PHILADELPHIA 76ERS,AWAY,NEW ORLEANS HORNETS,LOSS,1727,4,7,0,0,2,3,0,5,0,2,3,2,5,7.9
True,2005-01-29,5,-5,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,WIN,1105,1,3,0,0,3,4,1,3,0,0,1,1,5,2.2
True,2005-01-31,9,0,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,2176,4,6,0,0,1,2,3,5,0,1,3,4,4,7.1
True,2005-02-02,16,-26,PHILADELPHIA 76ERS,HOME,HOUSTON ROCKETS,LOSS,1787,6,10,0,0,4,6,3,4,0,0,1,4,4,9.0
