active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-12-10,3,-13,NEW JERSEY NETS,HOME,NEW ORLEANS HORNETS,WIN,447,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2004-12-11,2,9,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,WIN,346,1,3,0,1,0,0,2,2,0,0,0,1,0,1.3
True,2004-12-14,2,0,NEW JERSEY NETS,HOME,NEW YORK KNICKS,LOSS,180,0,1,0,1,2,2,0,0,0,0,1,0,1,1.6
True,2004-12-17,0,-7,NEW JERSEY NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,350,0,2,0,1,0,0,0,1,0,1,0,0,0,-0.1
True,2004-12-19,3,-6,NEW JERSEY NETS,AWAY,TORONTO RAPTORS,LOSS,987,1,4,1,3,0,0,1,1,0,0,0,1,3,-0.6
True,2004-12-21,3,4,NEW JERSEY NETS,AWAY,CHARLOTTE BOBCATS,WIN,645,1,2,1,1,0,0,0,2,1,0,0,0,0,3.3
True,2004-12-22,0,-2,NEW JERSEY NETS,HOME,CLEVELAND CAVALIERS,WIN,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2004-12-28,0,-3,NEW JERSEY NETS,AWAY,CHICAGO BULLS,WIN,71,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2004-12-30,0,1,NEW JERSEY NETS,HOME,INDIANA PACERS,LOSS,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2005-01-04,0,-6,NEW JERSEY NETS,AWAY,WASHINGTON WIZARDS,LOSS,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2005-01-13,0,0,NEW JERSEY NETS,AWAY,HOUSTON ROCKETS,LOSS,26,0,1,0,1,0,0,0,0,0,1,0,0,0,0.3
