active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-03,2,-7,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,LOSS,670,1,3,0,0,0,0,0,0,0,0,0,3,3,-3.9
True,2004-11-05,6,-5,BOSTON CELTICS,HOME,INDIANA PACERS,LOSS,983,3,4,0,0,0,0,2,3,1,0,0,1,2,5.6
True,2004-11-06,2,11,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1050,1,2,0,0,0,0,1,3,2,0,0,0,0,4.0
True,2004-11-10,2,-4,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,WIN,1062,1,2,0,0,0,0,0,3,0,1,0,0,2,2.1
True,2004-11-12,0,4,BOSTON CELTICS,HOME,CHARLOTTE BOBCATS,WIN,352,0,2,0,0,0,0,0,1,0,0,0,0,1,-1.5
True,2004-11-17,0,-3,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,LOSS,686,0,3,0,0,0,0,3,2,1,0,0,1,2,-0.5
True,2004-11-19,0,-14,BOSTON CELTICS,HOME,SAN ANTONIO SPURS,LOSS,667,0,2,0,0,0,0,0,0,0,0,1,0,2,-1.5
True,2004-12-05,0,-3,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,LOSS,127,0,1,0,0,0,0,0,0,0,1,0,2,0,-1.7
True,2005-01-02,0,10,BOSTON CELTICS,AWAY,DETROIT PISTONS,LOSS,370,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2005-01-19,0,0,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,363,0,0,0,0,0,0,1,0,0,0,0,0,1,0.3
True,2005-01-29,2,0,BOSTON CELTICS,AWAY,CHICAGO BULLS,WIN,362,1,1,0,0,0,0,1,0,0,0,0,0,1,2.0
