active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-03,23,10,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1673,9,11,2,2,3,3,2,5,4,1,0,2,4,22.0
True,2004-11-05,11,8,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,WIN,1731,5,8,0,1,1,1,2,3,1,0,0,4,2,5.6
True,2004-11-06,8,22,UTAH JAZZ,AWAY,DENVER NUGGETS,WIN,1668,3,5,1,2,1,2,2,1,2,0,0,2,4,4.8
True,2004-11-08,7,10,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,2027,3,7,0,2,1,2,1,5,3,0,0,0,5,5.2
True,2004-11-10,2,-3,UTAH JAZZ,HOME,TORONTO RAPTORS,LOSS,1540,1,7,0,1,0,0,3,6,1,0,0,1,3,-0.1
True,2004-11-13,4,12,UTAH JAZZ,HOME,DETROIT PISTONS,WIN,1406,1,5,0,0,2,2,2,2,3,2,0,1,1,5.6
True,2004-11-16,2,-7,UTAH JAZZ,AWAY,CHARLOTTE BOBCATS,WIN,1201,0,4,0,0,2,2,0,3,2,1,0,1,2,0.7
True,2004-11-17,4,-23,UTAH JAZZ,AWAY,ORLANDO MAGIC,LOSS,1384,0,3,0,1,4,4,0,2,1,1,0,3,4,-0.4
True,2004-11-24,9,-4,UTAH JAZZ,HOME,CHICAGO BULLS,LOSS,1536,3,8,0,0,3,3,7,2,1,0,0,3,5,5.8
True,2004-11-26,8,3,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1690,4,7,0,1,0,0,0,7,2,0,0,0,1,7.8
True,2004-11-27,15,-6,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,1813,6,11,0,0,3,5,2,2,0,1,0,5,2,6.1
True,2004-11-30,19,-21,UTAH JAZZ,HOME,PHOENIX SUNS,LOSS,2424,9,15,0,1,1,2,5,2,2,0,0,0,1,16.8
True,2004-12-01,15,-6,UTAH JAZZ,AWAY,SEATTLE SUPERSONICS,LOSS,2187,5,10,0,1,5,6,4,5,4,0,1,2,4,13.8
True,2004-12-04,22,-6,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,2220,10,15,1,1,1,2,3,2,2,0,0,1,3,17.0
True,2004-12-06,12,-14,UTAH JAZZ,HOME,MIAMI HEAT,LOSS,1963,4,9,0,0,4,4,2,2,1,1,0,0,4,9.4
True,2004-12-08,16,-8,UTAH JAZZ,HOME,ORLANDO MAGIC,LOSS,2297,6,13,0,0,4,4,3,3,2,1,1,0,5,13.4
True,2004-12-10,17,7,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,2845,6,12,0,0,5,5,2,4,3,1,0,1,5,13.7
True,2004-12-12,19,-11,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2515,7,13,0,2,5,6,2,5,2,1,0,4,2,12.8
True,2004-12-14,16,-2,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,2108,5,8,0,0,6,7,4,1,2,0,0,0,3,15.3
True,2004-12-15,15,-10,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,1848,7,14,0,1,1,2,0,2,2,1,0,1,3,8.4
True,2004-12-17,10,-15,UTAH JAZZ,AWAY,BOSTON CELTICS,LOSS,2402,3,10,0,0,4,8,6,1,2,1,0,3,6,4.1
True,2004-12-19,21,10,UTAH JAZZ,AWAY,NEW YORK KNICKS,LOSS,2366,8,16,0,1,5,7,3,5,2,3,0,1,1,18.8
True,2004-12-20,17,5,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,WIN,2369,7,12,0,0,3,4,1,2,4,1,0,2,5,12.1
True,2004-12-22,14,-12,UTAH JAZZ,AWAY,TORONTO RAPTORS,LOSS,2376,6,12,0,2,2,3,1,3,3,1,0,2,2,9.5
True,2004-12-27,22,-17,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,LOSS,2352,10,16,2,2,0,0,5,2,2,2,0,1,4,19.7
True,2004-12-29,10,-9,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2375,4,12,0,0,2,2,5,3,0,0,0,2,2,4.8
True,2004-12-31,13,-4,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,2201,5,12,0,0,3,4,4,6,1,2,0,2,4,9.9
True,2005-01-02,12,-26,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,1726,4,11,0,1,4,6,0,3,1,1,1,3,4,3.8
True,2005-01-03,17,-8,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,2554,8,17,0,0,1,2,1,4,1,1,0,1,3,9.3
True,2005-01-05,23,-10,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,LOSS,2186,9,15,0,0,5,7,3,3,1,1,0,3,4,15.4
True,2005-01-07,13,-8,UTAH JAZZ,AWAY,CHICAGO BULLS,LOSS,2126,4,6,0,0,5,6,3,2,1,2,0,4,3,10.2
True,2005-01-08,8,-12,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,2067,4,17,0,2,0,0,2,3,1,1,0,0,3,0.5
True,2005-01-12,16,-5,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,2006,7,12,0,1,2,2,4,4,3,2,2,3,4,15.3
True,2005-01-13,16,-1,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,2143,7,12,0,1,2,2,3,5,1,0,0,3,4,10.1
True,2005-01-15,9,-17,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,LOSS,2080,3,9,0,0,3,6,4,6,0,1,0,3,3,4.1
True,2005-01-17,19,5,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,2373,7,17,1,3,4,6,5,2,6,2,0,1,4,16.8
True,2005-01-22,4,-4,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,LOSS,1834,1,8,0,0,2,4,4,4,2,2,0,2,3,2.2
True,2005-01-23,16,-18,UTAH JAZZ,AWAY,SEATTLE SUPERSONICS,LOSS,2059,5,11,0,0,6,6,4,2,1,0,0,1,4,11.8
True,2005-01-26,17,18,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,WIN,2463,6,12,0,0,5,6,2,3,3,1,1,3,3,12.5
True,2005-01-28,11,-10,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1888,5,12,0,0,1,1,2,7,0,0,2,1,2,7.7
True,2005-01-29,8,-5,UTAH JAZZ,HOME,NEW JERSEY NETS,LOSS,1095,3,6,1,2,1,2,4,1,3,0,0,0,1,9.4
True,2005-02-01,3,-4,UTAH JAZZ,HOME,CHARLOTTE BOBCATS,LOSS,1081,0,6,0,0,3,6,3,1,1,2,1,2,3,0.2
True,2005-02-05,17,21,UTAH JAZZ,HOME,NEW ORLEANS HORNETS,WIN,1718,3,6,0,0,11,12,2,5,2,2,0,3,3,15.7
True,2005-02-07,12,4,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,2053,4,8,0,0,4,4,1,6,2,2,0,1,4,11.3
True,2005-02-08,15,-11,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1916,5,9,0,1,5,11,3,4,1,0,0,0,5,10.3
True,2005-02-11,6,-4,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1340,3,7,0,0,0,0,1,1,1,0,0,2,0,2.0
True,2005-02-14,16,0,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,1421,7,11,0,1,2,3,6,4,0,0,0,1,6,12.7
True,2005-02-15,18,-15,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2245,7,16,0,0,4,4,1,5,2,0,0,1,2,11.4
True,2005-02-23,9,-19,UTAH JAZZ,HOME,DALLAS MAVERICKS,LOSS,2084,1,6,0,0,7,8,1,4,2,2,1,2,2,8.0
True,2005-02-25,18,4,UTAH JAZZ,HOME,BOSTON CELTICS,LOSS,1881,6,8,0,0,6,6,1,7,2,1,1,4,3,15.5
True,2005-02-27,28,2,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,2267,12,17,0,0,4,4,1,1,2,1,0,1,2,22.5
True,2005-02-28,10,0,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1769,5,9,0,0,0,0,1,6,1,0,0,2,1,6.5
True,2005-03-02,11,2,UTAH JAZZ,HOME,ATLANTA HAWKS,WIN,1415,5,11,0,1,1,2,3,3,2,1,1,3,5,6.0
True,2005-03-04,18,4,UTAH JAZZ,AWAY,NEW ORLEANS HORNETS,LOSS,2266,5,14,0,2,8,9,2,3,1,3,0,1,1,14.4
True,2005-03-06,12,1,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,2167,5,11,0,0,2,3,4,2,2,1,0,0,4,10.1
True,2005-03-08,18,-4,UTAH JAZZ,HOME,INDIANA PACERS,LOSS,1935,5,11,1,1,7,8,4,3,2,0,1,1,3,15.5
True,2005-03-11,13,-13,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,LOSS,2133,4,7,0,0,5,5,1,2,1,1,0,1,4,10.1
True,2005-03-13,10,-2,UTAH JAZZ,AWAY,DETROIT PISTONS,LOSS,2348,5,14,0,0,0,0,1,6,2,0,0,0,3,4.9
True,2005-03-15,6,-10,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,1485,2,11,0,0,2,4,1,1,0,0,0,1,3,-2.9
True,2005-03-16,8,-19,UTAH JAZZ,AWAY,INDIANA PACERS,LOSS,1777,3,8,0,1,2,2,0,3,0,0,0,2,3,1.3
True,2005-03-18,14,-8,UTAH JAZZ,AWAY,NEW JERSEY NETS,LOSS,1787,5,8,0,1,4,4,0,4,2,1,0,4,3,8.8
True,2005-03-19,15,9,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,2191,6,14,0,2,3,4,2,3,1,1,1,2,4,8.3
True,2005-03-22,23,17,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,2229,10,12,0,0,3,3,3,5,5,0,0,5,4,19.1
True,2005-03-24,18,-1,UTAH JAZZ,HOME,WASHINGTON WIZARDS,LOSS,2527,8,15,0,0,2,2,0,4,6,1,0,0,5,15.1
True,2005-03-26,12,1,UTAH JAZZ,HOME,MILWAUKEE BUCKS,WIN,1730,5,8,0,0,2,3,1,5,1,1,0,0,3,10.7
True,2005-03-28,18,-8,UTAH JAZZ,HOME,HOUSTON ROCKETS,LOSS,2232,8,12,0,0,2,2,1,8,1,0,0,1,4,14.0
True,2005-03-30,16,-17,UTAH JAZZ,HOME,DENVER NUGGETS,LOSS,2015,8,17,0,0,0,0,1,4,3,2,0,0,3,12.1
True,2005-04-01,13,-15,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,LOSS,1635,3,11,0,0,7,12,7,4,1,2,0,2,3,10.1
True,2005-04-05,17,7,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,2039,7,17,0,0,3,4,3,4,4,1,0,2,2,11.8
True,2005-04-06,14,-37,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2122,7,12,0,0,0,0,3,2,1,2,0,1,2,12.0
True,2005-04-08,28,15,UTAH JAZZ,AWAY,NEW ORLEANS HORNETS,WIN,2097,10,16,0,0,8,9,0,5,0,3,0,3,4,20.3
True,2005-04-09,10,-3,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,2181,2,7,0,1,6,6,2,7,1,0,1,1,5,7.8
True,2005-04-12,18,-23,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1763,8,12,0,0,2,4,2,3,1,0,0,2,2,12.2
