active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-17,11,-12,MILWAUKEE BUCKS,HOME,MIAMI HEAT,LOSS,1369,3,7,0,1,5,7,0,2,4,1,0,2,3,7.7
True,2004-11-19,6,-9,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1488,2,5,0,1,2,4,0,3,3,0,0,4,5,-0.5
True,2004-11-21,11,-5,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,LOSS,1443,4,11,1,6,2,2,1,2,3,0,0,0,1,7.9
True,2004-11-23,18,6,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,LOSS,2231,7,15,2,2,2,2,1,4,11,2,0,3,4,17.3
True,2004-11-24,7,3,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,LOSS,1513,3,10,1,3,0,0,0,1,3,1,1,2,0,3.3
True,2004-11-27,8,9,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1357,4,8,0,2,0,0,1,1,3,0,0,1,2,5.3
True,2004-11-30,7,-7,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,LOSS,1495,3,7,1,2,0,0,0,1,4,0,0,0,3,5.2
True,2004-12-01,2,9,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,971,1,5,0,1,0,2,0,2,2,0,1,1,6,-2.6
True,2004-12-04,11,-21,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,1811,5,9,1,5,0,0,0,0,4,1,0,1,3,8.3
True,2004-12-07,3,4,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,WIN,1383,1,4,1,3,0,0,0,0,4,1,0,0,2,3.6
True,2004-12-08,2,15,MILWAUKEE BUCKS,HOME,MIAMI HEAT,LOSS,1187,1,8,0,2,0,0,0,0,1,0,0,0,4,-4.1
True,2004-12-10,16,5,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,1743,5,12,3,4,3,3,1,2,4,0,0,1,2,11.9
True,2004-12-12,11,8,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,1496,3,6,2,5,3,4,0,3,3,1,0,0,3,10.4
True,2004-12-14,15,-7,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,LOSS,1637,4,11,2,5,5,6,1,3,4,1,0,0,2,13.1
True,2004-12-16,7,-4,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,LOSS,1337,3,6,1,1,0,0,0,2,4,1,0,1,1,7.0
True,2004-12-18,2,-26,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,LOSS,1209,1,6,0,1,0,0,0,1,1,0,0,2,5,-4.8
True,2004-12-22,22,6,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1788,9,17,1,4,3,3,1,2,4,1,0,0,0,18.8
True,2004-12-26,6,-1,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1409,3,8,0,0,0,0,1,3,8,2,0,0,2,10.0
True,2004-12-28,13,5,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,1597,5,10,1,2,2,2,1,1,3,1,0,4,4,6.5
True,2004-12-29,6,-3,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1208,2,9,1,4,1,2,0,1,2,0,0,0,2,1.0
True,2004-12-31,17,-4,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,1732,8,19,1,4,0,2,2,3,7,2,0,2,2,12.5
True,2005-01-02,20,-14,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,LOSS,1512,9,13,2,3,0,0,1,4,3,0,0,2,1,16.1
True,2005-01-04,15,2,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,1539,5,9,0,2,5,7,0,4,7,1,0,0,1,16.6
True,2005-01-05,17,18,MILWAUKEE BUCKS,HOME,NEW JERSEY NETS,WIN,1834,7,12,2,5,1,2,0,5,6,3,0,6,1,13.3
True,2005-01-07,4,-14,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,1098,2,5,0,0,0,0,1,0,0,1,0,2,1,0.6
True,2005-01-08,10,10,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,1360,3,6,2,2,2,2,0,3,5,1,0,3,3,8.2
True,2005-01-11,14,-4,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1428,6,10,1,3,1,2,0,0,4,2,0,1,1,12.4
True,2005-01-12,8,-5,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,1116,3,8,1,3,1,2,0,0,3,0,0,2,2,2.5
True,2005-01-14,11,-3,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,1227,5,10,0,3,1,2,0,3,3,1,0,4,6,3.2
True,2005-01-15,12,-8,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1771,4,11,1,2,3,4,0,2,6,0,0,3,2,6.5
True,2005-01-17,11,8,MILWAUKEE BUCKS,AWAY,CHARLOTTE BOBCATS,WIN,1442,4,9,0,4,3,5,2,6,4,1,0,1,3,10.3
True,2005-01-19,13,-4,MILWAUKEE BUCKS,AWAY,NEW JERSEY NETS,LOSS,1440,4,9,2,3,3,3,2,2,3,0,0,3,0,9.4
True,2005-01-21,20,7,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1716,6,9,4,5,4,6,0,2,4,1,1,0,2,19.6
True,2005-01-23,8,8,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,1458,2,9,1,3,3,3,0,3,5,3,0,2,5,5.9
True,2005-01-26,15,0,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,LOSS,1245,6,17,3,6,0,0,1,5,5,1,0,0,5,10.2
