active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-03,3,0,NEW JERSEY NETS,HOME,MIAMI HEAT,LOSS,206,0,0,0,0,3,4,0,0,0,0,0,0,1,2.2
True,2004-11-06,0,-9,NEW JERSEY NETS,HOME,PHOENIX SUNS,LOSS,393,0,1,0,0,0,2,0,2,0,1,0,0,0,0.1
True,2004-11-10,0,-7,NEW JERSEY NETS,AWAY,PHILADELPHIA 76ERS,LOSS,300,0,1,0,0,0,0,0,0,0,0,0,1,1,-2.1
True,2004-11-13,0,-2,NEW JERSEY NETS,HOME,DALLAS MAVERICKS,LOSS,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2004-11-15,0,3,NEW JERSEY NETS,HOME,HOUSTON ROCKETS,LOSS,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2004-11-25,2,2,NEW JERSEY NETS,AWAY,LOS ANGELES CLIPPERS,LOSS,80,1,1,0,0,0,1,0,0,0,0,0,0,0,1.3
True,2004-11-26,5,-3,NEW JERSEY NETS,AWAY,SEATTLE SUPERSONICS,LOSS,791,2,3,0,0,1,2,2,1,0,0,1,2,3,2.5
True,2004-11-28,4,2,NEW JERSEY NETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,705,0,1,0,0,4,4,2,1,0,0,3,0,4,5.5
True,2004-11-30,4,-1,NEW JERSEY NETS,HOME,CHARLOTTE BOBCATS,WIN,726,1,4,0,0,2,2,2,1,0,0,2,2,2,1.9
True,2004-12-01,3,-5,NEW JERSEY NETS,AWAY,WASHINGTON WIZARDS,LOSS,819,1,3,0,0,1,2,1,1,1,0,1,0,3,2.1
True,2004-12-04,15,5,NEW JERSEY NETS,HOME,ATLANTA HAWKS,WIN,1226,5,9,0,0,5,6,2,4,0,1,1,0,5,12.6
True,2004-12-06,3,-6,NEW JERSEY NETS,HOME,TORONTO RAPTORS,WIN,1044,1,5,0,0,1,1,2,7,3,1,1,0,3,6.0
True,2004-12-07,5,-1,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,496,1,4,0,0,3,4,2,0,0,1,0,0,2,3.8
True,2004-12-10,2,-14,NEW JERSEY NETS,HOME,NEW ORLEANS HORNETS,WIN,867,1,1,0,0,0,0,1,1,0,0,1,3,3,-0.8
True,2004-12-11,10,-5,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,WIN,1218,4,7,0,0,2,3,3,4,1,1,2,2,4,9.1
True,2004-12-14,4,-15,NEW JERSEY NETS,HOME,NEW YORK KNICKS,LOSS,775,2,5,0,0,0,0,0,2,1,0,1,2,2,0.5
