active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-03,6,29,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1737,2,7,0,1,2,2,0,0,8,1,0,1,5,5.5
True,2004-11-05,15,31,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,WIN,1637,7,8,0,0,1,2,0,4,10,1,0,1,3,18.8
True,2004-11-06,6,6,UTAH JAZZ,AWAY,DENVER NUGGETS,WIN,1314,2,8,0,1,2,2,0,3,6,0,0,2,3,3.1
True,2004-11-08,3,6,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1052,1,4,0,1,1,2,0,2,4,0,0,2,5,-0.4
True,2004-11-10,16,3,UTAH JAZZ,HOME,TORONTO RAPTORS,LOSS,1617,5,11,0,0,6,7,1,1,1,1,0,1,1,11.2
True,2004-11-13,8,6,UTAH JAZZ,HOME,DETROIT PISTONS,WIN,1440,4,5,0,0,0,0,1,2,5,0,0,5,2,5.1
True,2004-11-16,6,-10,UTAH JAZZ,AWAY,CHARLOTTE BOBCATS,WIN,823,3,7,0,0,0,0,0,1,3,0,0,0,1,4.3
True,2004-11-17,0,-7,UTAH JAZZ,AWAY,ORLANDO MAGIC,LOSS,668,0,3,0,0,0,0,0,0,3,1,1,1,2,-0.1
True,2004-11-27,6,-4,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,492,3,5,0,0,0,0,0,0,1,2,0,1,2,4.6
True,2004-12-27,11,-11,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,LOSS,1917,4,11,0,1,3,3,0,4,6,0,1,2,4,7.4
True,2004-12-29,4,-8,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,395,2,4,0,0,0,0,0,0,1,0,0,0,4,1.1
True,2004-12-31,14,-5,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,2154,5,12,1,2,3,3,0,5,11,0,0,3,4,12.2
True,2005-01-02,12,-23,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,1725,5,11,0,2,2,2,1,1,6,0,0,3,2,7.7
True,2005-01-03,0,-8,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1559,0,5,0,0,0,0,0,2,6,2,0,4,0,-0.7
True,2005-01-05,0,0,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,LOSS,787,0,3,0,0,0,0,1,0,0,1,0,1,3,-2.6
True,2005-01-07,3,-1,UTAH JAZZ,AWAY,CHICAGO BULLS,LOSS,1596,0,5,0,0,3,6,0,5,8,0,2,1,1,5.4
True,2005-01-08,15,5,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,2148,5,13,1,3,4,4,1,2,5,3,0,2,2,12.9
True,2005-01-10,18,4,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,1747,5,10,1,1,7,8,0,3,4,1,0,1,3,15.1
True,2005-01-12,10,-2,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1785,4,13,0,2,2,3,0,5,11,0,1,3,3,7.8
