active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-03,2,5,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,LOSS,523,1,2,0,0,0,1,0,1,0,0,0,1,0,-0.1
True,2004-11-04,2,-4,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,854,1,4,0,0,0,0,0,0,0,0,0,0,1,-0.8
True,2004-11-06,2,-8,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,832,1,3,0,0,0,0,1,0,1,0,0,0,0,1.7
True,2004-11-09,4,9,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,WIN,1361,1,4,0,0,2,2,1,3,1,0,0,0,3,2.7
True,2004-11-10,6,-16,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,1556,2,6,0,1,2,4,3,2,0,0,0,2,2,1.7
True,2004-11-13,2,6,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,1225,1,6,0,0,0,0,0,6,3,1,0,2,0,1.1
True,2004-11-15,8,-3,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,WIN,1214,3,6,0,0,2,2,0,2,1,0,0,0,0,6.3
True,2004-11-18,11,20,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,WIN,1531,5,6,0,0,1,2,0,0,0,1,0,1,3,7.2
True,2004-11-20,3,14,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,1638,0,3,0,0,3,4,1,4,2,1,0,1,3,2.6
True,2004-11-21,7,-3,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,1198,3,5,0,0,1,1,0,1,1,1,1,1,1,6.0
True,2004-11-24,4,11,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,1779,2,7,0,0,0,0,1,3,1,0,0,1,2,0.4
True,2004-11-26,6,8,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2150,2,5,0,0,2,2,1,1,1,0,0,0,4,3.4
True,2004-11-27,2,21,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1734,1,5,0,0,0,0,0,3,2,0,0,1,2,-0.6
True,2004-11-29,2,-9,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,LOSS,633,1,3,0,0,0,0,1,1,1,0,0,0,1,1.6
True,2004-12-01,2,-3,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,1031,1,4,0,0,0,0,1,0,0,0,0,1,0,-0.7
True,2004-12-02,4,8,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,WIN,998,2,3,0,0,0,0,0,0,1,0,0,1,2,1.6
True,2004-12-04,10,17,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,1835,3,5,0,0,4,4,0,3,4,1,0,1,1,11.0
True,2004-12-07,2,-9,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,786,1,2,0,0,0,0,0,1,1,0,0,0,3,0.8
