active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-06,2,7,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,479,1,3,0,0,0,0,1,2,1,0,0,0,0,2.3
True,2004-11-12,2,3,BOSTON CELTICS,HOME,CHARLOTTE BOBCATS,WIN,148,1,1,0,0,0,0,1,0,0,0,0,0,0,2.4
True,2004-11-17,2,0,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,LOSS,196,1,1,0,0,0,0,0,1,0,0,0,0,1,1.6
True,2004-11-19,0,6,BOSTON CELTICS,HOME,SAN ANTONIO SPURS,LOSS,115,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2004-11-21,2,2,BOSTON CELTICS,HOME,SEATTLE SUPERSONICS,WIN,112,1,1,0,0,0,0,1,0,0,0,0,1,0,1.4
True,2004-11-23,0,0,BOSTON CELTICS,AWAY,INDIANA PACERS,LOSS,29,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2004-11-24,0,2,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,LOSS,191,0,2,0,0,0,0,0,1,1,0,0,1,1,-1.8
True,2004-11-28,2,-5,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,359,1,2,0,0,0,0,0,2,0,0,0,1,3,-0.6
True,2004-11-29,0,-4,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,144,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2004-12-01,2,0,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,128,0,1,0,0,2,2,0,0,0,0,0,1,0,0.3
True,2004-12-05,5,8,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,LOSS,498,2,4,0,0,1,2,1,1,1,2,1,0,1,6.6
True,2004-12-13,0,3,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,WIN,76,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2004-12-17,0,-5,BOSTON CELTICS,HOME,UTAH JAZZ,WIN,62,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2004-12-22,4,17,BOSTON CELTICS,HOME,NEW YORK KNICKS,WIN,1468,2,4,0,0,0,0,3,10,1,1,0,2,1,6.4
True,2004-12-26,0,-8,BOSTON CELTICS,AWAY,SAN ANTONIO SPURS,LOSS,556,0,1,0,0,0,2,1,2,1,1,1,1,1,0.8
True,2004-12-28,0,3,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,LOSS,411,0,2,0,0,0,0,1,1,1,0,0,0,1,-0.1
True,2004-12-29,0,-1,BOSTON CELTICS,AWAY,MEMPHIS GRIZZLIES,LOSS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2005-01-02,0,0,BOSTON CELTICS,AWAY,DETROIT PISTONS,LOSS,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2005-01-03,2,-6,BOSTON CELTICS,HOME,NEW ORLEANS HORNETS,WIN,486,1,3,0,0,0,0,1,2,0,0,1,1,2,0.5
True,2005-01-07,2,-8,BOSTON CELTICS,HOME,DETROIT PISTONS,LOSS,510,0,1,0,0,2,2,0,1,0,0,0,1,1,0.2
True,2005-01-08,3,13,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,1077,1,2,0,0,1,2,0,3,1,1,5,0,3,6.5
True,2005-01-10,5,13,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,616,2,4,0,0,1,2,2,3,3,0,0,0,0,7.0
True,2005-01-12,4,0,BOSTON CELTICS,AWAY,TORONTO RAPTORS,LOSS,242,2,2,0,0,0,0,0,0,1,1,0,0,0,5.1
True,2005-01-14,0,-5,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,309,0,1,0,0,0,0,1,1,0,0,1,0,1,0.6
True,2005-01-19,3,7,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,901,1,2,0,0,1,2,1,6,0,0,3,1,3,4.0
True,2005-01-21,3,3,BOSTON CELTICS,AWAY,NEW JERSEY NETS,LOSS,552,1,3,0,0,1,2,2,0,1,0,2,1,3,2.2
True,2005-01-22,6,4,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,1156,3,3,0,0,0,0,2,4,0,0,2,2,0,7.1
True,2005-01-25,3,0,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,902,0,2,0,0,3,4,1,3,0,0,1,1,4,0.9
True,2005-01-26,6,13,BOSTON CELTICS,HOME,INDIANA PACERS,WIN,1557,2,4,0,0,2,5,0,5,0,0,2,1,5,2.7
True,2005-01-28,6,-5,BOSTON CELTICS,HOME,PHOENIX SUNS,LOSS,1047,3,5,0,0,0,0,4,2,2,0,2,3,3,5.7
True,2005-01-29,0,-10,BOSTON CELTICS,AWAY,CHICAGO BULLS,WIN,150,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.6
True,2005-01-31,3,-7,BOSTON CELTICS,HOME,HOUSTON ROCKETS,LOSS,1146,1,4,0,0,1,2,1,1,0,1,2,3,3,-0.6
True,2005-02-02,0,-1,BOSTON CELTICS,HOME,NEW JERSEY NETS,WIN,643,0,2,0,0,0,2,2,3,0,0,1,1,2,-1.0
True,2005-02-04,2,-7,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,403,1,2,0,0,0,0,0,1,0,0,0,0,2,0.5
True,2005-02-06,8,-4,BOSTON CELTICS,AWAY,MINNESOTA TIMBERWOLVES,WIN,686,2,3,0,0,4,4,2,3,0,0,0,0,4,7.4
True,2005-02-08,2,-16,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,564,1,1,0,0,0,0,1,1,0,0,0,2,1,0.3
True,2005-02-09,4,-13,BOSTON CELTICS,HOME,LOS ANGELES CLIPPERS,WIN,808,2,6,0,0,0,0,3,2,0,0,0,1,2,1.5
True,2005-02-11,7,-1,BOSTON CELTICS,HOME,NEW YORK KNICKS,WIN,1032,3,4,0,0,1,2,2,5,1,0,2,0,4,8.4
True,2005-02-13,3,-11,BOSTON CELTICS,HOME,SACRAMENTO KINGS,LOSS,426,1,3,0,0,1,2,0,1,0,0,0,4,1,-3.2
True,2005-02-16,4,-4,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,616,1,3,0,0,2,2,2,4,0,0,2,2,2,3.5
True,2005-02-22,0,3,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,LOSS,184,0,0,0,0,0,0,0,2,0,0,0,0,2,-0.2
True,2005-02-23,2,-1,BOSTON CELTICS,AWAY,DENVER NUGGETS,LOSS,920,0,2,0,0,2,2,2,3,0,0,0,2,3,-0.3
True,2005-02-27,0,4,BOSTON CELTICS,AWAY,PHOENIX SUNS,WIN,137,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2005-03-04,0,4,BOSTON CELTICS,HOME,CHARLOTTE BOBCATS,WIN,405,0,2,0,0,0,0,1,4,0,0,0,2,0,-1.5
True,2005-03-14,2,-1,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,71,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2005-03-19,3,-5,BOSTON CELTICS,AWAY,NEW ORLEANS HORNETS,WIN,214,1,2,0,0,1,2,0,1,0,0,0,0,0,1.9
True,2005-03-23,6,0,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,274,2,4,0,0,2,2,3,0,0,0,0,1,0,5.1
True,2005-03-25,0,0,BOSTON CELTICS,HOME,CHICAGO BULLS,LOSS,307,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2005-03-26,2,0,BOSTON CELTICS,AWAY,DETROIT PISTONS,LOSS,808,1,1,0,0,0,0,1,5,0,0,0,0,1,3.5
True,2005-03-30,2,-1,BOSTON CELTICS,HOME,DALLAS MAVERICKS,LOSS,497,1,1,0,0,0,0,1,4,0,0,1,0,0,4.3
True,2005-04-01,6,16,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,895,3,3,0,0,0,0,1,4,3,2,0,0,3,9.9
True,2005-04-03,2,-12,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,LOSS,758,1,2,0,0,0,0,2,2,0,0,3,0,2,4.3
True,2005-04-05,2,3,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,WIN,397,1,2,0,0,0,0,1,2,0,0,0,0,5,0.3
True,2005-04-06,4,1,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1256,2,5,0,0,0,0,1,5,1,0,1,0,1,4.5
True,2005-04-09,3,12,BOSTON CELTICS,AWAY,NEW JERSEY NETS,LOSS,638,0,0,0,0,3,4,0,2,1,0,1,3,1,1.2
True,2005-04-13,2,2,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,WIN,585,1,1,0,0,0,0,0,0,0,0,0,0,2,0.9
True,2005-04-15,2,4,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,608,0,2,0,0,2,4,0,3,0,0,1,0,4,-0.2
