active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2004-11-18,2,1,CHARLOTTE BOBCATS,HOME,CLEVELAND CAVALIERS,LOSS,383,1,2,0,0,0,1,2,3,0,0,1,1,0,2.6
True,2004-11-20,1,2,CHARLOTTE BOBCATS,AWAY,CLEVELAND CAVALIERS,LOSS,720,0,3,0,0,1,2,2,2,0,0,1,3,1,-2.2
True,2004-11-21,4,4,CHARLOTTE BOBCATS,AWAY,DETROIT PISTONS,LOSS,1354,1,3,0,0,2,2,1,5,1,0,3,2,2,4.5
True,2004-11-23,2,-1,CHARLOTTE BOBCATS,HOME,DETROIT PISTONS,WIN,979,1,5,0,0,0,0,2,2,0,1,0,1,5,-1.1
True,2004-11-26,4,2,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,LOSS,512,2,2,0,0,0,0,0,4,0,0,1,1,1,3.9
True,2004-12-14,0,2,CHARLOTTE BOBCATS,HOME,NEW ORLEANS HORNETS,WIN,403,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0
True,2004-12-18,4,-11,CHARLOTTE BOBCATS,HOME,HOUSTON ROCKETS,WIN,1017,0,2,0,0,4,4,3,8,1,0,1,1,4,5.9
True,2004-12-21,7,5,CHARLOTTE BOBCATS,HOME,NEW JERSEY NETS,LOSS,1056,3,4,0,0,1,3,1,5,0,1,2,0,4,7.6
True,2004-12-22,2,2,CHARLOTTE BOBCATS,AWAY,HOUSTON ROCKETS,WIN,735,1,2,0,0,0,0,0,6,0,0,0,1,3,0.6
True,2004-12-26,5,-8,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,LOSS,718,2,4,0,0,1,3,0,3,0,1,0,1,2,2.3
True,2004-12-27,5,1,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,625,1,1,0,0,3,4,4,2,0,0,0,0,2,6.9
True,2005-01-07,10,2,CHARLOTTE BOBCATS,AWAY,ORLANDO MAGIC,LOSS,901,4,4,0,0,2,2,0,4,0,1,1,0,0,11.7
True,2005-01-11,0,8,CHARLOTTE BOBCATS,AWAY,CLEVELAND CAVALIERS,LOSS,805,0,2,0,0,0,0,1,2,2,0,3,1,0,2.4
True,2005-01-14,6,-21,CHARLOTTE BOBCATS,HOME,MEMPHIS GRIZZLIES,LOSS,824,3,4,0,0,0,0,3,1,1,0,0,0,2,6.7
True,2005-01-15,4,3,CHARLOTTE BOBCATS,AWAY,ATLANTA HAWKS,LOSS,1759,1,5,0,0,2,6,5,4,0,0,0,0,5,2.0
True,2005-01-17,1,-7,CHARLOTTE BOBCATS,HOME,MILWAUKEE BUCKS,LOSS,1010,0,1,0,0,1,2,2,4,0,0,0,0,3,1.3
True,2005-01-19,5,4,CHARLOTTE BOBCATS,HOME,PHILADELPHIA 76ERS,LOSS,1206,1,3,0,0,3,4,1,6,1,0,1,1,5,3.8
True,2005-01-21,4,-19,CHARLOTTE BOBCATS,HOME,DALLAS MAVERICKS,LOSS,964,1,2,0,0,2,4,2,3,1,0,1,0,3,4.7
True,2005-01-23,0,6,CHARLOTTE BOBCATS,AWAY,TORONTO RAPTORS,LOSS,259,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2005-01-25,2,0,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,LOSS,365,1,2,0,0,0,0,0,1,0,0,1,0,0,2.0
True,2005-01-27,3,-10,CHARLOTTE BOBCATS,AWAY,CHICAGO BULLS,LOSS,907,1,3,0,0,1,2,2,5,0,0,0,0,1,3.4
True,2005-01-28,4,-7,CHARLOTTE BOBCATS,HOME,TORONTO RAPTORS,WIN,969,2,4,0,0,0,0,2,5,0,0,0,3,5,-0.1
True,2005-01-30,4,-8,CHARLOTTE BOBCATS,AWAY,LOS ANGELES LAKERS,LOSS,1164,2,3,0,0,0,0,2,10,1,0,1,0,4,6.9
