active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-02,5,8,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,1012,2,4,0,0,1,2,1,2,1,2,0,0,2,5.8
True,2005-11-04,8,5,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1794,4,9,0,0,0,0,3,4,1,4,0,1,1,9.9
True,2005-11-06,11,6,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,LOSS,1656,5,10,0,2,1,2,2,4,0,1,1,3,1,6.5
True,2005-11-09,4,-7,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1146,1,8,0,0,2,2,3,0,2,0,0,0,3,1.1
True,2005-11-11,0,0,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,553,0,4,0,0,0,0,0,0,0,2,1,0,0,-0.1
True,2005-11-13,13,9,NEW YORK KNICKS,AWAY,SACRAMENTO KINGS,WIN,2016,6,10,1,1,0,0,1,4,6,4,0,3,6,13.1
True,2005-11-14,4,-4,NEW YORK KNICKS,AWAY,UTAH JAZZ,WIN,1164,1,4,0,0,2,4,2,2,0,0,0,3,1,-0.6
True,2005-11-16,5,-8,NEW YORK KNICKS,AWAY,LOS ANGELES LAKERS,LOSS,1385,2,6,0,0,1,4,2,1,3,2,0,1,1,4.8
True,2005-11-18,0,5,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,414,0,2,0,0,0,0,1,2,1,0,0,1,2,-1.2
True,2005-11-20,2,3,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,681,1,4,0,0,0,0,0,1,1,0,0,1,2,-1.2
True,2005-11-23,5,-7,NEW YORK KNICKS,AWAY,CHARLOTTE BOBCATS,LOSS,814,1,2,0,0,3,4,1,1,1,0,0,1,1,3.9
True,2005-11-26,3,-1,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,1582,1,4,0,0,1,3,2,2,4,1,1,2,5,2.3
True,2005-11-28,6,11,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,1281,3,3,0,0,0,2,1,1,1,2,0,1,4,5.4
True,2005-11-30,6,-1,NEW YORK KNICKS,HOME,CHICAGO BULLS,WIN,858,2,3,0,0,2,4,1,3,0,1,1,0,0,7.2
True,2005-12-02,6,14,NEW YORK KNICKS,AWAY,DETROIT PISTONS,LOSS,1639,3,5,0,0,0,0,1,4,1,3,1,1,4,7.4
True,2005-12-04,3,1,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1295,1,1,0,0,1,4,3,3,0,0,0,2,5,0.5
True,2005-12-06,2,10,NEW YORK KNICKS,AWAY,SEATTLE SUPERSONICS,WIN,667,0,2,0,0,2,2,0,2,2,1,0,0,4,2.0
True,2005-12-09,5,-4,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,1834,2,3,0,0,1,3,3,3,0,1,0,3,4,2.3
True,2005-12-12,4,-6,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,948,2,3,0,0,0,0,0,2,0,0,0,0,0,3.3
True,2005-12-14,10,-9,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,1988,5,9,0,0,0,0,2,5,3,2,0,2,2,9.9
True,2005-12-16,6,-3,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,1122,1,4,0,0,4,4,2,1,1,3,0,2,3,5.8
True,2005-12-17,7,-14,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,1878,1,3,0,0,5,6,3,7,2,1,0,1,2,9.7
True,2005-12-21,4,-5,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,LOSS,1809,2,3,0,0,0,4,0,3,2,3,1,1,1,5.7
True,2005-12-23,4,-3,NEW YORK KNICKS,HOME,UTAH JAZZ,WIN,1000,1,2,0,0,2,2,2,2,1,2,0,0,2,6.9
