active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-02,15,6,LOS ANGELES CLIPPERS,AWAY,SEATTLE SUPERSONICS,WIN,2189,6,12,0,0,3,7,5,3,1,1,2,3,2,11.1
True,2005-11-04,12,21,LOS ANGELES CLIPPERS,HOME,ATLANTA HAWKS,WIN,1541,4,12,0,0,4,6,3,6,4,0,3,1,2,11.4
True,2005-11-05,27,-1,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2583,10,17,0,0,7,8,3,6,4,0,4,0,5,26.2
True,2005-11-07,26,-15,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2398,11,16,0,0,4,8,3,5,3,0,2,5,3,18.5
True,2005-11-09,31,1,LOS ANGELES CLIPPERS,AWAY,WASHINGTON WIZARDS,WIN,2331,14,18,0,0,3,4,3,10,1,0,2,3,2,27.0
True,2005-11-10,23,3,LOS ANGELES CLIPPERS,AWAY,ATLANTA HAWKS,WIN,2310,9,14,0,0,5,8,2,5,0,0,3,1,3,18.4
True,2005-11-13,32,-3,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,2353,10,16,0,0,12,15,4,7,1,2,1,0,3,30.7
True,2005-11-15,20,30,LOS ANGELES CLIPPERS,HOME,MILWAUKEE BUCKS,WIN,2200,6,13,0,0,8,8,5,6,0,1,1,6,2,13.5
True,2005-11-18,23,14,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,2605,8,18,0,0,7,10,2,12,3,1,5,2,2,21.2
True,2005-11-20,32,15,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,2188,11,20,0,0,10,11,3,7,2,0,1,0,3,27.1
True,2005-11-23,21,10,LOS ANGELES CLIPPERS,HOME,TORONTO RAPTORS,WIN,2433,9,14,0,0,3,7,1,12,4,0,6,1,4,21.9
True,2005-11-25,20,-2,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,2526,7,13,0,0,6,11,4,7,1,2,3,3,1,18.0
True,2005-11-27,22,-1,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,LOSS,2304,7,15,0,0,8,8,2,8,5,2,2,2,3,21.8
