active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-01,4,-13,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,LOSS,1907,2,6,0,0,0,0,3,8,3,2,2,3,5,5.6
True,2005-11-02,19,-5,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,LOSS,2239,9,13,0,1,1,2,3,11,4,2,2,4,6,18.3
True,2005-11-04,23,19,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1934,11,14,0,0,1,2,6,11,1,1,6,1,1,29.2
True,2005-11-06,9,-25,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1760,4,9,0,1,1,2,3,4,2,2,1,2,4,7.7
True,2005-11-09,20,4,DENVER NUGGETS,HOME,SACRAMENTO KINGS,WIN,2263,8,13,0,0,4,6,2,9,0,1,6,1,3,20.4
True,2005-11-11,20,3,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,2104,9,20,0,0,2,3,4,13,1,1,2,0,2,18.2
True,2005-11-13,18,11,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2429,7,13,0,0,4,5,4,18,3,1,7,3,2,23.7
True,2005-11-15,11,1,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,2231,5,12,0,0,1,2,1,8,2,2,2,1,4,9.5
True,2005-11-16,15,13,DENVER NUGGETS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1860,5,10,0,0,5,8,2,13,1,3,3,5,4,13.3
True,2005-11-18,20,8,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2011,8,13,0,1,4,5,1,12,2,2,2,1,2,21.0
True,2005-11-20,21,23,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,2046,9,14,0,0,3,3,7,14,1,1,4,0,5,26.4
True,2005-11-22,24,-4,DENVER NUGGETS,AWAY,WASHINGTON WIZARDS,WIN,2153,10,15,0,0,4,4,2,12,2,1,6,4,3,23.9
True,2005-11-23,15,-23,DENVER NUGGETS,AWAY,DETROIT PISTONS,LOSS,2122,7,15,0,0,1,2,4,6,1,1,0,1,2,11.4
True,2005-11-28,10,-1,DENVER NUGGETS,HOME,NEW JERSEY NETS,LOSS,2124,4,12,0,0,2,4,4,6,0,4,1,3,2,7.9
True,2005-11-30,16,-6,DENVER NUGGETS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,2346,7,17,0,0,2,2,1,15,1,2,8,2,4,16.8
True,2005-12-02,33,14,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,2454,12,19,0,0,9,9,1,19,2,3,3,3,2,33.6
True,2005-12-03,9,-8,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,2152,4,15,0,1,1,1,4,8,2,1,3,1,5,6.8
True,2005-12-06,24,5,DENVER NUGGETS,HOME,ATLANTA HAWKS,WIN,2228,10,13,0,0,4,4,2,10,2,0,5,4,4,22.6
True,2005-12-09,18,12,DENVER NUGGETS,AWAY,MIAMI HEAT,WIN,2156,6,15,0,0,6,6,4,8,0,0,2,1,2,14.7
True,2005-12-10,14,-7,DENVER NUGGETS,AWAY,ORLANDO MAGIC,LOSS,2045,5,13,0,0,4,6,2,10,0,0,0,2,4,6.9
True,2005-12-13,10,13,DENVER NUGGETS,AWAY,CHARLOTTE BOBCATS,WIN,1525,5,12,0,0,0,0,1,3,1,0,2,4,3,2.1
