active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-02,10,-5,CHICAGO BULLS,HOME,CHARLOTTE BOBCATS,WIN,1047,3,8,0,1,4,4,3,1,1,0,0,1,1,7.3
True,2005-11-05,13,5,CHICAGO BULLS,AWAY,NEW JERSEY NETS,LOSS,1940,4,13,0,0,5,5,3,6,1,0,0,2,2,7.3
True,2005-11-07,19,-9,CHICAGO BULLS,HOME,SAN ANTONIO SPURS,LOSS,2148,7,14,0,0,5,6,0,6,2,0,0,1,2,13.0
True,2005-11-09,5,-5,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,2085,2,8,1,1,0,0,0,4,1,1,0,2,2,0.3
True,2005-11-12,21,11,CHICAGO BULLS,HOME,UTAH JAZZ,WIN,1778,7,12,1,2,6,7,1,2,1,0,2,0,1,18.0
True,2005-11-14,11,-11,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,1493,5,13,0,0,1,4,2,3,0,0,0,0,2,4.2
True,2005-11-16,8,-7,CHICAGO BULLS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1779,3,12,0,1,2,2,2,3,4,2,1,0,2,7.8
True,2005-11-18,16,-5,CHICAGO BULLS,AWAY,SEATTLE SUPERSONICS,LOSS,1165,6,10,2,2,2,2,1,3,0,0,0,0,0,13.0
True,2005-11-20,14,0,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,WIN,1976,5,10,0,1,4,5,0,6,2,1,0,3,1,9.4
True,2005-11-25,17,15,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,WIN,1942,7,15,0,0,3,3,2,5,1,0,1,1,2,11.8
True,2005-11-26,6,-4,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,WIN,1342,2,5,0,0,2,2,0,4,1,1,2,1,2,5.8
True,2005-11-29,21,0,CHICAGO BULLS,HOME,ORLANDO MAGIC,WIN,1990,9,19,1,3,2,2,1,4,0,1,0,1,1,12.8
