active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-04,2,-12,MINNESOTA TIMBERWOLVES,AWAY,SEATTLE SUPERSONICS,LOSS,686,1,1,0,0,0,0,0,0,1,1,0,1,3,1.2
True,2005-11-09,2,-3,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,318,1,2,0,0,0,0,1,0,0,0,0,0,0,1.7
True,2005-11-13,6,1,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,873,3,5,0,0,0,2,2,4,1,0,0,0,3,5.0
True,2005-11-15,4,-10,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,LOSS,865,2,2,0,0,0,1,1,3,1,0,0,2,6,0.9
True,2005-11-19,6,-9,MINNESOTA TIMBERWOLVES,HOME,CHARLOTTE BOBCATS,WIN,342,2,3,0,0,2,2,0,0,0,0,0,0,1,4.3
True,2005-11-25,0,-6,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,WIN,115,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2005-11-26,0,-2,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2005-12-02,0,6,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,278,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2005-12-04,4,3,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,543,1,2,0,0,2,4,1,1,0,0,0,3,0,0.2
True,2005-12-05,1,6,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,WIN,396,0,0,0,0,1,2,0,1,1,0,0,0,1,1.2
True,2005-12-21,2,-4,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,311,0,2,0,0,2,4,2,0,0,1,0,0,0,2.2
True,2005-12-26,4,-5,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,LOSS,715,2,3,0,0,0,2,0,3,1,0,0,0,1,3.1
True,2005-12-28,2,1,MINNESOTA TIMBERWOLVES,HOME,SEATTLE SUPERSONICS,WIN,63,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2005-12-30,0,-6,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,LOSS,269,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.4
True,2006-01-01,2,4,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,LOSS,483,0,0,0,0,2,2,0,1,0,1,0,0,0,3.3
True,2006-01-04,0,-3,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2006-01-10,0,-7,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,336,0,1,0,0,0,2,0,0,1,0,0,0,1,-1.2
True,2006-01-13,2,1,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,83,1,2,0,0,0,0,0,0,0,0,0,0,1,0.6
True,2006-01-18,0,2,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,170,0,1,0,0,0,0,1,0,0,1,0,0,0,1.0
True,2006-01-20,3,0,MINNESOTA TIMBERWOLVES,HOME,INDIANA PACERS,WIN,455,1,1,0,0,1,4,1,1,0,2,0,1,2,2.7
True,2006-01-22,2,7,MINNESOTA TIMBERWOLVES,HOME,PHILADELPHIA 76ERS,LOSS,257,1,1,0,0,0,2,1,0,0,0,0,0,0,1.6
True,2006-01-24,8,-9,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,LOSS,839,3,4,0,0,2,4,2,1,1,1,0,1,2,7.2
True,2006-01-25,0,8,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,LOSS,273,0,0,0,0,0,0,1,0,1,0,0,0,1,1.0
True,2006-02-04,0,4,MINNESOTA TIMBERWOLVES,AWAY,GOLDEN STATE WARRIORS,LOSS,409,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.8
True,2006-03-11,0,0,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,LOSS,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2006-03-23,0,-3,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2006-03-24,2,1,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,112,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2006-03-31,2,5,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,62,1,1,0,0,0,0,0,1,0,0,0,0,1,1.6
True,2006-04-05,2,2,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,642,1,2,0,0,0,0,0,0,1,0,0,0,3,0.5
True,2006-04-07,3,-4,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,300,1,2,0,0,1,4,0,1,0,0,0,2,1,-1.3
True,2006-04-09,0,-2,MINNESOTA TIMBERWOLVES,HOME,ATLANTA HAWKS,WIN,799,0,3,0,0,0,0,3,2,0,0,0,0,1,0.2
True,2006-04-11,7,4,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,LOSS,793,3,5,0,0,1,2,1,1,1,1,0,2,2,4.2
True,2006-04-12,2,-8,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,WIN,581,1,4,0,0,0,0,0,1,1,1,0,0,0,1.6
True,2006-04-14,6,-3,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,1111,3,8,0,1,0,0,3,2,1,1,0,0,3,4.8
True,2006-04-16,0,-10,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,357,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2006-04-19,6,-18,MINNESOTA TIMBERWOLVES,HOME,MEMPHIS GRIZZLIES,LOSS,1875,3,5,0,0,0,2,0,5,2,2,0,2,4,4.2
