active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-02,12,20,GOLDEN STATE WARRIORS,HOME,ATLANTA HAWKS,WIN,1195,4,5,1,1,3,4,1,0,5,1,0,0,5,12.9
True,2005-11-04,18,2,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,LOSS,2229,7,16,1,2,3,5,1,3,6,2,0,1,4,14.0
True,2005-11-06,6,-6,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,WIN,985,2,7,2,2,0,0,0,2,2,0,0,3,2,0.1
True,2005-11-08,14,0,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,WIN,1368,4,9,2,2,4,5,0,3,4,1,0,4,4,8.0
True,2005-11-09,15,10,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,1597,5,11,3,5,2,3,2,5,5,2,0,2,1,14.9
True,2005-11-11,6,-1,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1444,2,6,1,5,1,1,0,3,1,0,0,1,1,2.8
True,2005-11-12,16,0,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,2146,6,11,1,3,3,3,0,1,2,0,0,4,2,7.6
True,2005-11-14,8,9,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,1675,3,9,0,2,2,2,1,6,5,1,0,1,3,7.7
True,2005-11-16,14,26,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,LOSS,1512,3,8,2,4,6,6,0,2,6,0,0,1,6,11.0
True,2005-11-18,7,2,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1235,3,6,1,1,0,0,0,0,1,1,0,0,3,4.5
True,2005-11-20,9,-2,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,1408,3,11,3,6,0,0,1,0,3,2,0,1,3,5.1
True,2005-11-21,22,0,GOLDEN STATE WARRIORS,HOME,NEW JERSEY NETS,WIN,1908,8,15,3,5,3,3,0,2,1,1,0,2,3,13.8
True,2005-11-23,5,-27,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,LOSS,1458,1,6,0,0,3,4,1,0,1,0,0,1,1,0.8
True,2005-11-25,11,15,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,WIN,1675,4,11,3,7,0,0,0,0,2,2,0,0,0,8.3
True,2005-11-26,9,5,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,WIN,1586,4,6,1,3,0,0,0,2,6,2,0,3,2,9.4
True,2005-11-28,17,21,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1700,6,10,5,6,0,0,0,4,0,1,0,2,3,11.4
True,2005-11-30,10,8,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1169,3,10,1,5,3,3,1,1,0,0,0,1,4,2.6
True,2005-12-02,17,-2,GOLDEN STATE WARRIORS,HOME,CHARLOTTE BOBCATS,WIN,2160,5,10,3,7,4,5,1,3,2,1,0,3,2,11.8
True,2005-12-07,18,-3,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,2267,9,13,0,0,0,0,0,2,4,1,0,2,5,12.9
True,2005-12-09,15,-1,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,LOSS,1442,3,10,0,3,9,10,0,2,2,2,0,0,0,12.8
True,2005-12-13,26,7,GOLDEN STATE WARRIORS,AWAY,SEATTLE SUPERSONICS,WIN,2178,8,16,2,9,8,8,1,2,5,1,0,0,4,22.2
True,2005-12-14,15,-6,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,LOSS,2121,5,10,2,3,3,3,1,3,2,1,0,0,2,13.2
True,2005-12-16,21,19,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,1878,8,13,4,6,1,2,1,2,6,3,0,2,3,20.0
True,2005-12-18,7,-6,GOLDEN STATE WARRIORS,AWAY,NEW JERSEY NETS,LOSS,1209,3,8,0,2,1,2,0,4,2,0,0,0,1,4.4
True,2005-12-19,12,-20,GOLDEN STATE WARRIORS,AWAY,BOSTON CELTICS,LOSS,1440,4,10,1,3,3,3,0,1,1,0,1,4,4,2.7
True,2005-12-21,7,-5,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,LOSS,1797,3,9,1,5,0,0,0,4,3,0,1,0,0,5.9
True,2005-12-23,4,-2,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,1846,2,7,0,1,0,0,1,1,0,1,0,0,4,0.3
True,2005-12-26,13,3,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1921,3,12,2,3,5,6,0,1,6,2,1,0,2,11.8
True,2005-12-28,9,1,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,1582,4,11,1,5,0,0,1,1,3,3,0,1,1,7.6
True,2005-12-30,7,8,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,WIN,1860,2,8,1,2,2,2,1,0,6,1,0,2,2,5.3
True,2005-12-31,9,-7,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,1767,2,7,0,3,5,5,0,3,0,0,0,0,1,5.4
True,2006-01-03,18,2,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1908,6,8,3,4,3,3,0,2,3,2,0,3,4,14.9
True,2006-01-05,5,-5,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,1984,0,8,0,6,5,6,0,1,2,2,0,3,4,-1.9
True,2006-01-11,12,-3,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,LOSS,1568,4,13,2,4,2,2,0,3,4,2,0,1,2,8.4
True,2006-01-12,15,3,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1906,5,12,3,5,2,4,0,5,1,1,0,0,3,9.8
True,2006-01-14,9,5,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,LOSS,1715,3,8,1,4,2,2,1,1,6,2,0,0,4,10.2
True,2006-01-16,0,0,GOLDEN STATE WARRIORS,HOME,SEATTLE SUPERSONICS,WIN,1365,0,4,0,2,0,0,1,2,4,0,0,0,2,0.5
True,2006-01-20,17,19,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,2538,7,15,2,4,1,2,0,5,9,6,0,3,1,19.3
True,2006-01-22,16,-2,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,1913,6,10,2,3,2,2,0,1,2,2,0,0,3,13.9
True,2006-01-23,6,-15,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,LOSS,1031,3,5,0,2,0,0,1,0,1,0,0,1,4,2.5
True,2006-01-25,6,-16,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,LOSS,1619,1,6,0,4,4,4,0,2,2,3,0,2,2,4.4
True,2006-01-27,18,3,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,2257,4,15,1,2,9,10,1,2,4,1,0,3,6,8.4
True,2006-01-28,10,6,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2260,4,11,2,5,0,1,0,0,2,0,0,3,2,1.1
True,2006-02-01,16,3,GOLDEN STATE WARRIORS,AWAY,SEATTLE SUPERSONICS,LOSS,1615,7,11,2,4,0,0,0,1,1,1,0,0,5,11.1
True,2006-02-02,12,-7,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,LOSS,1697,5,12,1,3,1,2,0,1,2,1,0,2,5,3.9
True,2006-02-04,0,18,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,891,0,7,0,2,0,0,0,2,7,1,1,0,1,1.9
True,2006-02-06,14,-5,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,1221,5,6,1,1,3,4,0,1,4,1,0,2,5,11.5
True,2006-02-08,7,-16,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,LOSS,917,2,5,1,3,2,2,0,0,0,0,0,3,3,0.1
True,2006-02-10,6,-2,GOLDEN STATE WARRIORS,AWAY,INDIANA PACERS,LOSS,1498,2,7,0,3,2,2,0,7,2,0,1,2,1,3.7
True,2006-02-11,18,13,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,2263,6,7,3,4,3,5,0,4,6,2,1,2,4,19.2
True,2006-02-13,21,-2,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,LOSS,2409,8,14,0,0,5,6,0,4,9,2,0,1,2,21.7
True,2006-02-15,21,15,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,2527,5,11,2,4,9,11,0,4,9,3,0,2,3,21.8
True,2006-02-21,10,-18,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,2327,4,10,0,1,2,2,1,2,8,3,0,1,5,11.5
True,2006-02-24,16,-9,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,LOSS,2572,6,22,3,6,1,2,0,4,4,5,0,3,2,7.8
True,2006-02-25,11,-18,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,1960,5,13,1,1,0,0,0,1,2,3,0,1,2,6.8
True,2006-02-27,21,-7,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,LOSS,2999,5,15,0,6,11,16,0,2,10,0,0,1,6,14.7
True,2006-03-01,18,8,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,WIN,2438,6,12,1,2,5,6,1,3,10,3,0,6,3,16.0
True,2006-03-03,4,-9,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,LOSS,2140,1,12,0,3,2,3,0,0,9,2,0,3,5,-1.1
True,2006-03-05,9,-28,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2096,3,11,1,4,2,2,1,2,4,0,0,3,3,2.4
True,2006-03-07,12,-17,GOLDEN STATE WARRIORS,AWAY,ATLANTA HAWKS,LOSS,1669,4,9,2,3,2,4,2,0,2,0,0,4,5,3.3
True,2006-03-08,8,-23,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE BOBCATS,LOSS,1825,3,6,1,1,1,1,1,2,4,1,0,1,3,7.9
True,2006-03-10,14,2,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,WIN,2186,4,10,1,2,5,8,1,2,5,3,0,4,3,10.0
True,2006-03-11,20,-1,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,1897,7,14,3,5,3,3,0,4,6,0,0,2,3,15.2
True,2006-03-16,16,-9,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1896,3,14,0,1,10,12,1,1,13,2,0,2,5,14.7
True,2006-03-19,12,13,GOLDEN STATE WARRIORS,HOME,PHILADELPHIA 76ERS,WIN,2195,4,14,0,4,4,6,1,3,9,0,0,3,2,7.1
True,2006-03-21,27,-9,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,2144,9,17,0,3,9,9,0,2,1,1,0,1,2,19.2
True,2006-03-23,17,-4,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,WIN,2276,4,16,2,6,7,8,2,3,7,6,0,3,3,16.0
True,2006-03-26,17,17,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,WIN,2434,5,14,4,5,3,3,0,6,8,4,0,5,3,14.4
True,2006-03-27,16,-17,GOLDEN STATE WARRIORS,HOME,WASHINGTON WIZARDS,LOSS,2260,6,13,4,7,0,0,1,1,10,2,0,2,5,15.3
True,2006-03-29,16,6,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,2247,6,15,1,5,3,3,1,5,5,2,0,3,3,11.4
True,2006-03-31,13,0,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,2536,6,13,1,3,0,2,0,5,10,5,0,2,2,16.2
True,2006-04-02,22,0,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2739,7,19,3,9,5,5,1,2,6,1,0,4,4,12.4
True,2006-04-04,17,-11,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,2182,7,11,3,5,0,0,0,1,1,2,0,2,1,12.7
