active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-02,18,7,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,WIN,928,5,6,5,6,3,4,0,4,1,0,0,0,2,16.5
True,2005-11-04,5,-1,MINNESOTA TIMBERWOLVES,AWAY,SEATTLE SUPERSONICS,LOSS,1299,2,6,1,5,0,0,0,1,1,0,0,1,2,0.8
True,2005-11-05,3,2,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,287,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
True,2005-11-07,0,-6,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,WIN,349,0,2,0,2,0,0,0,1,0,0,0,0,1,-1.5
True,2005-11-13,3,0,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,573,1,2,1,2,0,0,0,0,2,0,0,0,1,3.0
True,2005-11-15,0,1,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,LOSS,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2005-11-17,16,13,MINNESOTA TIMBERWOLVES,HOME,WASHINGTON WIZARDS,WIN,1336,6,7,4,5,0,0,0,2,1,1,0,0,2,15.0
True,2005-11-19,4,15,MINNESOTA TIMBERWOLVES,HOME,CHARLOTTE BOBCATS,WIN,1249,2,4,0,2,0,1,0,3,3,1,0,1,3,3.4
True,2005-11-23,3,0,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,820,1,2,1,2,0,0,0,1,1,0,0,0,0,3.0
True,2005-11-25,0,5,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,WIN,318,0,2,0,1,0,0,0,0,1,0,0,0,0,-0.7
True,2005-11-26,2,12,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,687,1,5,0,2,0,0,0,0,0,0,0,0,0,-1.1
True,2005-11-29,0,-8,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,596,0,3,0,3,0,0,0,0,2,0,0,0,1,-1.1
True,2005-12-04,0,-5,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,459,0,1,0,0,0,0,1,0,0,0,0,0,2,-0.8
True,2005-12-05,0,0,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,WIN,97,0,1,0,1,0,0,0,0,0,0,0,1,1,-2.1
True,2005-12-07,2,-1,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,WIN,732,1,4,0,2,0,0,0,1,0,0,0,1,0,-1.1
True,2005-12-12,3,2,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,703,1,6,1,6,0,0,1,2,0,0,1,0,0,1.2
True,2005-12-23,0,1,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,LOSS,74,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2005-12-26,0,-3,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,LOSS,333,0,2,0,1,0,0,0,2,0,0,0,0,0,-0.8
True,2005-12-30,5,4,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,LOSS,911,2,5,1,4,0,0,0,0,0,0,0,0,3,1.1
True,2006-01-01,0,3,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,LOSS,158,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2006-01-04,0,-5,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,336,0,1,0,0,0,0,1,0,1,0,0,0,2,-0.1
True,2006-01-07,0,-1,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2006-01-10,2,0,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1038,1,2,0,1,0,0,0,1,0,1,0,0,1,1.9
True,2006-02-10,0,-8,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,180,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
True,2006-02-11,0,-1,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,28,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2006-03-20,0,-3,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,233,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2006-03-21,0,-4,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,469,0,1,0,1,0,0,0,1,1,0,0,1,1,-1.1
True,2006-03-23,5,-8,HOUSTON ROCKETS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1045,2,5,1,3,0,0,0,2,0,1,0,0,1,3.5
True,2006-03-26,2,-5,HOUSTON ROCKETS,HOME,CLEVELAND CAVALIERS,LOSS,846,1,2,0,1,0,0,0,2,1,0,0,1,1,0.9
True,2006-03-29,16,14,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,1259,5,10,4,8,2,3,0,2,0,0,0,0,2,10.4
True,2006-03-31,2,-5,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,WIN,801,1,3,0,2,0,0,0,1,1,0,0,1,0,0.3
True,2006-04-02,9,-11,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,LOSS,1280,3,7,3,5,0,0,0,0,2,0,0,0,0,6.7
True,2006-04-04,8,-2,HOUSTON ROCKETS,AWAY,SEATTLE SUPERSONICS,LOSS,1090,3,6,0,1,2,2,0,2,1,0,0,1,2,4.5
