active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-01,1,-13,SACRAMENTO KINGS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,1074,0,4,0,0,1,2,1,0,2,1,0,3,1,-2.5
True,2005-11-02,2,-9,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,LOSS,713,1,2,0,0,0,0,0,1,1,0,0,0,0,2.0
True,2005-11-06,2,-12,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,WIN,498,1,2,0,0,0,0,0,0,0,0,0,0,2,0.2
True,2005-11-08,3,1,SACRAMENTO KINGS,HOME,DETROIT PISTONS,LOSS,939,1,6,1,2,0,0,0,0,2,2,0,0,0,2.6
True,2005-11-09,1,-10,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,762,0,1,0,0,1,2,0,0,0,1,0,0,1,0.5
True,2005-11-11,7,16,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,1041,3,4,0,0,1,2,0,2,3,2,0,1,1,8.3
True,2005-11-13,4,-2,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,LOSS,1235,1,4,1,2,1,2,0,2,3,0,0,0,2,3.1
True,2005-11-15,5,-12,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,836,2,4,1,1,0,0,0,2,0,0,0,2,1,1.2
True,2005-11-18,8,2,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,WIN,697,4,5,0,0,0,0,0,2,0,0,0,1,1,5.3
True,2005-11-20,0,-6,SACRAMENTO KINGS,AWAY,SEATTLE SUPERSONICS,LOSS,725,0,4,0,0,0,0,0,4,1,0,1,0,1,-0.6
True,2005-11-21,2,4,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,931,1,4,0,2,0,0,1,0,1,1,0,0,2,1.2
True,2005-11-23,3,-4,SACRAMENTO KINGS,HOME,NEW JERSEY NETS,WIN,405,0,1,0,0,3,4,1,0,0,0,0,1,0,1.6
True,2005-11-25,5,1,SACRAMENTO KINGS,HOME,TORONTO RAPTORS,WIN,734,2,4,0,0,1,2,0,2,0,1,0,1,0,3.2
True,2005-11-29,4,-1,SACRAMENTO KINGS,HOME,CHARLOTTE BOBCATS,WIN,1185,2,5,0,0,0,0,0,2,1,0,0,3,2,-1.2
True,2005-11-30,4,-3,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,859,2,4,0,0,0,0,0,0,2,1,0,1,3,2.2
True,2005-12-02,0,-9,SACRAMENTO KINGS,HOME,MIAMI HEAT,LOSS,679,0,1,0,0,0,0,0,0,2,1,0,1,2,-0.1
True,2005-12-04,4,2,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1129,2,5,0,3,0,2,0,0,1,1,0,2,1,-0.2
True,2005-12-06,4,-2,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,LOSS,415,2,3,0,0,0,0,0,1,0,0,0,0,0,3.0
True,2005-12-08,2,-10,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,LOSS,546,1,2,0,0,0,0,0,1,0,0,0,0,0,1.3
True,2005-12-10,2,0,SACRAMENTO KINGS,AWAY,SEATTLE SUPERSONICS,WIN,542,1,2,0,0,0,0,0,1,1,0,0,1,1,0.6
True,2005-12-11,2,-3,SACRAMENTO KINGS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,606,1,3,0,0,0,0,0,0,1,1,0,1,1,0.6
True,2005-12-13,2,0,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,WIN,626,1,2,0,0,0,0,0,0,1,0,0,1,2,-0.1
True,2005-12-14,7,4,SACRAMENTO KINGS,AWAY,DETROIT PISTONS,LOSS,807,3,5,0,0,1,2,0,2,4,1,0,0,1,8.3
True,2005-12-17,4,6,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,LOSS,1041,1,4,0,0,2,4,0,0,2,0,0,1,2,0.4
True,2005-12-19,0,-4,SACRAMENTO KINGS,AWAY,CHARLOTTE BOBCATS,LOSS,323,0,1,0,0,0,0,1,1,0,0,0,1,1,-1.1
True,2005-12-22,0,-1,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,335,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
True,2005-12-26,0,-7,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,360,0,2,0,0,0,0,0,0,0,0,0,1,1,-2.8
True,2005-12-27,4,1,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,WIN,674,1,2,0,0,2,2,0,0,0,0,0,0,2,2.2
True,2005-12-30,4,5,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,1528,2,7,0,1,0,0,1,1,4,0,1,1,2,2.6
True,2006-01-03,4,5,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,881,1,5,0,1,2,4,0,1,3,1,0,0,3,2.3
True,2006-01-06,10,7,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,WIN,1209,4,5,0,0,2,3,0,0,2,1,1,0,3,9.6
True,2006-01-08,10,-4,SACRAMENTO KINGS,HOME,INDIANA PACERS,LOSS,1729,5,12,0,0,0,0,0,2,1,1,0,4,2,1.1
True,2006-01-10,3,-9,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,LOSS,1254,1,3,0,0,1,2,0,3,0,0,0,2,3,-1.4
True,2006-01-11,5,3,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,WIN,1726,0,2,0,0,5,6,1,2,1,2,0,1,2,5.4
True,2006-01-13,12,-12,SACRAMENTO KINGS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,1266,4,8,2,4,2,2,1,3,1,0,0,1,1,8.9
True,2006-01-15,2,8,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,WIN,381,1,2,0,0,0,0,0,1,0,1,0,0,0,2.3
True,2006-01-17,7,14,SACRAMENTO KINGS,HOME,PHOENIX SUNS,WIN,1244,3,9,1,3,0,0,0,1,0,1,0,1,2,1.4
True,2006-01-19,4,2,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,856,1,3,0,0,2,2,0,1,3,1,0,0,2,4.9
True,2006-01-21,5,0,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,LOSS,1706,2,7,1,3,0,0,0,6,1,0,0,1,5,0.4
True,2006-01-22,5,4,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,762,2,4,0,0,1,2,0,1,2,0,0,0,0,4.3
True,2006-01-24,5,3,SACRAMENTO KINGS,AWAY,PHILADELPHIA 76ERS,LOSS,750,2,4,1,3,0,0,0,2,1,0,0,1,2,2.5
True,2006-01-25,0,-5,SACRAMENTO KINGS,AWAY,NEW YORK KNICKS,WIN,416,0,3,0,0,0,0,1,0,1,0,0,0,2,-1.5
True,2006-01-27,0,-4,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,483,0,4,0,0,0,0,0,1,0,3,0,0,1,0.1
True,2006-02-05,0,3,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,449,0,1,0,0,0,0,0,0,2,0,0,1,0,-0.3
True,2006-02-09,0,-7,SACRAMENTO KINGS,HOME,CHICAGO BULLS,WIN,438,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3
True,2006-02-10,0,-2,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,371,0,0,0,0,0,0,1,0,1,0,0,2,3,-1.8
True,2006-02-12,4,4,SACRAMENTO KINGS,HOME,ATLANTA HAWKS,WIN,239,2,4,0,0,0,0,0,0,0,0,0,1,0,1.0
True,2006-02-14,0,6,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,WIN,330,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
