active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-02,7,4,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1279,1,4,1,1,4,4,0,0,2,0,1,4,2,1.9
True,2005-11-03,3,-4,INDIANA PACERS,AWAY,MIAMI HEAT,WIN,1771,1,3,1,1,0,0,0,4,0,1,0,2,2,0.7
True,2005-11-05,0,-15,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,LOSS,755,0,3,0,1,0,0,1,1,1,0,0,1,2,-2.2
True,2005-11-09,9,16,INDIANA PACERS,HOME,MIAMI HEAT,WIN,1438,4,11,0,2,1,2,0,1,1,1,0,1,1,3.1
True,2005-11-11,7,-2,INDIANA PACERS,HOME,NEW JERSEY NETS,WIN,2073,3,7,1,4,0,2,0,5,3,0,0,2,2,3.3
True,2005-11-12,17,6,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,LOSS,1869,6,11,1,4,4,5,0,5,5,4,1,3,3,16.8
True,2005-11-16,0,-33,INDIANA PACERS,AWAY,CHARLOTTE BOBCATS,LOSS,1352,0,3,0,2,0,0,0,2,1,0,0,2,3,-4.0
True,2005-11-18,2,-1,INDIANA PACERS,HOME,CHARLOTTE BOBCATS,WIN,1197,0,4,0,3,2,2,1,0,0,0,0,2,3,-3.3
True,2005-11-20,6,11,INDIANA PACERS,HOME,HOUSTON ROCKETS,WIN,1246,1,3,1,2,3,4,0,1,0,1,1,2,2,3.1
True,2005-11-24,0,14,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,WIN,1385,0,2,0,0,0,0,0,0,3,0,0,1,1,-0.7
True,2005-11-25,6,-1,INDIANA PACERS,HOME,ATLANTA HAWKS,LOSS,1800,3,9,0,2,0,0,1,3,2,0,0,0,2,3.1
True,2005-11-27,2,11,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,WIN,901,1,4,0,0,0,0,0,1,3,1,0,0,0,3.0
True,2005-11-29,9,9,INDIANA PACERS,AWAY,UTAH JAZZ,WIN,1465,3,7,1,2,2,2,1,2,1,0,1,0,0,8.0
True,2005-11-30,13,11,INDIANA PACERS,AWAY,PHOENIX SUNS,LOSS,1817,6,8,0,1,1,1,0,2,2,2,0,0,0,13.8
True,2005-12-02,11,7,INDIANA PACERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1343,3,5,2,2,3,4,0,3,2,0,0,0,1,10.2
True,2005-12-04,3,-11,INDIANA PACERS,AWAY,SEATTLE SUPERSONICS,LOSS,964,0,4,0,4,3,4,0,2,1,0,0,1,3,-1.1
True,2005-12-06,7,-4,INDIANA PACERS,HOME,DALLAS MAVERICKS,LOSS,1488,3,6,1,2,0,0,0,3,1,0,0,2,2,2.8
True,2005-12-08,17,21,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1940,7,7,2,2,1,3,0,5,5,1,0,2,2,17.3
True,2005-12-10,5,8,INDIANA PACERS,HOME,MEMPHIS GRIZZLIES,WIN,1868,2,5,1,2,0,0,0,0,1,0,1,2,1,1.3
True,2005-12-14,8,-15,INDIANA PACERS,AWAY,BOSTON CELTICS,LOSS,2080,3,11,2,6,0,0,0,3,3,1,0,1,2,3.7
True,2005-12-16,8,16,INDIANA PACERS,HOME,UTAH JAZZ,WIN,1128,1,4,0,1,6,6,0,1,1,0,0,1,1,5.2
True,2005-12-21,5,13,INDIANA PACERS,HOME,LOS ANGELES CLIPPERS,WIN,1352,2,4,1,3,0,0,0,1,3,0,0,2,1,3.0
True,2005-12-23,15,3,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,1751,6,10,1,2,2,2,0,6,1,0,1,2,3,10.4
True,2005-12-26,6,-19,INDIANA PACERS,AWAY,DALLAS MAVERICKS,LOSS,1539,2,5,0,1,2,3,2,1,2,0,0,0,4,4.4
