active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-02,7,17,UTAH JAZZ,HOME,DALLAS MAVERICKS,WIN,2388,2,10,0,1,3,8,2,8,5,1,6,0,1,10.9
True,2005-11-04,11,3,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,WIN,2440,4,12,0,1,3,8,4,2,2,3,2,4,1,7.0
True,2005-11-05,14,0,UTAH JAZZ,HOME,PHOENIX SUNS,LOSS,2448,4,15,1,3,5,6,5,9,6,1,4,4,2,14.1
True,2005-11-07,20,3,UTAH JAZZ,AWAY,CHARLOTTE BOBCATS,WIN,2746,8,16,1,2,3,8,4,4,5,1,7,4,2,18.6
True,2005-11-09,18,-3,UTAH JAZZ,AWAY,NEW JERSEY NETS,LOSS,1974,6,17,1,3,5,5,3,4,3,2,0,2,1,13.5
True,2005-11-11,9,21,UTAH JAZZ,AWAY,TORONTO RAPTORS,WIN,2486,3,5,0,1,3,6,0,6,7,1,3,4,1,10.9
True,2005-11-12,4,-6,UTAH JAZZ,AWAY,CHICAGO BULLS,LOSS,617,1,4,0,1,2,2,0,0,0,0,1,0,0,2.3
True,2005-11-29,7,-5,UTAH JAZZ,HOME,INDIANA PACERS,LOSS,1451,3,6,0,0,1,3,0,2,3,0,2,3,0,4.3
True,2005-12-01,9,6,UTAH JAZZ,HOME,LOS ANGELES LAKERS,LOSS,2118,2,9,0,2,5,7,1,6,1,1,2,2,4,4.7
True,2005-12-04,9,0,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1744,1,4,1,1,6,7,1,4,2,2,1,2,2,9.4
True,2005-12-05,10,-18,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,2168,3,10,0,2,4,5,1,8,2,1,4,2,4,8.5
True,2005-12-07,14,11,UTAH JAZZ,HOME,ATLANTA HAWKS,WIN,2026,4,7,0,1,6,8,0,4,10,0,3,2,2,17.4
True,2005-12-09,17,-11,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,LOSS,2222,4,8,1,3,8,15,4,7,2,3,3,2,0,19.6
True,2005-12-12,22,18,UTAH JAZZ,HOME,DETROIT PISTONS,WIN,2516,9,16,1,2,3,7,2,10,7,0,4,2,2,22.1
True,2005-12-14,21,9,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,2580,7,17,1,2,6,11,7,9,3,2,8,2,1,24.8
True,2005-12-16,11,0,UTAH JAZZ,AWAY,INDIANA PACERS,LOSS,2593,4,12,0,2,3,8,4,5,10,1,2,3,3,11.7
True,2005-12-17,5,5,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,WIN,1061,2,6,0,2,1,2,1,5,3,0,1,3,2,2.4
True,2005-12-26,24,-2,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,2663,6,13,1,2,11,15,5,9,3,3,2,2,2,25.6
True,2005-12-27,10,15,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,2334,2,11,0,3,6,10,1,7,2,2,2,6,3,1.9
True,2005-12-31,15,-1,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,2275,5,8,0,0,5,5,4,8,6,2,4,6,1,19.2
True,2006-01-01,23,-4,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,2398,5,10,2,2,11,12,0,5,5,1,2,5,1,19.6
True,2006-01-03,14,14,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,2505,5,7,1,2,3,6,3,5,9,6,7,1,3,28.5
True,2006-01-06,20,-7,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1962,8,14,0,1,4,6,2,4,2,1,6,5,4,15.2
True,2006-01-07,24,10,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,2932,8,18,3,5,5,6,3,8,7,1,2,4,3,20.8
True,2006-01-09,17,5,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,WIN,2464,6,9,0,0,5,5,1,6,4,4,1,6,1,16.7
True,2006-01-11,23,0,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,WIN,2583,7,11,1,3,8,8,0,6,4,3,4,3,5,23.5
True,2006-01-14,25,-10,UTAH JAZZ,HOME,MIAMI HEAT,LOSS,2647,8,13,2,4,7,8,0,8,6,1,3,3,1,25.0
True,2006-01-16,17,-21,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2739,6,19,2,6,3,6,4,8,6,5,1,3,4,15.4
True,2006-01-17,18,13,UTAH JAZZ,HOME,TORONTO RAPTORS,WIN,2746,8,13,0,1,2,4,5,11,11,3,4,4,3,26.4
True,2006-01-20,11,-27,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1865,5,15,0,1,1,2,4,0,3,0,1,0,1,7.3
True,2006-01-21,19,-21,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,LOSS,2481,6,14,0,2,7,10,1,3,3,2,0,5,4,9.5
