active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-01,13,-7,PHOENIX SUNS,HOME,DALLAS MAVERICKS,LOSS,2895,5,15,0,3,3,5,4,12,7,3,2,2,6,15.0
True,2005-11-03,30,9,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,WIN,2445,13,24,0,2,4,6,4,7,1,1,1,1,4,22.3
True,2005-11-05,20,-1,PHOENIX SUNS,AWAY,UTAH JAZZ,WIN,2464,8,19,0,1,4,4,5,9,2,3,1,1,3,19.0
True,2005-11-06,16,-9,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,2159,7,10,0,1,2,3,1,13,2,1,2,2,3,16.6
True,2005-11-10,12,1,PHOENIX SUNS,HOME,DETROIT PISTONS,LOSS,2397,6,13,0,1,0,0,6,4,2,1,2,1,3,12.3
True,2005-11-12,22,16,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2629,10,17,0,2,2,4,4,11,2,1,4,0,4,23.0
True,2005-11-16,23,-9,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,LOSS,2588,9,19,1,5,4,4,3,8,1,2,1,1,3,19.0
True,2005-11-18,10,-17,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,2081,4,14,0,3,2,2,3,4,3,2,2,4,2,5.8
True,2005-11-19,22,-3,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,2440,9,16,0,2,4,7,2,13,3,3,2,2,3,21.8
True,2005-11-22,28,7,PHOENIX SUNS,HOME,TORONTO RAPTORS,WIN,2500,13,18,0,1,2,4,9,9,1,1,2,1,2,30.1
True,2005-11-23,19,8,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,WIN,2262,7,13,3,4,2,2,7,5,3,2,1,0,3,22.7
True,2005-11-25,12,4,PHOENIX SUNS,HOME,NEW JERSEY NETS,WIN,2374,4,11,1,4,3,4,0,7,1,1,1,0,3,8.8
True,2005-11-30,21,21,PHOENIX SUNS,HOME,INDIANA PACERS,WIN,1963,7,15,1,2,6,8,2,10,0,1,4,1,1,19.3
True,2005-12-02,22,-15,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,2217,9,20,2,5,2,5,3,8,2,1,3,1,5,16.4
True,2005-12-04,20,32,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,1739,8,19,2,5,2,2,2,6,0,3,2,2,0,15.5
True,2005-12-06,21,33,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,1811,8,14,2,5,3,4,2,4,1,3,3,0,0,22.4
True,2005-12-07,27,12,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,2673,10,18,4,6,3,6,2,12,0,3,1,4,2,21.1
True,2005-12-09,14,4,PHOENIX SUNS,HOME,NEW YORK KNICKS,WIN,2700,6,18,0,4,2,2,2,8,1,4,1,5,4,6.4
True,2005-12-10,20,-7,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,2498,9,14,2,5,0,0,1,4,0,1,0,2,2,13.9
True,2005-12-12,12,-2,PHOENIX SUNS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,2462,6,13,0,3,0,0,2,8,1,1,1,4,4,5.9
True,2005-12-14,23,-6,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,2481,7,16,4,6,5,8,3,16,3,1,1,2,3,20.9
True,2005-12-16,21,17,PHOENIX SUNS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,2711,9,16,2,7,1,1,1,14,3,0,5,2,2,21.1
True,2005-12-17,16,3,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,LOSS,2640,8,25,0,5,0,0,5,12,2,1,6,0,1,15.0
True,2005-12-20,29,14,PHOENIX SUNS,HOME,SEATTLE SUPERSONICS,WIN,2276,12,21,2,5,3,3,2,4,2,1,4,2,3,23.7
True,2005-12-23,12,-1,PHOENIX SUNS,HOME,WASHINGTON WIZARDS,LOSS,2336,5,10,1,4,1,2,1,8,2,4,2,0,3,15.3
True,2005-12-26,21,12,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2740,8,12,1,3,4,4,0,16,3,3,4,0,1,28.1
True,2005-12-28,28,9,PHOENIX SUNS,AWAY,WASHINGTON WIZARDS,WIN,2420,12,16,1,3,3,3,2,3,1,2,0,2,4,23.0
True,2005-12-30,24,13,PHOENIX SUNS,AWAY,CHARLOTTE BOBCATS,WIN,2476,11,16,1,4,1,4,3,10,3,1,1,3,1,21.5
True,2005-12-31,28,10,PHOENIX SUNS,AWAY,CHICAGO BULLS,WIN,2724,13,22,1,4,1,1,6,10,1,1,1,1,3,25.2
True,2006-01-02,39,-3,PHOENIX SUNS,AWAY,NEW YORK KNICKS,LOSS,3606,15,26,5,10,4,4,3,11,1,1,1,1,5,31.6
True,2006-01-04,13,24,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,2023,6,12,0,2,1,2,0,13,0,5,0,1,1,14.1
True,2006-01-06,19,22,PHOENIX SUNS,HOME,MIAMI HEAT,WIN,2391,8,16,1,4,2,3,1,15,2,1,1,0,0,18.9
True,2006-01-07,20,7,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,2561,8,16,0,2,4,5,1,9,0,2,0,2,4,13.4
True,2006-01-10,28,-5,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,3434,13,25,0,3,2,3,5,9,3,1,1,2,5,21.3
True,2006-01-12,21,23,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2508,9,17,3,4,0,0,2,10,2,1,4,0,2,21.5
True,2006-01-14,25,11,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,2742,12,21,0,3,1,2,3,9,1,1,3,1,4,20.7
True,2006-01-17,25,-24,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,1964,9,16,2,6,5,5,2,3,2,3,1,0,1,24.4
True,2006-01-18,30,8,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,2705,11,23,1,4,7,8,5,12,2,4,1,0,3,29.9
True,2006-01-20,22,8,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,2645,7,16,0,3,8,8,3,13,1,3,5,4,4,21.2
True,2006-01-22,37,-4,PHOENIX SUNS,HOME,SEATTLE SUPERSONICS,LOSS,3207,15,30,3,8,4,4,7,3,4,1,5,1,5,32.1
True,2006-01-24,26,-4,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,2757,11,21,2,5,2,2,3,13,2,4,1,2,5,23.8
True,2006-01-26,19,13,PHOENIX SUNS,AWAY,MIAMI HEAT,WIN,2501,6,13,0,1,7,8,4,8,0,0,0,1,1,15.7
True,2006-01-27,15,-8,PHOENIX SUNS,AWAY,ATLANTA HAWKS,WIN,2512,6,13,0,2,3,4,3,5,1,3,1,1,2,14.1
True,2006-01-29,22,-4,PHOENIX SUNS,AWAY,CLEVELAND CAVALIERS,LOSS,2849,8,15,1,2,5,5,0,7,2,3,2,3,5,17.6
