active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-15,2,-4,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,72,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2005-11-21,0,-2,PHILADELPHIA 76ERS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2005-11-23,0,-3,PHILADELPHIA 76ERS,AWAY,MILWAUKEE BUCKS,LOSS,31,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2005-12-03,0,1,PHILADELPHIA 76ERS,AWAY,SAN ANTONIO SPURS,LOSS,83,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2005-12-07,10,6,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,865,4,5,0,0,2,4,3,4,0,0,0,1,3,8.4
True,2005-12-09,0,-1,PHILADELPHIA 76ERS,HOME,CHARLOTTE BOBCATS,WIN,872,0,3,0,0,0,0,0,1,0,3,0,1,1,-0.2
True,2005-12-10,0,4,PHILADELPHIA 76ERS,AWAY,NEW JERSEY NETS,WIN,184,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.1
True,2005-12-12,7,8,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,506,3,3,0,0,1,2,3,1,0,0,0,0,2,7.3
True,2005-12-14,4,13,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,898,2,5,0,0,0,2,7,5,0,0,0,0,3,5.7
True,2005-12-16,8,15,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,LOSS,1141,3,6,0,0,2,2,6,4,1,1,0,0,4,10.5
True,2005-12-18,5,14,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,1362,2,3,0,0,1,1,1,4,5,1,1,0,5,8.8
True,2005-12-21,8,9,PHILADELPHIA 76ERS,HOME,GOLDEN STATE WARRIORS,WIN,1213,3,4,0,0,2,4,3,2,0,1,1,0,5,8.0
True,2005-12-23,4,-13,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,1181,1,2,0,0,2,2,2,3,0,1,0,0,3,5.1
True,2005-12-27,0,-6,PHILADELPHIA 76ERS,AWAY,DENVER NUGGETS,WIN,409,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0
True,2005-12-28,0,2,PHILADELPHIA 76ERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,280,0,0,0,0,0,0,0,3,0,0,0,0,0,0.9
True,2005-12-31,2,-6,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,LOSS,657,1,1,0,0,0,0,1,0,0,0,0,0,4,0.8
True,2006-01-03,0,-3,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,WIN,105,0,0,0,0,0,2,0,1,0,0,0,1,1,-1.9
True,2006-01-04,2,-5,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,731,1,3,0,0,0,0,1,1,0,0,0,0,0,1.3
