active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2005-11-02,8,-3,CHARLOTTE BOBCATS,AWAY,CHICAGO BULLS,LOSS,2189,3,14,0,3,2,3,1,5,1,2,2,4,5,-0.7
True,2005-11-04,14,5,CHARLOTTE BOBCATS,AWAY,PHILADELPHIA 76ERS,WIN,1713,4,12,2,4,4,6,1,3,2,0,0,3,3,5.2
True,2005-11-07,0,-8,CHARLOTTE BOBCATS,HOME,UTAH JAZZ,LOSS,708,0,1,0,0,0,0,0,0,2,0,1,0,2,0.6
True,2005-11-11,13,-2,CHARLOTTE BOBCATS,HOME,DALLAS MAVERICKS,LOSS,1890,5,12,1,3,2,4,1,7,1,0,1,0,1,9.6
True,2005-11-12,15,-11,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,LOSS,1699,6,15,2,4,1,3,1,2,0,1,0,1,1,7.0
True,2005-11-15,7,-23,CHARLOTTE BOBCATS,AWAY,ORLANDO MAGIC,LOSS,1603,3,8,1,3,0,0,0,2,2,1,0,1,1,4.2
True,2005-11-16,35,26,CHARLOTTE BOBCATS,HOME,INDIANA PACERS,WIN,2380,12,15,6,7,5,5,0,1,2,2,0,1,3,30.8
True,2005-11-18,20,-10,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,LOSS,2187,8,12,3,5,1,1,0,1,0,0,1,5,3,9.6
True,2005-11-19,13,-19,CHARLOTTE BOBCATS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1911,4,12,1,4,4,4,0,4,2,1,0,3,1,6.4
True,2005-11-23,22,21,CHARLOTTE BOBCATS,HOME,NEW YORK KNICKS,WIN,2247,7,19,3,7,5,5,1,2,1,0,0,0,3,12.3
True,2005-11-25,14,-1,CHARLOTTE BOBCATS,AWAY,BOSTON CELTICS,LOSS,2265,5,16,2,7,2,4,1,4,2,0,1,1,3,5.8
True,2005-11-26,23,12,CHARLOTTE BOBCATS,HOME,WASHINGTON WIZARDS,WIN,2114,9,18,3,6,2,3,0,3,1,0,0,2,3,12.0
True,2005-11-29,15,-19,CHARLOTTE BOBCATS,AWAY,SACRAMENTO KINGS,LOSS,1636,7,17,1,3,0,0,0,1,1,1,0,3,3,3.7
