active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-01-12,0,-4,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,LOSS,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2006-01-14,0,2,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2006-01-15,0,4,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,516,0,3,0,0,0,0,1,1,2,1,0,0,1,0.9
True,2006-01-18,0,-1,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,418,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2006-01-20,0,1,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,LOSS,606,0,0,0,0,0,0,2,4,0,2,0,1,2,2.8
True,2006-01-21,0,-5,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,WIN,100,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2006-01-24,2,3,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,317,1,2,0,0,0,0,0,1,0,0,0,1,3,-0.9
True,2006-01-25,0,0,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,WIN,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2006-01-29,6,13,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,1148,2,3,0,0,2,3,2,5,0,1,0,1,2,6.4
True,2006-01-30,6,1,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,WIN,1222,3,7,0,0,0,0,3,7,1,2,0,1,4,6.6
True,2006-02-01,4,7,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1390,1,1,0,0,2,4,1,6,0,2,1,0,0,8.1
True,2006-02-02,6,-15,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1125,2,5,0,0,2,6,1,0,1,0,1,0,1,3.4
True,2006-02-04,0,-5,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,LOSS,898,0,3,0,0,0,0,2,2,1,0,2,0,0,2.0
True,2006-02-06,9,7,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1094,3,5,0,0,3,4,1,4,0,0,0,0,2,7.4
