active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-11-01,0,-1,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,909,0,2,0,1,0,1,0,0,6,0,0,0,1,2.0
True,2006-11-03,3,-2,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,962,1,4,1,4,0,0,0,0,4,1,0,0,3,3.2
True,2006-11-04,2,-6,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1333,1,4,0,3,0,0,0,5,1,0,0,1,0,0.8
True,2006-11-06,0,-23,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,LOSS,1045,0,3,0,3,0,0,0,0,1,0,0,3,3,-5.6
True,2006-11-08,0,16,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,LOSS,1164,0,1,0,1,0,0,1,2,5,1,0,0,2,4.3
True,2006-11-10,2,-15,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,1132,1,4,0,2,0,0,0,0,1,0,1,0,3,-0.2
True,2006-11-11,5,-12,MILWAUKEE BUCKS,HOME,UTAH JAZZ,LOSS,1052,2,4,0,1,1,2,0,2,3,0,0,0,1,4.9
True,2006-11-14,2,-20,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,519,0,1,0,0,2,4,0,0,0,1,0,0,0,1.5
True,2006-11-15,0,2,MILWAUKEE BUCKS,AWAY,NEW JERSEY NETS,LOSS,280,0,1,0,0,0,0,1,0,0,1,0,1,0,0.0
True,2006-11-18,4,-8,MILWAUKEE BUCKS,HOME,INDIANA PACERS,LOSS,908,2,4,0,1,0,0,0,1,1,1,0,1,1,2.6
True,2006-11-21,0,-6,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,692,0,1,0,1,0,0,0,1,1,1,0,1,1,-0.1
True,2006-11-22,2,-6,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,729,1,2,0,1,0,0,0,2,3,0,0,2,4,0.1
True,2006-11-25,3,11,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,LOSS,539,1,2,1,1,0,0,0,1,3,0,0,0,1,4.0
True,2006-11-28,0,1,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,WIN,1313,0,0,0,0,0,0,0,1,2,0,0,0,1,1.3
True,2006-12-01,3,13,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,LOSS,1196,1,4,1,3,0,0,0,0,1,1,0,3,3,-1.9
True,2006-12-02,8,8,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,WIN,1035,3,4,2,3,0,0,0,3,6,0,0,1,2,9.7
True,2006-12-04,4,-5,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,LOSS,1640,2,6,0,3,0,0,1,3,3,0,0,1,3,2.1
True,2006-12-06,10,11,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1481,4,8,2,4,0,0,0,1,1,0,0,3,1,3.6
True,2006-12-08,0,-27,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,WIN,1214,0,2,0,2,0,0,0,0,3,0,0,1,1,-0.7
True,2006-12-09,3,9,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,LOSS,1530,1,1,1,1,0,0,1,1,1,0,0,1,3,2.2
True,2006-12-12,0,-3,MILWAUKEE BUCKS,HOME,SEATTLE SUPERSONICS,WIN,986,0,3,0,1,0,0,0,1,2,1,0,0,0,0.6
True,2006-12-13,4,-10,MILWAUKEE BUCKS,AWAY,NEW JERSEY NETS,LOSS,613,1,2,1,2,1,3,0,0,2,0,0,1,1,2.2
True,2006-12-15,12,-10,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,LOSS,875,4,6,2,3,2,4,0,0,1,0,1,2,3,6.8
True,2006-12-16,0,4,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,490,0,1,0,1,0,0,0,1,2,0,0,0,1,0.6
True,2006-12-20,6,-11,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,746,2,5,2,3,0,0,1,0,2,0,0,0,0,5.4
True,2006-12-22,6,-3,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,941,3,6,0,1,0,0,0,1,3,1,0,0,1,6.0
True,2006-12-23,2,-1,MILWAUKEE BUCKS,HOME,NEW JERSEY NETS,WIN,962,1,3,0,1,0,0,0,0,2,0,0,2,1,-0.7
True,2006-12-26,0,-3,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,WIN,414,0,2,0,0,0,0,0,0,1,0,0,1,0,-1.7
True,2006-12-30,7,-6,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,1807,3,8,1,4,0,0,0,2,7,0,0,1,2,6.3
True,2007-01-03,6,-3,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,1147,2,5,0,2,2,2,0,2,2,1,0,0,0,6.3
True,2007-01-05,5,-8,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,LOSS,924,2,4,1,1,0,0,0,1,1,0,0,0,0,4.0
True,2007-01-08,11,-13,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,LOSS,1993,4,12,3,6,0,0,2,3,7,0,1,1,5,9.1
True,2007-01-10,10,-12,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,LOSS,2396,3,14,1,8,3,4,0,4,6,0,0,1,1,5.0
True,2007-01-12,13,4,DENVER NUGGETS,HOME,HOUSTON ROCKETS,LOSS,1710,5,8,3,5,0,0,0,4,6,0,0,0,1,14.4
True,2007-01-14,25,23,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2161,9,13,5,7,2,3,0,3,4,3,0,2,1,23.4
True,2007-01-19,6,14,DENVER NUGGETS,HOME,CLEVELAND CAVALIERS,WIN,2146,2,7,2,4,0,0,0,2,5,3,0,1,1,7.6
True,2007-01-20,12,12,DENVER NUGGETS,AWAY,HOUSTON ROCKETS,WIN,2104,4,9,3,6,1,1,0,5,4,3,1,3,1,11.9
True,2007-01-22,5,23,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,2165,2,8,1,4,0,0,0,1,12,2,0,1,0,9.9
True,2007-01-23,6,3,DENVER NUGGETS,AWAY,SEATTLE SUPERSONICS,WIN,1723,2,6,2,4,0,0,0,2,2,0,0,2,4,1.0
True,2007-01-26,5,-5,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,1722,2,5,1,4,0,0,0,2,6,5,0,1,4,9.5
True,2007-01-27,7,-2,DENVER NUGGETS,HOME,NEW JERSEY NETS,LOSS,2318,3,8,1,6,0,0,0,3,6,0,0,2,2,4.9
True,2007-01-29,0,1,DENVER NUGGETS,HOME,CHARLOTTE BOBCATS,LOSS,1709,0,2,0,2,0,0,0,1,5,0,0,2,1,0.0
True,2007-01-31,5,-9,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2356,2,5,0,0,1,2,1,2,3,0,0,0,1,4.9
True,2007-02-02,19,15,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,3009,6,7,0,0,7,11,0,3,14,2,0,2,2,24.8
True,2007-02-03,13,-12,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,1774,5,9,3,5,0,0,1,3,7,0,0,2,2,12.4
True,2007-02-05,4,-3,DENVER NUGGETS,HOME,PHOENIX SUNS,LOSS,2331,2,8,0,3,0,0,1,1,10,1,1,4,1,4.5
True,2007-02-07,14,-5,DENVER NUGGETS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,2322,6,12,2,7,0,0,3,2,6,1,1,4,2,11.8
True,2007-02-09,11,1,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,2615,3,5,1,2,4,4,0,2,8,1,0,2,2,13.1
True,2007-02-10,10,14,DENVER NUGGETS,AWAY,MILWAUKEE BUCKS,WIN,2620,4,14,0,2,2,2,0,1,11,1,0,2,0,8.8
True,2007-02-12,8,4,DENVER NUGGETS,HOME,GOLDEN STATE WARRIORS,WIN,2233,4,11,0,3,0,0,0,1,13,2,0,2,3,10.1
True,2007-02-14,4,-1,DENVER NUGGETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2451,2,8,0,3,0,0,1,4,18,1,0,6,2,7.9
True,2007-02-20,8,2,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,LOSS,1946,4,10,0,1,0,0,0,1,7,2,0,2,0,7.8
True,2007-02-23,8,-8,DENVER NUGGETS,HOME,UTAH JAZZ,LOSS,1827,4,10,0,3,0,0,0,1,3,1,0,3,3,1.8
True,2007-02-24,1,-11,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,1513,0,2,0,0,1,2,0,2,4,0,0,0,2,1.8
True,2007-02-26,6,5,DENVER NUGGETS,AWAY,MEMPHIS GRIZZLIES,WIN,1669,2,5,0,2,2,2,0,2,4,0,0,0,0,6.7
True,2007-02-28,0,10,DENVER NUGGETS,HOME,ORLANDO MAGIC,WIN,1254,0,2,0,1,0,0,0,2,6,1,0,1,0,3.4
