active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-11-01,8,-6,CHARLOTTE BOBCATS,HOME,INDIANA PACERS,LOSS,1127,2,6,2,5,2,2,0,2,2,1,0,1,4,5.0
True,2006-11-03,0,-1,CHARLOTTE BOBCATS,AWAY,MEMPHIS GRIZZLIES,LOSS,226,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.4
True,2006-11-08,0,-2,CHARLOTTE BOBCATS,AWAY,BOSTON CELTICS,LOSS,283,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.4
True,2006-11-10,0,-2,CHARLOTTE BOBCATS,HOME,SEATTLE SUPERSONICS,LOSS,474,0,3,0,0,0,0,0,0,1,0,0,0,1,-1.8
True,2006-11-12,8,-1,CHARLOTTE BOBCATS,HOME,DENVER NUGGETS,LOSS,748,3,6,0,3,2,2,1,1,1,0,0,1,5,3.7
True,2006-11-14,2,-4,CHARLOTTE BOBCATS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,222,0,0,0,0,2,2,0,0,0,1,0,0,0,3.0
True,2006-11-18,6,-11,CHARLOTTE BOBCATS,AWAY,ORLANDO MAGIC,LOSS,841,2,6,0,2,2,2,1,0,0,0,0,0,3,2.1
True,2006-11-22,11,4,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,WIN,964,4,6,0,1,3,3,0,1,2,1,0,1,4,8.5
True,2006-11-24,16,3,CHARLOTTE BOBCATS,AWAY,DETROIT PISTONS,LOSS,1191,8,12,0,0,0,1,1,1,2,0,0,0,3,11.6
True,2006-11-25,14,4,CHARLOTTE BOBCATS,HOME,MIAMI HEAT,LOSS,1090,5,10,1,3,3,4,1,3,1,2,0,1,4,10.3
True,2006-11-28,2,11,CHARLOTTE BOBCATS,AWAY,NEW JERSEY NETS,WIN,818,0,2,0,0,2,2,0,0,1,0,0,0,1,0.9
True,2006-11-29,7,2,CHARLOTTE BOBCATS,AWAY,ATLANTA HAWKS,LOSS,1046,3,5,0,2,1,1,1,0,1,1,0,0,2,6.3
True,2006-12-01,4,-2,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,465,1,3,1,2,1,1,0,1,0,0,0,1,1,1.2
