active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-10-31,17,7,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1759,8,13,0,1,1,2,2,2,0,3,0,1,3,13.5
True,2006-11-01,8,12,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,WIN,984,3,7,0,0,2,2,2,2,1,0,0,1,3,4.8
True,2006-11-03,2,-16,LOS ANGELES LAKERS,HOME,SEATTLE SUPERSONICS,WIN,896,1,6,0,2,0,0,2,0,0,0,0,1,2,-2.2
True,2006-11-05,0,-11,LOS ANGELES LAKERS,AWAY,SEATTLE SUPERSONICS,LOSS,699,0,3,0,2,0,0,2,0,2,0,0,3,2,-3.1
True,2006-11-07,5,-2,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,785,2,5,1,2,0,0,1,0,0,0,0,1,2,1.2
True,2006-11-08,4,1,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,713,0,2,0,0,4,4,0,0,0,1,0,0,2,2.8
True,2006-11-10,2,9,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,LOSS,1256,1,4,0,2,0,3,1,1,1,0,0,0,1,-0.3
True,2006-11-12,9,-4,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,1056,4,5,1,2,0,0,1,1,0,0,0,1,1,6.7
True,2006-11-17,4,7,LOS ANGELES LAKERS,HOME,TORONTO RAPTORS,WIN,1103,2,4,0,0,0,0,1,0,1,0,0,1,1,2.0
True,2006-11-19,6,11,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,890,2,3,2,2,0,0,1,2,0,0,0,0,0,6.0
True,2006-11-21,3,-8,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,WIN,1175,1,7,1,4,0,0,3,3,0,0,0,0,2,0.7
True,2006-11-24,5,9,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,667,2,4,1,1,0,0,0,0,1,1,0,0,0,4.7
True,2006-11-26,7,4,LOS ANGELES LAKERS,HOME,NEW JERSEY NETS,WIN,787,3,5,1,1,0,0,0,1,1,0,0,1,1,4.3
True,2006-11-28,8,-10,LOS ANGELES LAKERS,HOME,MILWAUKEE BUCKS,LOSS,1093,4,6,0,2,0,0,0,4,1,0,0,0,1,6.9
True,2006-11-30,17,17,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,1430,6,9,1,3,4,6,4,1,0,0,0,0,2,14.6
True,2006-12-02,4,12,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,WIN,965,2,5,0,1,0,0,0,0,1,0,0,0,2,1.2
True,2006-12-04,4,-7,LOS ANGELES LAKERS,HOME,INDIANA PACERS,WIN,960,1,3,0,1,2,2,2,1,1,0,0,1,4,2.1
True,2006-12-06,5,-1,LOS ANGELES LAKERS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,1081,2,5,0,1,1,2,1,2,1,2,0,1,1,4.5
True,2006-12-08,22,19,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,2379,8,14,1,3,5,7,1,0,2,0,0,3,4,12.1
True,2006-12-10,4,1,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1037,2,6,0,1,0,0,1,0,3,0,0,0,2,2.6
True,2006-12-12,6,-3,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,WIN,1024,2,7,0,0,2,2,1,2,1,1,0,2,1,2.5
True,2006-12-13,0,7,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,823,0,3,0,0,0,0,0,1,1,0,0,0,1,-1.5
True,2006-12-15,3,-6,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,1053,1,3,1,1,0,0,1,2,0,1,2,1,0,4.0
True,2006-12-17,4,-16,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,LOSS,1044,1,5,0,3,2,2,0,1,3,0,1,0,1,3.6
True,2006-12-19,5,-3,LOS ANGELES LAKERS,AWAY,CHICAGO BULLS,LOSS,1283,2,4,0,1,1,1,0,1,1,0,0,0,1,3.6
True,2006-12-20,15,31,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1270,7,9,0,1,1,2,1,2,1,1,0,2,2,11.3
True,2006-12-22,12,9,LOS ANGELES LAKERS,AWAY,NEW JERSEY NETS,WIN,1536,4,8,2,3,2,2,0,3,1,0,1,0,3,9.1
True,2006-12-25,5,-1,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,1333,2,5,1,2,0,0,0,1,1,0,0,2,2,0.5
True,2006-12-27,3,11,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,WIN,1386,1,5,1,2,0,0,1,3,1,1,0,1,2,1.4
True,2006-12-29,8,-17,LOS ANGELES LAKERS,AWAY,CHARLOTTE BOBCATS,LOSS,2293,2,6,0,2,4,6,1,4,0,0,1,0,4,4.8
True,2006-12-31,8,10,LOS ANGELES LAKERS,HOME,PHILADELPHIA 76ERS,WIN,2216,3,12,1,4,1,2,1,6,0,0,0,1,4,0.3
True,2007-01-04,5,-2,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,WIN,1807,2,6,1,3,0,2,0,3,1,0,0,2,3,-0.8
True,2007-01-05,16,-1,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1321,7,12,1,2,1,1,1,2,1,1,0,0,3,12.2
True,2007-01-07,2,0,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,905,1,3,0,0,0,0,0,0,3,0,1,1,2,1.3
True,2007-01-09,21,-1,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1262,6,7,3,3,6,7,0,4,0,0,0,2,1,16.9
True,2007-01-10,10,-23,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,LOSS,1741,4,12,0,1,2,2,2,1,3,0,0,1,0,6.0
True,2007-01-12,9,-2,LOS ANGELES LAKERS,HOME,ORLANDO MAGIC,WIN,1288,2,5,0,1,5,6,0,2,0,0,0,0,0,6.5
True,2007-01-15,12,5,LOS ANGELES LAKERS,HOME,MIAMI HEAT,WIN,1546,5,8,1,2,1,2,1,2,4,0,0,0,1,11.7
True,2007-01-17,11,4,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1819,4,10,0,1,3,5,2,3,0,2,0,2,2,6.3
True,2007-01-18,6,-6,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,1670,3,10,0,2,0,0,2,2,0,1,0,1,1,1.8
True,2007-01-20,23,6,LOS ANGELES LAKERS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,1687,8,9,2,2,5,5,4,3,0,0,0,1,2,21.8
True,2007-01-22,14,2,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1627,5,14,1,3,3,4,2,0,0,2,0,2,0,7.2
True,2007-01-26,11,-13,LOS ANGELES LAKERS,HOME,CHARLOTTE BOBCATS,LOSS,1962,4,13,0,3,3,4,2,5,2,0,1,0,2,7.3
True,2007-01-28,2,6,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,LOSS,865,0,5,0,0,2,2,0,2,0,0,0,0,0,-0.9
True,2007-01-30,10,-2,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,LOSS,1617,4,12,0,2,2,2,2,0,1,0,0,0,2,4.5
True,2007-01-31,6,1,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,WIN,1784,2,5,0,2,2,3,1,2,1,0,1,1,1,4.2
True,2007-02-02,2,3,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,LOSS,1352,1,4,0,1,0,0,2,1,1,0,1,0,0,2.7
True,2007-02-03,8,12,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,1246,3,4,0,1,2,2,0,3,0,0,0,1,4,4.7
True,2007-02-05,6,5,LOS ANGELES LAKERS,AWAY,ATLANTA HAWKS,WIN,1732,3,7,0,0,0,0,3,1,0,0,1,1,3,3.2
True,2007-02-08,7,0,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,LOSS,1670,1,9,0,2,5,7,4,2,1,1,0,0,2,4.6
True,2007-02-09,19,3,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1740,7,11,3,4,2,2,2,0,1,0,0,0,2,15.4
True,2007-02-11,6,-14,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,1357,1,9,0,1,4,4,3,2,1,1,1,2,3,2.0
True,2007-02-13,16,5,LOS ANGELES LAKERS,HOME,NEW YORK KNICKS,LOSS,1616,5,10,3,4,3,4,0,3,3,2,0,1,3,13.4
True,2007-02-15,1,-6,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,745,0,6,0,0,1,2,3,1,0,0,0,0,2,-2.0
True,2007-02-21,23,-7,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1773,9,12,2,3,3,3,1,0,2,1,1,1,3,19.8
True,2007-02-23,11,13,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,1801,4,11,0,0,3,3,3,3,2,1,1,0,3,9.8
True,2007-02-25,26,9,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,WIN,2168,8,13,2,3,8,9,0,2,4,2,0,0,0,25.1
True,2007-02-26,10,3,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,WIN,2060,2,11,1,4,5,6,2,5,1,0,0,0,3,5.1
True,2007-03-04,6,-8,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1766,3,7,0,0,0,0,0,2,2,1,0,2,2,2.5
True,2007-03-06,5,-9,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2690,2,11,0,4,1,2,0,7,1,4,1,1,5,2.2
True,2007-03-07,22,-14,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,LOSS,2214,9,16,1,2,3,3,1,0,2,2,0,0,0,18.5
True,2007-03-09,9,-20,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,1515,3,7,1,3,2,2,2,1,0,0,0,3,1,3.6
True,2007-03-11,4,-26,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1748,2,8,0,3,0,0,0,1,1,0,0,0,1,-0.2
True,2007-03-15,0,-12,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,844,0,3,0,1,0,0,1,0,1,1,0,1,0,-0.7
