active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-11-03,4,0,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,LOSS,875,1,4,0,3,2,2,1,2,1,0,0,1,3,1.4
True,2006-11-05,0,-1,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,620,0,3,0,2,0,0,0,1,0,0,0,0,0,-1.8
True,2006-11-08,2,-3,ORLANDO MAGIC,HOME,SEATTLE SUPERSONICS,WIN,533,1,4,0,1,0,0,1,0,0,1,0,1,1,-0.1
True,2006-11-11,11,1,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,WIN,1130,2,5,1,3,6,7,1,0,0,0,0,0,2,7.8
True,2006-11-18,3,6,ORLANDO MAGIC,HOME,CHARLOTTE BOBCATS,WIN,386,1,2,1,2,0,0,0,0,1,0,0,0,0,2.7
True,2006-12-03,0,-12,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,704,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4
True,2006-12-04,0,-2,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,WIN,290,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2006-12-08,3,8,ORLANDO MAGIC,HOME,DETROIT PISTONS,LOSS,556,1,2,1,2,0,0,1,0,0,1,0,1,3,1.5
True,2006-12-09,0,0,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,WIN,256,0,1,0,1,0,0,2,0,0,0,0,0,1,0.3
True,2006-12-14,3,-9,ORLANDO MAGIC,AWAY,CHARLOTTE BOBCATS,LOSS,627,1,4,1,2,0,0,0,1,1,0,0,0,1,1.2
True,2006-12-16,0,7,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,267,0,1,0,1,0,0,0,0,0,0,0,3,2,-4.5
True,2006-12-20,0,0,ORLANDO MAGIC,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
