active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-01-17,7,6,CHARLOTTE BOBCATS,HOME,NEW JERSEY NETS,LOSS,617,2,3,0,0,3,6,1,0,0,0,0,1,5,2.2
True,2007-01-19,4,0,CHARLOTTE BOBCATS,AWAY,ATLANTA HAWKS,WIN,896,2,3,0,0,0,0,0,1,0,0,1,0,0,3.7
True,2007-01-20,0,-9,CHARLOTTE BOBCATS,HOME,ATLANTA HAWKS,WIN,413,0,0,0,0,0,0,0,1,0,0,1,1,2,-0.8
True,2007-01-22,6,-5,CHARLOTTE BOBCATS,AWAY,TORONTO RAPTORS,LOSS,720,2,5,0,0,2,4,2,0,0,0,1,0,2,3.8
True,2007-01-24,0,-8,CHARLOTTE BOBCATS,HOME,DETROIT PISTONS,LOSS,180,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2007-01-27,6,2,CHARLOTTE BOBCATS,AWAY,GOLDEN STATE WARRIORS,LOSS,705,2,4,0,0,2,3,2,2,0,1,1,1,3,5.1
True,2007-01-29,0,-2,CHARLOTTE BOBCATS,AWAY,DENVER NUGGETS,WIN,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-02-02,2,-4,CHARLOTTE BOBCATS,AWAY,CLEVELAND CAVALIERS,LOSS,584,1,2,0,0,0,0,0,1,0,1,0,2,1,-0.1
True,2007-02-09,0,-2,CHARLOTTE BOBCATS,HOME,PORTLAND TRAIL BLAZERS,LOSS,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-02-10,0,-1,CHARLOTTE BOBCATS,AWAY,HOUSTON ROCKETS,LOSS,382,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2007-02-14,2,-3,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,WIN,83,0,0,0,0,2,2,0,0,0,0,0,0,0,2.0
True,2007-02-24,7,1,CHARLOTTE BOBCATS,HOME,TORONTO RAPTORS,LOSS,564,2,2,0,0,3,3,0,2,0,0,0,1,2,5.2
True,2007-02-28,2,-1,CHARLOTTE BOBCATS,AWAY,SACRAMENTO KINGS,LOSS,181,1,2,0,0,0,0,1,0,0,0,1,0,2,1.6
True,2007-03-01,6,-28,CHARLOTTE BOBCATS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1387,2,3,0,0,2,2,2,2,0,0,2,3,6,2.7
True,2007-03-05,4,-9,CHARLOTTE BOBCATS,AWAY,UTAH JAZZ,LOSS,587,1,1,0,0,2,5,0,1,0,0,0,0,2,2.0
True,2007-03-07,2,-14,CHARLOTTE BOBCATS,AWAY,PHOENIX SUNS,LOSS,631,1,2,0,0,0,2,1,0,0,0,0,0,0,0.9
True,2007-03-16,8,4,CHARLOTTE BOBCATS,HOME,LOS ANGELES CLIPPERS,LOSS,461,2,3,0,0,4,5,1,1,0,0,0,0,0,7.3
True,2007-03-17,0,1,CHARLOTTE BOBCATS,AWAY,MILWAUKEE BUCKS,LOSS,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-03-21,2,-6,CHARLOTTE BOBCATS,AWAY,BOSTON CELTICS,WIN,223,1,1,0,0,0,0,0,0,0,1,0,0,0,2.7
True,2007-03-23,2,2,CHARLOTTE BOBCATS,AWAY,PHILADELPHIA 76ERS,LOSS,206,0,0,0,0,2,4,0,0,0,0,0,0,0,1.2
True,2007-03-24,0,-4,CHARLOTTE BOBCATS,HOME,NEW JERSEY NETS,LOSS,125,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3
True,2007-04-01,0,3,CHARLOTTE BOBCATS,AWAY,TORONTO RAPTORS,LOSS,138,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2007-04-08,0,1,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,WIN,367,0,1,0,0,0,0,0,2,0,1,0,1,1,-0.5
True,2007-04-10,1,-16,CHARLOTTE BOBCATS,HOME,MIAMI HEAT,WIN,570,0,1,0,0,1,2,0,1,0,0,0,2,2,-2.6
True,2007-04-13,0,-3,CHARLOTTE BOBCATS,AWAY,CHICAGO BULLS,LOSS,366,0,1,0,0,0,0,0,1,0,0,0,2,2,-3.2
True,2007-04-14,3,5,CHARLOTTE BOBCATS,AWAY,MILWAUKEE BUCKS,WIN,487,1,1,0,0,1,2,1,3,0,0,0,1,3,1.7
True,2007-04-18,0,-2,CHARLOTTE BOBCATS,HOME,NEW YORK KNICKS,LOSS,70,0,0,0,0,0,0,0,0,0,0,0,1,3,-2.2
