active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-11-01,6,-2,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,1523,2,10,2,6,0,0,0,0,3,0,1,0,2,1.8
True,2006-11-03,2,8,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,WIN,1427,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2006-11-04,3,2,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,LOSS,1406,1,7,1,6,0,1,1,2,0,0,0,1,0,-1.6
True,2006-11-07,3,4,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,1206,1,4,1,3,0,0,0,1,0,0,0,2,3,-2.3
True,2006-11-09,7,9,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1410,3,4,1,1,0,0,0,1,2,0,0,0,1,6.7
True,2006-11-11,6,13,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,1604,2,6,2,3,0,0,0,4,4,0,1,0,0,7.3
True,2006-11-13,29,8,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,1695,9,12,7,10,4,4,0,1,0,1,0,2,1,23.1
True,2006-11-15,7,13,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2001,3,8,0,5,1,1,0,1,3,2,0,0,1,6.6
True,2006-11-17,11,14,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1714,5,8,0,1,1,1,1,0,2,1,0,2,3,7.3
True,2006-11-18,10,-22,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,1601,4,10,2,7,0,0,0,2,5,0,0,1,1,7.3
True,2006-11-21,21,-5,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,1903,6,10,5,8,4,4,0,1,4,1,0,0,0,20.5
True,2006-11-22,12,1,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1950,5,13,2,7,0,0,1,1,2,1,0,1,2,6.5
True,2006-11-24,9,-13,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,1695,3,9,2,5,1,2,0,0,3,0,0,2,4,2.0
True,2006-11-25,12,26,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,2032,4,8,3,5,1,1,0,3,4,0,0,1,1,10.3
True,2006-11-29,6,5,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1907,2,6,2,5,0,0,0,2,3,0,0,2,0,3.3
True,2006-12-01,15,6,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,WIN,1956,6,8,3,4,0,0,0,2,1,0,0,1,2,11.3
True,2006-12-02,0,-9,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,LOSS,1422,0,4,0,3,0,1,0,1,1,1,0,0,1,-1.6
True,2006-12-06,10,9,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,1711,3,9,3,8,1,2,1,1,3,1,0,1,0,7.6
True,2006-12-09,15,18,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1765,5,8,3,6,2,3,0,2,3,0,0,2,0,11.7
True,2006-12-11,7,-9,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,1300,3,10,1,5,0,0,0,1,3,0,0,1,1,2.2
True,2006-12-13,11,4,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,1247,4,7,3,4,0,0,0,0,1,0,0,0,2,7.6
True,2006-12-15,7,11,CLEVELAND CAVALIERS,HOME,SEATTLE SUPERSONICS,WIN,1163,3,6,1,4,0,0,0,1,3,0,0,1,0,5.4
True,2006-12-16,4,-12,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,1556,1,4,0,0,2,2,0,1,1,0,0,1,0,1.6
True,2006-12-20,14,4,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,LOSS,1356,4,7,3,4,3,3,0,0,0,2,0,0,3,11.5
True,2006-12-21,3,-4,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,LOSS,1098,1,6,1,4,0,0,0,2,0,0,0,0,1,-0.6
True,2006-12-23,0,-7,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,1239,0,4,0,2,0,0,0,0,4,0,0,1,1,-1.4
True,2006-12-27,5,-7,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,WIN,1203,2,4,1,1,0,0,0,0,0,0,0,1,0,2.0
True,2006-12-29,0,-15,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,785,0,5,0,3,0,0,0,0,1,0,0,2,0,-4.8
True,2006-12-30,2,-16,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,814,1,2,0,1,0,0,1,1,1,0,0,0,0,2.7
True,2007-01-02,11,9,CLEVELAND CAVALIERS,HOME,SAN ANTONIO SPURS,WIN,1281,2,5,1,3,6,9,0,1,2,0,0,1,0,7.8
True,2007-01-03,9,2,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,1532,3,9,3,7,0,2,0,3,2,0,0,0,0,5.4
True,2007-01-05,8,-3,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,WIN,1095,3,10,2,5,0,0,1,0,2,0,0,0,1,3.9
True,2007-01-06,8,-1,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1138,3,4,2,2,0,1,1,1,1,0,0,0,1,7.3
True,2007-01-09,14,18,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,WIN,1226,5,10,4,7,0,0,1,1,0,0,0,0,3,8.8
True,2007-01-11,6,-4,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,1307,2,6,2,6,0,0,0,2,0,0,0,1,1,1.8
True,2007-01-13,12,7,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,WIN,1638,3,7,3,5,3,3,0,1,1,1,0,1,0,9.3
