active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-11-01,10,-8,CHARLOTTE BOBCATS,HOME,INDIANA PACERS,LOSS,1982,5,11,0,0,0,0,3,7,2,0,1,1,4,8.0
True,2006-11-03,9,-3,CHARLOTTE BOBCATS,AWAY,MEMPHIS GRIZZLIES,LOSS,1215,4,5,0,0,1,2,0,6,2,0,2,2,3,8.1
True,2006-11-04,14,2,CHARLOTTE BOBCATS,HOME,CLEVELAND CAVALIERS,WIN,1638,6,13,0,0,2,2,3,6,1,0,3,1,4,11.4
True,2006-11-08,10,-1,CHARLOTTE BOBCATS,AWAY,BOSTON CELTICS,LOSS,1739,4,12,0,0,2,2,0,1,0,2,1,3,5,1.2
True,2006-11-10,8,3,CHARLOTTE BOBCATS,HOME,SEATTLE SUPERSONICS,LOSS,1045,4,6,0,0,0,0,1,5,4,0,0,3,1,7.0
True,2006-11-12,6,-4,CHARLOTTE BOBCATS,HOME,DENVER NUGGETS,LOSS,1134,2,5,0,0,2,4,2,4,1,1,2,1,5,5.2
True,2006-11-14,18,1,CHARLOTTE BOBCATS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,1723,7,16,0,0,4,6,5,6,1,0,2,4,4,10.6
True,2006-11-15,8,-6,CHARLOTTE BOBCATS,AWAY,SAN ANTONIO SPURS,WIN,779,4,13,0,0,0,0,3,2,0,0,0,1,1,1.8
True,2006-11-18,12,-6,CHARLOTTE BOBCATS,AWAY,ORLANDO MAGIC,LOSS,1463,5,10,0,0,2,2,0,5,1,1,0,1,2,8.4
True,2006-11-20,10,0,CHARLOTTE BOBCATS,HOME,DALLAS MAVERICKS,LOSS,1250,4,6,0,0,2,3,0,3,3,0,0,0,5,8.0
True,2006-11-22,8,13,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,WIN,1399,3,5,0,0,2,2,2,5,0,0,0,2,2,5.8
True,2006-11-24,0,-6,CHARLOTTE BOBCATS,AWAY,DETROIT PISTONS,LOSS,407,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.7
True,2006-11-25,0,1,CHARLOTTE BOBCATS,HOME,MIAMI HEAT,LOSS,449,0,4,0,0,0,0,1,0,0,0,0,0,1,-2.5
True,2006-11-28,20,6,CHARLOTTE BOBCATS,AWAY,NEW JERSEY NETS,WIN,1477,8,12,0,0,4,5,3,4,5,0,1,2,3,18.7
True,2006-11-29,21,5,CHARLOTTE BOBCATS,AWAY,ATLANTA HAWKS,LOSS,2296,7,16,0,1,7,7,7,10,5,1,3,1,2,25.3
True,2006-12-01,9,-11,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,1204,4,6,0,0,1,2,1,6,1,0,1,2,2,7.1
True,2006-12-03,17,5,CHARLOTTE BOBCATS,HOME,DETROIT PISTONS,WIN,1355,7,10,0,0,3,3,1,3,1,0,1,3,2,12.0
True,2006-12-06,18,-4,CHARLOTTE BOBCATS,HOME,SAN ANTONIO SPURS,LOSS,2019,8,15,0,0,2,2,3,4,0,0,0,1,3,11.8
True,2006-12-08,7,-13,CHARLOTTE BOBCATS,HOME,HOUSTON ROCKETS,LOSS,1421,1,6,0,0,5,6,1,5,1,1,0,2,2,3.9
True,2006-12-10,26,-21,CHARLOTTE BOBCATS,HOME,PHOENIX SUNS,LOSS,2336,10,12,0,0,6,7,2,8,4,0,1,1,0,27.5
True,2006-12-13,15,-15,CHARLOTTE BOBCATS,AWAY,CLEVELAND CAVALIERS,LOSS,1622,5,13,0,0,5,5,5,8,6,1,0,4,5,13.0
True,2006-12-14,32,7,CHARLOTTE BOBCATS,HOME,ORLANDO MAGIC,WIN,1863,9,15,0,0,14,17,5,1,2,1,1,1,3,28.6
True,2006-12-16,8,9,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,LOSS,608,4,7,0,0,0,0,2,0,1,0,0,2,0,4.8
True,2006-12-30,8,5,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,WIN,1028,4,5,0,0,0,2,2,6,1,0,0,2,4,5.6
True,2007-01-01,12,14,CHARLOTTE BOBCATS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1591,6,9,0,0,0,2,3,4,5,0,0,1,3,11.9
True,2007-01-05,3,-18,CHARLOTTE BOBCATS,AWAY,ORLANDO MAGIC,LOSS,1523,1,8,0,0,1,2,1,7,0,0,0,2,4,-3.4
True,2007-01-10,14,6,CHARLOTTE BOBCATS,AWAY,DETROIT PISTONS,WIN,1715,4,7,0,0,6,6,2,6,2,2,1,2,4,14.4
True,2007-01-12,8,14,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,WIN,1492,3,9,0,0,2,5,0,9,4,0,0,2,4,3.6
True,2007-01-13,13,15,CHARLOTTE BOBCATS,HOME,PHILADELPHIA 76ERS,WIN,1456,4,10,0,0,5,6,4,6,0,2,1,1,3,12.3
True,2007-01-15,5,-3,CHARLOTTE BOBCATS,HOME,MILWAUKEE BUCKS,LOSS,988,2,8,0,0,1,2,1,2,2,0,1,1,0,2.2
True,2007-01-24,14,2,CHARLOTTE BOBCATS,HOME,DETROIT PISTONS,LOSS,1671,6,9,0,0,2,2,3,3,4,0,0,2,3,12.7
True,2007-01-26,6,-4,CHARLOTTE BOBCATS,AWAY,LOS ANGELES LAKERS,WIN,1460,3,10,0,0,0,0,3,2,1,3,1,2,3,4.1
True,2007-03-10,13,3,CHARLOTTE BOBCATS,HOME,MEMPHIS GRIZZLIES,LOSS,1331,5,10,0,0,3,6,1,2,2,2,0,0,4,9.9
True,2007-03-12,14,10,CHARLOTTE BOBCATS,HOME,ORLANDO MAGIC,WIN,1660,6,8,0,0,2,2,1,3,2,2,1,1,4,13.9
True,2007-03-14,20,5,CHARLOTTE BOBCATS,HOME,SACRAMENTO KINGS,WIN,1941,9,17,2,2,0,0,2,10,2,0,0,1,5,14.5
