active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-11-01,21,18,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,1949,7,8,2,2,5,6,0,4,3,1,1,5,4,16.2
True,2006-11-03,14,2,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,LOSS,2127,6,12,0,0,2,5,2,3,3,0,0,4,3,6.0
True,2006-11-05,4,1,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1361,2,6,0,0,0,0,1,0,1,2,0,5,3,-2.2
True,2006-11-06,8,-13,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,WIN,1298,4,9,0,1,0,0,0,1,4,0,0,5,2,0.6
True,2006-11-08,18,4,ORLANDO MAGIC,HOME,SEATTLE SUPERSONICS,WIN,1735,8,12,2,3,0,0,0,2,3,3,0,3,3,14.3
True,2006-11-10,19,-6,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1959,8,11,0,0,3,4,0,1,6,1,0,2,3,16.4
True,2006-11-11,23,1,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,WIN,1907,8,13,1,2,6,7,0,2,3,1,0,2,3,17.2
True,2006-11-13,24,9,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,2085,11,17,0,2,2,4,0,5,7,1,0,4,2,18.3
True,2006-11-15,7,-10,ORLANDO MAGIC,HOME,DENVER NUGGETS,WIN,1577,3,10,0,2,1,2,0,6,4,0,0,4,2,0.6
True,2006-11-18,9,4,ORLANDO MAGIC,HOME,CHARLOTTE BOBCATS,WIN,1515,3,7,1,1,2,2,1,2,4,1,1,3,2,7.3
True,2006-11-20,12,4,ORLANDO MAGIC,AWAY,MEMPHIS GRIZZLIES,LOSS,2010,5,12,0,3,2,2,0,2,4,2,0,2,4,7.4
True,2006-11-22,22,9,ORLANDO MAGIC,HOME,INDIANA PACERS,WIN,1873,7,12,1,2,7,9,0,3,5,3,0,1,4,20.4
True,2006-11-24,14,-13,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1811,6,11,2,3,0,0,1,1,5,1,0,1,4,11.6
True,2006-11-25,11,15,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,1618,4,9,1,2,2,4,0,3,2,1,0,1,2,7.0
True,2006-11-27,15,10,ORLANDO MAGIC,AWAY,UTAH JAZZ,WIN,1768,7,19,0,5,1,3,4,3,3,2,0,1,2,9.7
True,2006-11-29,9,6,ORLANDO MAGIC,AWAY,SEATTLE SUPERSONICS,WIN,1467,4,10,1,2,0,0,1,2,6,0,0,1,2,7.3
True,2006-12-01,1,0,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,WIN,1571,0,4,0,1,1,2,0,3,5,2,0,2,2,1.4
True,2006-12-03,13,-8,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1506,6,10,1,2,0,0,1,4,3,1,0,0,1,13.0
True,2006-12-04,14,1,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,WIN,1668,6,9,2,4,0,0,0,0,7,0,0,3,3,10.8
True,2006-12-06,12,-1,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1785,3,12,0,4,6,6,0,4,1,3,0,1,2,7.9
True,2006-12-08,9,-6,ORLANDO MAGIC,HOME,DETROIT PISTONS,LOSS,1921,4,10,1,4,0,0,0,2,5,0,0,2,3,4.5
True,2006-12-09,8,0,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,WIN,1766,4,12,0,2,0,0,1,3,7,1,1,2,1,7.0
True,2006-12-11,7,-19,ORLANDO MAGIC,HOME,PHOENIX SUNS,LOSS,1428,2,9,1,4,2,2,0,3,0,0,0,1,2,0.6
True,2006-12-22,22,-5,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,LOSS,1540,8,13,1,3,5,6,1,0,1,2,0,4,3,13.9
True,2006-12-23,5,-10,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1649,1,8,0,0,3,4,0,2,4,0,0,3,4,-1.8
True,2006-12-27,15,-11,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,LOSS,1964,6,12,1,1,2,2,1,2,7,1,0,3,3,12.0
True,2006-12-29,15,-1,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,2087,6,14,1,2,2,2,2,3,5,1,0,0,3,13.2
True,2006-12-30,7,10,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1363,3,9,0,3,1,1,1,1,7,1,0,3,2,5.0
True,2007-01-02,29,9,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,WIN,2054,11,16,1,2,6,8,2,1,4,0,0,1,2,24.1
True,2007-01-05,20,17,ORLANDO MAGIC,HOME,CHARLOTTE BOBCATS,WIN,1710,8,15,4,6,0,0,1,0,3,1,0,2,2,13.7
True,2007-01-07,6,8,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1918,3,13,0,2,0,0,0,4,5,1,0,2,4,0.2
True,2007-01-10,7,14,ORLANDO MAGIC,AWAY,GOLDEN STATE WARRIORS,WIN,1823,2,9,0,4,3,4,0,0,2,3,0,1,4,2.9
True,2007-01-12,7,-2,ORLANDO MAGIC,AWAY,LOS ANGELES LAKERS,LOSS,1546,3,10,1,2,0,0,1,5,6,0,0,0,3,6.4
True,2007-01-13,26,5,ORLANDO MAGIC,AWAY,PHOENIX SUNS,LOSS,1623,9,15,4,7,4,4,0,2,2,1,0,1,6,18.7
True,2007-01-16,12,-8,ORLANDO MAGIC,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,2339,6,17,0,3,0,0,1,1,3,2,1,2,1,5.9
True,2007-01-19,15,-9,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,LOSS,1877,6,13,2,3,1,1,0,2,7,0,0,1,3,11.6
