active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-02-03,2,0,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,644,1,4,0,0,0,0,2,1,1,0,0,0,0,2.0
True,2007-02-05,2,-2,WASHINGTON WIZARDS,HOME,SEATTLE SUPERSONICS,WIN,361,1,2,0,0,0,0,1,0,0,0,0,0,1,1.3
True,2007-02-07,0,-2,WASHINGTON WIZARDS,HOME,SAN ANTONIO SPURS,LOSS,758,0,2,0,0,0,0,1,1,0,1,1,1,3,-0.9
True,2007-02-11,4,-16,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,LOSS,842,1,3,0,0,2,2,1,0,0,0,0,3,3,-1.2
True,2007-02-14,12,11,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,859,3,5,0,0,6,7,0,4,0,0,0,1,2,8.7
True,2007-02-20,2,2,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,1009,1,4,0,0,0,0,0,1,2,0,0,1,4,-1.3
True,2007-02-22,6,-4,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,1024,3,7,0,0,0,0,1,1,1,0,1,0,6,2.3
True,2007-02-23,4,0,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,764,2,3,0,0,0,0,1,1,0,1,0,1,4,2.1
True,2007-02-25,9,12,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,868,4,6,0,0,1,2,1,2,1,0,0,1,2,6.2
True,2007-02-27,8,-2,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,LOSS,1572,4,8,0,0,0,1,1,3,2,2,0,0,0,8.6
True,2007-02-28,6,2,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,1136,2,6,0,1,2,2,1,4,1,2,3,4,0,5.3
