active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-11-07,15,-1,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,LOSS,1369,6,13,0,0,3,3,0,2,0,1,0,2,4,6.3
True,2006-11-11,9,-13,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1177,4,11,0,0,1,2,0,2,0,0,1,0,4,2.2
True,2006-11-12,9,-11,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1902,4,14,0,1,1,2,3,4,2,0,3,3,2,3.4
True,2006-11-15,15,-8,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1881,6,9,0,0,3,3,2,2,1,0,0,3,2,10.0
True,2006-11-17,21,-10,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,LOSS,1910,8,13,0,0,5,6,2,5,0,0,2,3,3,14.8
True,2006-11-18,3,4,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,1007,1,3,0,0,1,3,0,2,1,0,1,2,3,-0.7
True,2006-11-20,5,-17,MEMPHIS GRIZZLIES,HOME,ORLANDO MAGIC,WIN,839,2,6,0,0,1,2,1,2,0,0,0,2,1,0.1
True,2006-11-21,10,-9,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,LOSS,1450,4,10,0,0,2,4,4,2,1,0,1,0,5,6.6
True,2006-11-24,11,3,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,1773,4,13,0,0,3,6,4,6,0,3,1,1,2,8.8
True,2006-11-25,6,-7,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,LOSS,1249,2,10,0,0,2,4,3,1,0,0,1,3,4,-2.5
True,2006-11-28,7,-4,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,WIN,1325,3,7,0,0,1,1,5,6,0,0,0,1,2,6.8
True,2006-11-29,8,-5,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,1471,3,5,0,0,2,4,3,5,0,2,1,3,4,6.6
True,2006-12-02,6,-1,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,LOSS,1414,3,6,0,0,0,1,1,3,0,0,4,1,5,4.0
True,2006-12-04,14,-7,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,LOSS,1624,5,9,0,0,4,4,0,2,0,2,0,2,4,8.7
True,2006-12-06,6,9,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,808,2,4,0,0,2,2,0,2,0,0,2,0,3,4.8
