active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-11-01,3,0,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,LOSS,1025,1,3,0,0,1,2,1,4,0,0,0,1,1,1.4
True,2006-11-03,9,6,MEMPHIS GRIZZLIES,HOME,CHARLOTTE BOBCATS,WIN,1397,3,10,0,0,3,3,4,4,0,2,1,3,2,6.1
True,2006-11-04,4,0,MEMPHIS GRIZZLIES,AWAY,DETROIT PISTONS,LOSS,896,2,5,0,0,0,0,0,3,0,0,1,1,1,1.5
True,2006-11-07,0,-12,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,LOSS,636,0,2,0,0,0,0,1,0,0,0,0,1,3,-2.9
True,2006-11-18,0,-3,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,214,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.3
True,2006-11-20,11,30,MEMPHIS GRIZZLIES,HOME,ORLANDO MAGIC,WIN,1418,4,5,0,0,3,3,2,7,0,1,1,0,2,13.5
True,2006-11-21,0,-8,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,LOSS,239,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2006-11-25,2,2,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,LOSS,775,1,3,0,0,0,3,1,1,0,0,1,0,2,0.0
True,2006-12-02,2,1,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,LOSS,876,1,5,0,0,0,0,3,0,0,0,0,1,0,0.0
True,2006-12-04,4,-7,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,LOSS,883,2,4,0,0,0,1,2,3,0,1,1,1,4,3.0
True,2006-12-06,2,-5,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,229,0,0,0,0,2,2,0,1,0,0,0,0,2,1.5
True,2006-12-08,5,-14,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,LOSS,1384,2,4,0,0,1,4,2,4,0,0,1,2,3,1.9
True,2006-12-09,4,6,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,LOSS,1657,2,3,0,0,0,2,3,5,1,1,1,4,2,3.1
True,2006-12-11,0,-12,MEMPHIS GRIZZLIES,AWAY,NEW JERSEY NETS,LOSS,390,0,1,0,0,0,0,1,1,0,0,0,2,1,-2.1
True,2006-12-13,0,-2,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,LOSS,589,0,0,0,0,0,0,0,1,1,0,0,3,3,-3.2
True,2006-12-16,2,0,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,357,0,0,0,0,2,2,1,1,0,0,0,0,1,2.6
True,2006-12-20,0,-6,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,359,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2006-12-23,0,-2,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,38,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2006-12-26,6,-2,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,1115,2,3,0,0,2,2,2,1,0,2,3,0,2,9.7
True,2006-12-31,0,2,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,LOSS,239,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.1
True,2007-01-20,0,-6,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,373,0,1,0,0,0,0,0,2,0,0,0,0,1,-0.5
True,2007-01-27,0,0,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,LOSS,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-01-29,0,-2,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,153,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2007-02-25,0,8,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,WIN,514,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2007-02-26,7,5,HOUSTON ROCKETS,HOME,BOSTON CELTICS,LOSS,1317,3,4,0,0,1,1,5,5,1,0,0,0,3,9.9
True,2007-02-28,0,4,HOUSTON ROCKETS,HOME,TORONTO RAPTORS,LOSS,386,0,1,0,0,0,0,1,0,1,0,0,0,0,0.7
True,2007-03-02,4,-3,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,WIN,844,0,2,0,0,4,4,3,2,0,0,0,1,2,3.5
True,2007-03-03,2,3,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,LOSS,1130,1,3,0,0,0,2,1,2,0,0,0,0,2,0.0
True,2007-03-09,2,-9,HOUSTON ROCKETS,HOME,NEW JERSEY NETS,WIN,227,0,0,0,0,2,2,1,1,0,0,0,0,0,3.0
True,2007-03-11,4,-6,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,WIN,426,1,1,0,0,2,2,1,0,0,0,1,1,2,3.3
True,2007-03-14,3,-4,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,WIN,136,1,1,0,0,1,2,0,0,0,0,0,0,1,1.9
True,2007-03-18,6,10,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,WIN,428,2,3,0,0,2,2,0,2,0,0,0,0,2,4.5
True,2007-03-25,0,1,HOUSTON ROCKETS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,591,0,0,0,0,0,0,0,1,0,1,0,0,1,0.9
True,2007-03-26,0,13,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,614,0,2,0,0,0,0,3,4,1,0,0,0,1,2.2
True,2007-04-14,0,-1,HOUSTON ROCKETS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,186,0,2,0,0,0,0,1,0,0,0,0,0,0,-0.7
True,2007-04-18,2,-16,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,1119,1,3,0,0,0,0,2,3,0,0,0,1,2,0.8
