active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2006-10-31,2,-1,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,204,1,2,0,0,0,0,0,0,1,0,0,0,0,1.7
True,2006-11-01,23,13,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,WIN,1891,8,10,0,0,7,12,4,5,3,2,2,3,5,22.0
True,2006-11-03,13,4,LOS ANGELES LAKERS,HOME,SEATTLE SUPERSONICS,WIN,946,3,3,0,0,7,8,1,6,0,0,3,1,2,14.5
True,2006-11-05,5,-11,LOS ANGELES LAKERS,AWAY,SEATTLE SUPERSONICS,LOSS,903,2,4,0,0,1,1,0,2,0,0,0,0,3,2.4
True,2006-11-07,2,-8,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,758,1,1,0,0,0,0,2,3,0,2,0,3,5,1.0
True,2006-11-08,6,-6,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1103,3,5,0,0,0,0,1,1,1,0,1,0,4,4.5
True,2006-11-10,2,5,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,LOSS,388,1,2,0,0,0,0,0,1,0,0,0,0,0,1.3
True,2006-11-12,4,0,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,200,2,3,0,0,0,0,1,0,0,0,0,0,1,3.0
True,2006-11-24,0,1,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,141,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2006-11-26,0,-5,LOS ANGELES LAKERS,HOME,NEW JERSEY NETS,WIN,142,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2006-11-28,0,3,LOS ANGELES LAKERS,HOME,MILWAUKEE BUCKS,LOSS,264,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2006-11-30,8,18,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,848,3,3,0,0,2,2,0,3,2,0,2,0,1,10.4
True,2006-12-02,2,-5,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,WIN,507,1,3,0,0,0,0,0,0,0,1,1,0,0,2.0
True,2006-12-04,2,-4,LOS ANGELES LAKERS,HOME,INDIANA PACERS,WIN,640,1,2,0,0,0,2,2,1,0,0,1,1,0,1.6
True,2006-12-06,5,3,LOS ANGELES LAKERS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,547,2,4,0,0,1,1,0,0,1,1,2,0,1,5.7
True,2006-12-08,0,1,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,324,0,0,0,0,0,0,2,2,0,0,0,0,4,0.4
True,2006-12-12,4,-2,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,WIN,653,1,2,0,0,2,2,1,1,1,0,1,0,0,5.4
True,2006-12-13,4,7,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,857,0,1,0,0,4,4,0,1,1,0,0,0,2,3.5
True,2006-12-15,0,2,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,345,0,3,0,0,0,0,2,0,1,0,0,0,0,0.0
True,2006-12-17,0,-6,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,LOSS,194,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2006-12-25,13,-9,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,1170,6,10,0,0,1,2,3,4,0,1,1,1,4,10.4
