active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-10-31,4,-14,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,LOSS,1774,2,9,0,0,0,0,4,7,4,1,0,2,3,4.0
True,2007-11-02,11,3,MILWAUKEE BUCKS,AWAY,CHARLOTTE BOBCATS,LOSS,2051,5,11,0,0,1,4,6,11,2,0,5,1,6,13.1
True,2007-11-03,6,-7,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1098,3,8,0,0,0,0,1,2,0,0,0,2,5,-1.1
True,2007-11-06,12,27,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,WIN,1951,5,9,0,0,2,5,1,10,3,1,1,4,1,9.6
True,2007-11-09,10,-6,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,1743,3,11,0,1,4,6,3,2,0,1,0,1,4,3.8
True,2007-11-11,10,-12,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,1250,5,9,0,0,0,0,1,2,2,0,1,1,5,6.1
True,2007-11-14,23,5,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,WIN,2467,9,14,0,0,5,9,4,8,0,0,4,2,3,20.0
True,2007-11-17,21,3,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,2103,10,15,0,0,1,4,5,5,1,3,4,2,5,20.8
True,2007-11-20,12,-1,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,WIN,2203,5,9,0,0,2,2,3,2,2,0,4,3,5,9.6
True,2007-11-21,13,12,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,WIN,1472,6,11,0,0,1,2,0,4,5,1,2,0,6,12.0
True,2007-11-24,16,-10,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,2346,6,12,0,0,4,7,3,11,2,1,2,0,3,16.8
True,2007-11-27,6,-25,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,LOSS,1684,2,7,0,0,2,2,4,4,1,0,2,2,2,5.2
True,2007-11-28,18,2,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,2192,7,12,0,0,4,5,1,10,0,1,4,4,4,13.9
True,2007-11-30,10,-3,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,LOSS,1845,5,6,0,0,0,0,0,9,0,0,3,3,3,8.4
True,2007-12-01,10,-8,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,LOSS,1361,5,8,0,0,0,0,0,3,1,0,0,1,4,5.4
True,2007-12-04,19,10,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,WIN,2373,8,10,0,0,3,5,3,9,2,1,4,1,3,22.2
True,2007-12-05,10,-15,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1688,4,5,0,0,2,5,3,5,2,0,2,3,3,9.1
True,2007-12-07,13,-16,MILWAUKEE BUCKS,AWAY,SEATTLE SUPERSONICS,LOSS,2477,6,16,0,1,1,2,3,8,3,1,3,2,6,9.1
True,2007-12-09,21,-25,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2577,8,16,0,0,5,6,4,1,1,1,0,2,5,13.4
True,2007-12-10,14,6,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,LOSS,2327,6,15,0,0,2,4,5,4,4,0,0,3,5,7.6
True,2007-12-12,11,12,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,1853,5,7,0,0,1,2,0,9,2,1,1,4,6,7.1
True,2007-12-14,4,-9,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,1399,1,3,0,0,2,4,1,2,3,1,0,2,2,3.1
True,2007-12-15,8,6,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2260,4,10,0,0,0,0,4,9,5,0,0,1,5,8.6
True,2007-12-17,8,-5,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,2420,4,7,0,0,0,2,1,7,1,0,2,3,5,3.8
True,2007-12-19,12,-9,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,LOSS,2205,6,10,0,0,0,2,4,7,4,3,5,4,2,16.0
True,2007-12-22,14,1,MILWAUKEE BUCKS,HOME,CHARLOTTE BOBCATS,WIN,2278,6,13,0,0,2,3,6,4,1,0,2,1,3,12.2
True,2007-12-26,6,-16,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,LOSS,1597,2,8,0,0,2,2,4,5,1,2,1,2,4,5.3
True,2007-12-28,15,-2,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,LOSS,2297,7,14,0,0,1,4,4,7,3,1,2,2,1,13.8
True,2007-12-29,5,4,MILWAUKEE BUCKS,HOME,NEW JERSEY NETS,LOSS,2276,2,8,0,0,1,4,4,5,5,2,2,2,2,7.4
True,2007-12-31,8,-26,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1898,4,8,0,0,0,0,3,4,2,2,0,2,1,8.3
True,2008-01-02,13,4,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,WIN,2358,5,10,0,0,3,5,1,11,2,0,1,2,4,9.7
True,2008-01-04,10,-25,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,1718,5,13,0,0,0,0,3,4,4,0,0,1,1,7.6
True,2008-01-06,25,14,MILWAUKEE BUCKS,AWAY,CHARLOTTE BOBCATS,WIN,2122,10,15,0,1,5,7,2,6,3,0,0,1,4,20.4
True,2008-01-08,13,1,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,2372,5,9,0,0,3,4,4,8,3,1,3,4,4,13.1
True,2008-01-09,17,-1,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,2224,7,9,0,0,3,4,2,6,2,3,0,3,5,15.7
True,2008-01-11,14,-9,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,LOSS,1776,5,12,0,1,4,5,2,9,5,0,2,1,5,13.2
True,2008-01-12,29,-1,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,LOSS,2243,14,16,0,0,1,4,3,8,3,0,0,1,3,26.6
True,2008-01-14,23,-12,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,LOSS,2371,9,12,0,0,5,8,2,8,3,0,1,4,5,17.6
True,2008-01-16,21,9,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,2377,8,14,0,0,5,8,4,6,2,0,4,1,0,21.0
True,2008-01-19,21,-13,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,LOSS,2281,7,14,0,1,7,9,3,7,3,2,1,6,4,14.6
True,2008-01-21,13,-13,MILWAUKEE BUCKS,AWAY,NEW ORLEANS HORNETS,LOSS,2143,6,14,0,0,1,4,5,10,2,0,2,2,3,10.5
True,2008-01-22,19,-4,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,LOSS,2448,9,16,0,0,1,2,5,8,4,1,1,2,2,18.6
True,2008-01-24,17,10,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,1887,7,11,0,0,3,7,0,7,3,0,3,2,3,13.6
True,2008-01-25,8,-19,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1147,3,5,0,0,2,6,0,2,1,0,0,2,3,2.2
True,2008-01-27,18,10,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,2461,8,17,0,0,2,2,6,9,6,1,0,2,4,17.8
True,2008-01-29,11,0,MILWAUKEE BUCKS,AWAY,NEW JERSEY NETS,LOSS,2318,5,9,0,0,1,5,2,7,2,2,2,2,3,10.2
True,2008-01-30,5,-20,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,1798,2,8,0,0,1,2,1,3,4,2,3,5,5,1.3
True,2008-02-02,21,-8,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,LOSS,2602,10,20,0,0,1,3,2,3,0,0,4,1,5,12.3
True,2008-02-05,12,5,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,WIN,2227,5,14,0,0,2,2,1,4,3,1,1,1,1,8.5
True,2008-02-06,24,-17,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,LOSS,2236,10,19,0,0,4,5,3,11,2,1,1,2,1,20.4
True,2008-02-09,9,-8,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,LOSS,1616,3,7,0,0,3,5,3,3,4,0,4,2,6,8.7
True,2008-02-11,10,-10,MILWAUKEE BUCKS,HOME,LOS ANGELES CLIPPERS,LOSS,2022,4,16,0,0,2,2,6,5,2,0,4,0,3,9.1
True,2008-02-13,8,1,MILWAUKEE BUCKS,HOME,NEW ORLEANS HORNETS,LOSS,1955,3,8,0,0,2,2,3,4,4,0,0,0,0,9.7
True,2008-02-20,14,0,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,2177,5,15,0,0,4,7,7,7,2,0,2,2,2,11.3
True,2008-02-22,11,-20,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1705,4,10,0,0,3,3,3,2,1,0,0,1,0,8.0
True,2008-02-23,12,13,MILWAUKEE BUCKS,HOME,DENVER NUGGETS,WIN,2616,5,11,0,0,2,2,7,13,2,1,1,4,4,12.6
