active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-11-04,3,9,LOS ANGELES CLIPPERS,HOME,SEATTLE SUPERSONICS,WIN,604,1,3,1,1,0,0,0,1,2,0,0,1,0,2.0
True,2007-11-07,1,-8,LOS ANGELES CLIPPERS,AWAY,INDIANA PACERS,WIN,887,0,2,0,1,1,4,0,3,2,1,0,1,4,-0.9
True,2007-11-09,7,3,LOS ANGELES CLIPPERS,AWAY,DETROIT PISTONS,LOSS,720,3,4,1,1,0,0,0,1,1,0,1,0,1,6.7
True,2007-11-11,0,-2,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,LOSS,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-11-17,4,2,LOS ANGELES CLIPPERS,HOME,CHICAGO BULLS,LOSS,589,0,3,0,2,4,4,0,1,2,0,0,0,0,3.6
True,2007-11-21,8,12,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,WIN,1208,1,3,0,1,6,7,0,1,1,0,0,2,3,3.7
True,2007-11-23,9,-10,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,LOSS,1278,2,3,1,2,4,4,0,0,2,3,0,3,3,7.9
True,2007-11-24,9,-3,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS HORNETS,LOSS,1041,3,7,1,3,2,2,0,0,3,0,0,0,2,6.6
True,2007-11-26,5,-19,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,LOSS,1857,2,9,0,1,1,3,0,1,2,1,0,3,1,-2.0
True,2007-11-30,3,-4,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,762,1,2,1,1,0,0,0,4,5,0,1,0,1,7.0
True,2007-12-02,4,24,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,LOSS,1319,2,4,0,1,0,0,0,0,8,1,0,2,1,6.2
True,2007-12-04,8,-10,LOS ANGELES CLIPPERS,HOME,MILWAUKEE BUCKS,LOSS,1170,2,6,0,4,4,4,1,1,3,2,0,2,3,6.5
True,2007-12-05,5,0,LOS ANGELES CLIPPERS,AWAY,SEATTLE SUPERSONICS,LOSS,1145,2,6,1,2,0,0,0,1,2,1,0,1,1,2.9
