active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-10-31,8,13,DALLAS MAVERICKS,AWAY,CLEVELAND CAVALIERS,WIN,2238,4,7,0,0,0,0,2,9,1,0,4,3,2,8.5
True,2007-11-02,4,8,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,1961,2,3,0,0,0,0,1,4,0,0,6,1,6,5.4
True,2007-11-03,8,15,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,WIN,1531,3,3,0,0,2,3,1,7,0,0,0,2,4,5.9
True,2007-11-05,10,12,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,WIN,2396,4,8,0,0,2,2,4,9,1,1,4,5,0,11.0
True,2007-11-08,4,-1,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,WIN,942,2,3,0,0,0,0,2,3,1,0,2,1,2,5.3
True,2007-11-10,0,-6,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1330,0,3,0,0,0,0,9,2,1,1,0,2,3,3.3
True,2007-11-13,2,16,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,WIN,1642,1,3,0,0,0,0,5,5,0,2,3,1,2,7.6
True,2007-11-15,5,7,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,WIN,1228,2,3,0,0,1,2,2,4,0,3,0,2,5,4.9
True,2007-11-17,6,13,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,1881,2,2,0,0,2,4,3,8,2,1,3,0,2,12.8
True,2007-11-20,6,7,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,1591,3,4,0,0,0,0,2,3,0,1,2,1,4,6.5
True,2007-11-21,0,-15,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,WIN,1004,0,4,0,0,0,0,6,1,1,0,1,0,0,3.1
True,2007-11-23,3,6,DALLAS MAVERICKS,AWAY,INDIANA PACERS,LOSS,1041,1,3,0,0,1,1,2,4,0,0,3,0,2,5.2
True,2007-11-24,0,8,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,1490,0,4,0,0,0,0,4,3,1,2,3,0,5,3.7
True,2007-11-26,2,3,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,LOSS,1010,1,2,0,0,0,0,2,2,0,1,2,0,2,4.6
True,2007-11-28,0,-2,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,582,0,0,0,0,0,0,1,3,0,0,0,3,4,-3.0
True,2007-11-30,8,2,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1053,4,5,0,0,0,0,2,6,0,1,1,1,1,9.6
True,2007-12-01,4,6,DALLAS MAVERICKS,AWAY,NEW ORLEANS HORNETS,LOSS,1435,2,2,0,0,0,0,2,8,1,0,0,0,4,6.3
True,2007-12-03,2,4,DALLAS MAVERICKS,AWAY,CHICAGO BULLS,WIN,1414,1,2,0,0,0,0,1,4,0,0,2,0,5,2.3
True,2007-12-05,4,-14,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,1313,1,2,0,0,2,2,0,5,1,0,1,1,3,3.7
True,2007-12-06,9,-13,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,769,3,3,0,0,3,3,5,0,0,0,0,1,2,9.8
True,2007-12-08,0,-7,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,401,0,0,0,0,0,0,0,2,0,0,0,1,3,-1.6
