active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-10-31,12,-13,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,LOSS,2388,5,12,0,0,2,5,4,6,2,1,0,2,4,7.8
True,2007-11-02,14,-7,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1948,7,13,0,0,0,0,3,3,2,2,0,2,3,10.9
True,2007-11-04,22,-16,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,2281,10,16,0,0,2,4,1,13,0,0,0,4,3,13.4
True,2007-11-06,16,20,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,WIN,2247,7,14,0,0,2,4,2,6,3,2,0,3,4,10.9
True,2007-11-07,8,-2,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,2333,2,11,0,0,4,4,4,5,0,2,1,2,5,4.1
True,2007-11-09,14,-2,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,WIN,2021,6,13,0,0,2,2,4,5,1,0,0,1,3,10.1
True,2007-11-11,18,7,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,WIN,1832,6,15,0,1,6,8,4,12,1,1,1,4,0,13.9
True,2007-11-12,5,-26,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,1680,2,9,0,0,1,3,3,6,3,0,0,0,1,4.3
True,2007-11-14,23,6,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,LOSS,2518,7,16,0,0,9,10,4,8,1,1,2,1,5,19.5
True,2007-11-16,11,4,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,1622,5,12,0,0,1,2,2,6,1,1,0,2,1,6.7
True,2007-11-20,11,0,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,LOSS,2012,3,8,0,0,5,6,2,11,1,1,0,1,4,10.0
True,2007-11-21,17,18,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2261,6,13,0,0,5,7,2,7,0,1,2,1,3,13.2
True,2007-11-24,8,-5,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,1810,4,6,0,0,0,0,1,2,0,0,1,1,1,6.0
True,2007-11-25,23,15,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,2427,9,16,0,0,5,6,4,8,1,0,1,4,4,16.0
True,2007-11-27,24,15,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,2556,11,15,0,0,2,4,3,10,0,0,1,2,4,19.3
True,2007-11-28,9,-22,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1912,4,10,0,0,1,2,2,7,0,2,0,4,2,3.9
True,2007-11-30,15,4,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,2355,7,16,0,0,1,1,3,11,2,5,1,2,2,16.3
True,2007-12-02,10,-12,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,1886,4,11,0,0,2,5,1,10,0,0,1,4,4,1.5
True,2007-12-04,14,-23,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,LOSS,2306,6,16,0,1,2,2,1,4,0,3,3,2,1,9.8
True,2007-12-05,13,-11,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,2117,5,14,0,0,3,5,1,5,0,0,0,2,2,3.8
