active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-11-10,2,6,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,371,1,1,0,0,0,0,0,0,0,0,0,0,3,0.5
True,2007-11-12,8,-9,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,748,4,7,0,1,0,0,1,2,0,0,0,0,3,4.8
True,2007-11-14,4,-1,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,734,2,4,0,1,0,0,0,4,0,0,0,2,0,1.2
True,2007-11-16,6,0,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,WIN,886,2,5,0,0,2,2,0,0,1,1,1,0,0,5.7
True,2007-11-18,6,-9,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,820,1,1,0,0,4,4,0,2,0,1,0,0,1,6.9
True,2007-11-20,0,-2,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,425,0,1,0,0,0,0,0,1,0,0,1,1,2,-1.5
True,2007-11-21,12,-3,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,1182,5,10,0,2,2,2,3,3,0,0,0,4,1,5.6
True,2007-11-23,0,0,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,176,0,1,0,0,0,0,0,0,0,0,0,0,2,-1.5
True,2007-11-26,7,-4,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,640,3,6,1,2,0,0,0,3,0,0,1,2,1,3.2
True,2007-11-28,0,-1,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,195,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2007-12-01,2,4,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,832,1,6,0,0,0,0,5,5,0,0,2,0,1,4.2
True,2007-12-04,0,-3,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,364,0,3,0,0,0,0,1,0,0,0,0,0,1,-1.8
True,2007-12-07,2,1,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,421,1,3,0,1,0,0,0,2,0,0,0,0,0,0.9
True,2007-12-08,0,-6,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,442,0,1,0,0,0,0,0,0,0,0,0,0,2,-1.5
True,2007-12-10,7,4,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,WIN,872,2,5,0,1,3,6,3,2,1,0,0,0,2,5.7
True,2007-12-12,2,-7,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,597,0,0,0,0,2,2,0,2,0,0,0,1,0,1.6
True,2007-12-14,4,-5,SACRAMENTO KINGS,AWAY,PHILADELPHIA 76ERS,WIN,605,2,7,0,0,0,0,1,1,0,0,0,0,2,0.1
True,2007-12-15,0,4,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,502,0,1,0,0,0,0,2,1,0,0,0,3,2,-2.8
True,2007-12-18,0,0,SACRAMENTO KINGS,AWAY,NEW JERSEY NETS,WIN,114,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2007-12-19,2,2,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,WIN,311,1,1,0,0,0,0,2,1,0,1,0,0,1,4.0
True,2007-12-23,2,3,SACRAMENTO KINGS,HOME,DENVER NUGGETS,LOSS,586,1,5,0,2,0,0,1,2,1,1,0,0,1,1.5
True,2007-12-26,2,-3,SACRAMENTO KINGS,HOME,BOSTON CELTICS,LOSS,434,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2007-12-28,0,-11,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,627,0,3,0,0,0,0,2,1,1,0,0,0,0,0.3
True,2007-12-30,0,3,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,436,0,1,0,0,0,0,0,2,0,0,0,0,0,-0.1
