active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-11-06,0,0,ATLANTA HAWKS,AWAY,NEW JERSEY NETS,LOSS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-11-09,0,-5,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,233,0,0,0,0,0,0,0,0,0,0,2,0,0,1.4
True,2007-11-16,0,-6,ATLANTA HAWKS,HOME,SEATTLE SUPERSONICS,LOSS,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-11-20,0,2,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-11-24,0,1,ATLANTA HAWKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,128,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2007-11-27,0,6,ATLANTA HAWKS,AWAY,CHICAGO BULLS,LOSS,216,0,0,0,0,0,2,1,1,0,0,0,1,0,-0.8
True,2007-12-04,5,12,ATLANTA HAWKS,HOME,DETROIT PISTONS,LOSS,529,2,3,0,0,1,2,3,2,0,1,0,0,0,7.0
True,2007-12-08,0,-4,ATLANTA HAWKS,HOME,MEMPHIS GRIZZLIES,WIN,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-12-10,0,0,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-12-14,0,1,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,101,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2007-12-15,0,-1,ATLANTA HAWKS,HOME,CHARLOTTE BOBCATS,WIN,93,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2007-12-17,0,0,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2008-01-13,6,3,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,1123,2,6,0,0,2,2,6,1,0,0,0,0,4,5.5
True,2008-01-15,1,-2,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,222,0,0,0,0,1,2,0,2,0,1,0,1,1,0.8
True,2008-01-16,0,0,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2008-01-18,1,1,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,290,0,0,0,0,1,2,0,1,0,0,0,0,1,0.5
True,2008-01-23,0,-4,ATLANTA HAWKS,AWAY,DENVER NUGGETS,LOSS,557,0,2,0,0,0,2,3,2,0,0,0,0,2,-0.3
True,2008-01-29,5,-4,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,469,2,4,0,0,1,2,3,1,0,0,0,0,2,4.2
True,2008-02-19,0,-7,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,706,0,1,0,0,0,0,2,5,0,0,1,3,3,-1.3
True,2008-02-23,0,-6,ATLANTA HAWKS,AWAY,UTAH JAZZ,LOSS,132,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.7
True,2008-02-27,2,5,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,368,1,1,0,0,0,0,0,0,0,0,1,0,1,2.0
True,2008-02-29,4,-3,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,315,2,2,0,0,0,0,0,1,0,0,1,0,1,4.0
True,2008-03-02,0,-2,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2008-03-04,0,-5,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,LOSS,72,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2008-03-05,2,4,ATLANTA HAWKS,AWAY,NEW ORLEANS HORNETS,LOSS,157,0,0,0,0,2,2,0,0,0,0,0,0,0,2.0
True,2008-03-07,0,0,ATLANTA HAWKS,AWAY,CHARLOTTE BOBCATS,LOSS,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2008-03-10,0,-4,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,510,0,2,0,1,0,0,0,2,0,0,0,1,3,-3.0
True,2008-03-14,3,-8,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,297,1,3,0,0,1,2,0,0,0,0,0,1,1,-0.5
True,2008-03-16,2,-2,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,278,0,2,0,1,2,2,1,1,0,0,0,1,1,0.2
True,2008-03-26,2,-1,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,431,1,2,0,0,0,0,0,0,0,1,0,0,3,0.8
True,2008-03-31,2,0,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,WIN,82,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2008-04-08,0,-2,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,144,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2008-04-12,0,-7,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,399,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2008-04-15,0,-1,ATLANTA HAWKS,HOME,ORLANDO MAGIC,LOSS,164,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2008-04-16,0,0,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
