active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-10-31,9,-12,CHICAGO BULLS,AWAY,NEW JERSEY NETS,LOSS,1445,4,12,1,5,0,2,1,4,2,0,1,1,4,2.8
True,2007-11-02,15,-3,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,1672,6,15,2,8,1,1,1,2,1,1,0,0,1,9.5
True,2007-11-03,12,14,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,1433,4,13,1,6,3,3,1,5,1,2,0,1,2,7.6
True,2007-11-06,4,2,CHICAGO BULLS,HOME,LOS ANGELES CLIPPERS,LOSS,602,2,3,0,1,0,0,0,0,0,0,0,0,1,2.3
True,2007-11-08,10,3,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,981,4,8,0,2,2,2,2,5,0,0,0,0,2,8.1
True,2007-11-10,20,-24,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,1752,8,14,2,4,2,2,2,3,1,0,0,3,2,12.6
True,2007-11-15,18,-14,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,2464,7,18,1,6,3,6,1,6,0,0,1,2,4,6.6
True,2007-11-17,21,19,CHICAGO BULLS,AWAY,LOS ANGELES CLIPPERS,WIN,2287,6,12,2,4,7,8,0,8,2,0,1,1,1,17.7
True,2007-11-18,14,-5,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,LOSS,1876,5,14,2,5,2,4,0,6,2,0,0,2,5,4.6
True,2007-11-20,10,-10,CHICAGO BULLS,AWAY,DENVER NUGGETS,LOSS,1307,4,8,2,4,0,0,1,3,0,0,0,0,4,6.0
True,2007-11-24,23,-2,CHICAGO BULLS,AWAY,NEW YORK KNICKS,LOSS,2460,7,15,3,7,6,9,1,8,3,0,1,2,3,16.8
True,2007-11-25,11,-7,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1837,4,15,2,8,1,4,2,6,2,1,2,0,4,6.3
True,2007-11-27,11,6,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,1247,4,6,1,1,2,2,1,7,0,0,0,2,4,7.6
True,2007-12-01,17,14,CHICAGO BULLS,HOME,CHARLOTTE BOBCATS,WIN,1807,6,13,1,3,4,4,1,8,3,0,0,3,3,11.3
True,2007-12-03,30,6,CHICAGO BULLS,HOME,DALLAS MAVERICKS,LOSS,1840,6,9,3,4,15,16,1,4,0,3,0,3,5,25.6
True,2007-12-05,15,17,CHICAGO BULLS,AWAY,CHARLOTTE BOBCATS,WIN,1684,6,12,2,4,1,2,1,10,4,0,0,2,4,11.5
True,2007-12-07,22,3,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,1571,7,14,2,6,6,7,0,3,5,1,0,2,2,17.2
True,2007-12-08,18,-5,CHICAGO BULLS,HOME,BOSTON CELTICS,LOSS,1459,8,19,1,7,1,1,1,2,1,2,0,3,4,7.3
True,2007-12-11,8,5,CHICAGO BULLS,HOME,SEATTLE SUPERSONICS,WIN,675,4,7,0,2,0,0,0,2,1,0,0,2,1,3.6
True,2007-12-12,11,-18,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1287,4,9,2,4,1,1,0,0,1,0,0,4,4,1.4
True,2007-12-14,17,3,CHICAGO BULLS,HOME,NEW YORK KNICKS,WIN,1699,6,13,3,7,2,4,0,2,3,0,5,1,2,13.9
True,2007-12-18,14,-11,CHICAGO BULLS,HOME,LOS ANGELES LAKERS,LOSS,1580,5,10,1,4,3,4,0,7,1,0,0,2,4,7.8
True,2007-12-19,8,-12,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,WIN,1786,4,12,0,3,0,0,1,1,0,0,0,2,2,-0.6
True,2007-12-21,8,-8,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,963,2,6,1,3,3,4,1,1,0,1,0,2,3,3.0
True,2007-12-22,4,-11,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,658,2,7,0,2,0,0,0,3,1,0,0,2,0,-0.5
True,2007-12-26,3,-25,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,LOSS,1095,1,11,0,3,1,2,0,4,2,0,2,1,2,-2.5
True,2007-12-28,11,7,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,WIN,1653,2,12,1,4,6,8,2,7,0,0,0,3,5,1.1
True,2007-12-30,5,5,CHICAGO BULLS,AWAY,NEW YORK KNICKS,WIN,1002,1,4,1,2,2,4,1,3,0,0,1,2,1,1.7
True,2007-12-31,19,-11,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,1862,7,14,2,5,3,3,1,3,1,0,1,1,2,13.2
True,2008-01-02,10,8,CHICAGO BULLS,AWAY,CHARLOTTE BOBCATS,WIN,933,3,6,2,3,2,3,0,3,0,0,0,1,2,5.7
True,2008-01-03,11,-5,CHICAGO BULLS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2192,4,13,1,7,2,2,0,2,1,0,1,3,4,0.9
True,2008-01-05,26,-7,CHICAGO BULLS,HOME,SACRAMENTO KINGS,WIN,1829,7,10,5,7,7,7,0,5,1,1,1,3,4,21.1
True,2008-01-08,7,-1,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,948,3,12,1,6,0,0,0,3,1,0,0,0,1,1.0
True,2008-01-11,27,-6,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,1813,11,18,3,8,2,3,1,6,4,0,2,2,6,20.7
True,2008-01-13,20,-15,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,1358,6,12,3,4,5,5,1,4,0,1,1,1,6,14.2
True,2008-01-15,6,-12,CHICAGO BULLS,AWAY,ORLANDO MAGIC,LOSS,923,2,7,2,4,0,0,1,1,2,0,0,0,2,3.5
True,2008-01-16,20,13,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,1101,8,13,4,5,0,2,1,3,2,0,0,2,4,12.7
True,2008-01-18,28,-3,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,LOSS,1808,10,17,4,7,4,4,1,5,2,0,1,0,4,22.8
True,2008-01-19,21,18,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,2481,6,15,1,5,8,9,0,6,2,0,1,0,4,14.8
True,2008-01-21,16,-10,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,LOSS,1593,5,16,4,9,2,2,0,3,1,0,0,1,3,6.2
True,2008-01-23,24,16,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,2613,8,19,2,8,6,9,0,7,1,1,2,3,4,13.3
True,2008-01-25,25,-4,CHICAGO BULLS,HOME,CHARLOTTE BOBCATS,LOSS,2632,9,23,3,9,4,4,3,2,1,1,2,4,5,12.3
True,2008-01-27,7,-3,CHICAGO BULLS,HOME,PHOENIX SUNS,LOSS,1882,3,13,1,6,0,0,1,7,2,0,0,3,0,0.3
True,2008-01-29,18,4,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,1893,5,13,3,5,5,7,0,5,3,0,0,2,3,10.5
True,2008-01-30,7,-8,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1689,2,12,1,6,2,2,0,4,1,0,1,5,4,-4.6
True,2008-02-02,9,-10,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,1619,3,9,1,4,2,2,0,5,1,1,1,2,3,4.6
True,2008-02-04,14,3,CHICAGO BULLS,AWAY,SEATTLE SUPERSONICS,WIN,1525,5,11,4,6,0,0,1,3,1,0,0,3,4,6.0
True,2008-02-06,22,4,CHICAGO BULLS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2413,7,14,4,8,4,4,0,4,4,1,0,3,4,15.4
True,2008-02-07,9,-3,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,WIN,1940,2,9,1,2,4,6,0,5,2,1,1,3,4,2.7
True,2008-02-09,14,19,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,1686,6,11,2,5,0,0,0,4,1,0,0,1,3,8.4
