active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-11-04,11,0,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,1392,4,7,3,4,0,0,0,3,1,0,0,4,3,4.1
True,2007-11-07,0,10,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,451,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2007-11-13,6,3,BOSTON CELTICS,AWAY,INDIANA PACERS,WIN,1024,2,4,0,2,2,2,1,2,1,1,0,1,3,4.8
True,2007-11-14,6,11,BOSTON CELTICS,HOME,NEW JERSEY NETS,WIN,1352,1,2,1,2,3,4,1,4,0,3,0,0,3,8.3
True,2007-11-16,13,-8,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,1644,5,8,3,6,0,0,0,5,2,1,0,1,4,10.7
True,2007-11-18,3,4,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1232,1,2,1,2,0,0,0,2,2,0,1,1,6,1.3
True,2007-11-21,4,8,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,WIN,1322,1,4,0,2,2,2,0,4,2,0,1,0,1,4.5
True,2007-11-23,10,-7,BOSTON CELTICS,HOME,LOS ANGELES LAKERS,WIN,1091,3,4,2,2,2,2,0,6,1,0,0,0,1,10.5
True,2007-11-24,14,-4,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,1697,5,10,3,5,1,1,0,1,0,0,0,0,1,8.9
True,2007-11-27,11,9,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,1240,4,8,3,5,0,1,0,6,0,1,0,1,3,7.2
True,2007-11-29,0,11,BOSTON CELTICS,HOME,NEW YORK KNICKS,WIN,796,0,3,0,1,0,0,0,3,0,0,0,0,2,-2.0
True,2007-11-30,6,4,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,1654,2,5,0,0,2,3,1,4,2,2,0,0,3,7.0
True,2007-12-02,7,-7,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,WIN,1350,2,5,0,1,3,3,0,5,0,1,0,0,2,6.0
True,2007-12-05,17,4,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,WIN,1641,6,9,4,6,1,2,1,4,1,0,0,1,0,14.3
True,2007-12-07,10,21,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,1634,3,5,2,3,2,2,0,10,3,1,0,0,1,13.4
True,2007-12-08,11,1,BOSTON CELTICS,AWAY,CHICAGO BULLS,WIN,1265,3,8,2,7,3,3,0,4,1,0,1,0,3,8.0
True,2007-12-12,8,8,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,1192,2,5,0,1,4,4,0,2,1,0,0,2,4,3.0
True,2007-12-14,0,6,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1129,0,2,0,2,0,0,0,5,2,2,0,3,2,-0.3
True,2007-12-16,10,5,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,1736,2,6,2,6,4,4,0,7,0,1,1,1,4,7.8
True,2007-12-19,0,-6,BOSTON CELTICS,HOME,DETROIT PISTONS,LOSS,939,0,2,0,1,0,0,0,1,2,0,0,1,2,-1.5
True,2007-12-21,11,16,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,1272,4,7,3,6,0,0,1,3,0,0,0,3,1,5.9
True,2007-12-23,0,-11,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,846,0,3,0,2,0,0,1,1,1,0,0,1,2,-2.2
True,2007-12-26,11,14,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,WIN,1723,4,8,3,6,0,0,2,4,1,1,0,0,3,10.1
True,2007-12-27,10,-4,BOSTON CELTICS,AWAY,SEATTLE SUPERSONICS,WIN,1449,3,6,2,5,2,2,1,2,2,0,0,0,2,8.9
True,2007-12-29,2,11,BOSTON CELTICS,AWAY,UTAH JAZZ,WIN,1709,0,4,0,3,2,2,1,3,3,1,0,0,1,3.5
