active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-11-06,0,0,MINNESOTA TIMBERWOLVES,HOME,ORLANDO MAGIC,LOSS,262,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3
True,2007-11-09,0,-3,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,LOSS,80,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2007-11-10,0,-3,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2007-11-14,2,2,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,WIN,226,1,1,0,0,0,0,1,0,0,1,0,0,0,3.4
True,2007-11-17,0,2,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS HORNETS,LOSS,505,0,0,0,0,0,0,1,0,0,0,0,2,0,-1.3
True,2007-11-21,0,-7,MINNESOTA TIMBERWOLVES,HOME,CLEVELAND CAVALIERS,LOSS,125,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2007-12-01,0,4,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,LOSS,483,0,0,0,0,0,0,0,1,1,1,0,0,0,2.0
True,2007-12-04,4,4,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,353,2,2,0,0,0,0,1,0,0,0,0,0,1,3.7
True,2007-12-06,0,4,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,170,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2007-12-08,0,5,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,WIN,581,0,2,0,0,0,0,1,2,0,0,0,0,1,-0.5
True,2007-12-11,0,-2,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,LOSS,588,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2007-12-12,4,16,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,971,2,2,0,0,0,0,0,4,0,2,2,0,2,7.2
True,2007-12-14,10,5,MINNESOTA TIMBERWOLVES,HOME,SEATTLE SUPERSONICS,LOSS,1517,4,4,0,0,2,3,0,1,0,0,0,1,5,5.7
