active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-10-31,22,-15,SACRAMENTO KINGS,AWAY,NEW ORLEANS HORNETS,LOSS,2686,10,19,0,0,2,3,1,1,9,3,0,3,2,18.8
True,2007-11-02,14,-6,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,LOSS,1733,5,10,0,0,4,4,2,7,6,0,2,4,4,12.5
True,2007-11-03,27,-17,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,LOSS,2409,10,18,0,1,7,7,3,2,4,1,0,4,1,20.5
True,2007-11-06,23,18,SACRAMENTO KINGS,HOME,SEATTLE SUPERSONICS,WIN,2586,7,15,1,3,8,9,2,3,2,2,0,3,1,17.2
True,2007-11-09,18,-1,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,LOSS,2472,5,13,1,2,7,7,0,2,1,2,0,1,3,12.0
True,2007-11-10,19,4,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,1919,6,13,1,2,6,6,0,2,2,3,0,2,2,14.5
True,2007-11-12,22,-15,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,2118,8,16,3,3,3,4,2,0,4,1,0,1,5,15.8
True,2007-11-14,4,-3,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1606,2,4,0,1,0,0,0,1,4,0,0,1,1,3.7
True,2007-11-16,16,-2,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,WIN,2379,5,11,0,1,6,8,1,6,4,0,1,4,5,9.5
True,2007-11-18,6,-5,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,1134,2,4,0,0,2,3,0,0,1,0,0,2,1,1.9
True,2007-11-20,9,6,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,1955,3,7,0,3,3,4,1,7,2,1,0,3,2,6.3
True,2007-11-21,21,-3,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,2489,7,17,0,2,7,15,3,7,1,0,0,3,5,8.6
True,2007-11-23,2,-12,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1234,1,3,0,0,0,0,0,4,1,0,1,1,1,1.5
True,2007-11-26,12,8,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,1642,4,9,1,1,3,3,1,5,0,2,1,0,4,10.6
True,2007-11-28,4,3,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,1526,0,3,0,1,4,4,2,1,1,2,1,2,2,4.2
True,2007-12-01,13,4,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,1718,5,7,0,0,3,3,0,4,4,1,0,0,3,13.9
True,2007-12-04,21,12,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,1629,6,9,0,0,9,11,1,5,2,1,0,0,1,20.5
True,2007-12-07,10,-11,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,2471,4,13,1,2,1,1,1,9,5,1,0,3,4,5.8
True,2007-12-08,25,3,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,2170,9,14,2,3,5,5,1,5,3,4,0,7,2,19.3
True,2007-12-10,22,8,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,WIN,2255,9,14,3,3,1,2,1,2,5,1,2,2,1,20.2
True,2007-12-12,10,-22,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,2273,3,8,1,2,3,3,1,2,1,2,2,2,2,8.2
True,2007-12-14,19,11,SACRAMENTO KINGS,AWAY,PHILADELPHIA 76ERS,WIN,2401,8,16,1,1,2,3,1,2,5,1,0,5,1,11.0
True,2007-12-15,10,-17,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1943,3,6,0,1,4,6,0,7,1,1,0,3,2,6.2
True,2007-12-18,31,12,SACRAMENTO KINGS,AWAY,NEW JERSEY NETS,WIN,2604,13,18,2,3,3,5,2,2,7,3,0,2,5,28.7
True,2007-12-19,17,18,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,WIN,2364,6,14,1,2,4,5,2,3,4,2,0,0,2,15.5
True,2007-12-23,14,-14,SACRAMENTO KINGS,HOME,DENVER NUGGETS,LOSS,2338,5,17,1,3,3,3,0,6,3,1,1,0,3,8.5
True,2007-12-26,13,-16,SACRAMENTO KINGS,HOME,BOSTON CELTICS,LOSS,2485,6,11,1,1,0,2,0,4,3,2,2,4,3,8.4
True,2007-12-28,22,-15,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,2594,8,19,1,4,5,5,1,0,2,0,0,5,4,7.4
True,2007-12-30,23,-10,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,2576,9,18,1,3,4,4,2,5,3,2,0,5,3,14.8
True,2008-01-02,32,12,SACRAMENTO KINGS,AWAY,NEW YORK KNICKS,WIN,2644,13,18,1,2,5,5,2,9,6,6,1,3,4,35.0
True,2008-01-04,22,2,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,LOSS,2604,10,14,1,4,1,2,1,6,5,1,0,2,3,19.6
True,2008-01-05,13,-10,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,LOSS,1681,6,10,0,0,1,1,1,4,3,1,0,7,4,4.8
True,2008-01-08,21,-4,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,WIN,2604,8,14,0,1,5,5,1,2,3,2,0,4,2,15.0
True,2008-01-10,28,1,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,WIN,2626,12,21,0,4,4,5,4,7,7,0,0,2,0,25.5
True,2008-01-12,15,-3,SACRAMENTO KINGS,HOME,INDIANA PACERS,LOSS,2549,4,10,1,2,6,6,0,1,4,0,1,4,3,8.2
True,2008-01-14,22,3,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,WIN,2538,9,16,0,1,4,4,0,4,3,0,0,2,2,14.9
True,2008-01-16,9,-33,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,LOSS,1772,4,7,1,1,0,0,0,2,2,2,1,3,1,7.0
True,2008-01-18,0,1,SACRAMENTO KINGS,AWAY,DETROIT PISTONS,WIN,1214,0,2,0,1,0,0,0,3,2,0,0,2,1,-1.5
True,2008-01-19,4,2,SACRAMENTO KINGS,AWAY,INDIANA PACERS,WIN,1425,2,4,0,0,0,0,0,5,4,0,2,3,4,3.1
True,2008-01-22,0,-1,SACRAMENTO KINGS,HOME,NEW JERSEY NETS,WIN,121,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2008-01-23,8,-16,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,1309,3,8,1,3,1,3,1,1,1,2,0,3,0,3.5
True,2008-01-25,13,-3,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,2255,6,9,0,1,1,2,1,0,3,1,0,2,3,9.3
True,2008-01-27,11,-11,SACRAMENTO KINGS,AWAY,SEATTLE SUPERSONICS,WIN,1499,5,7,0,0,1,1,0,2,2,1,2,2,2,9.7
True,2008-01-30,8,6,SACRAMENTO KINGS,HOME,CHARLOTTE BOBCATS,WIN,958,4,6,0,0,0,0,1,1,0,0,0,0,2,5.6
True,2008-02-01,11,2,SACRAMENTO KINGS,HOME,NEW ORLEANS HORNETS,WIN,1665,4,7,2,2,1,2,0,2,2,0,2,1,0,9.7
True,2008-02-02,9,-5,SACRAMENTO KINGS,HOME,CHICAGO BULLS,WIN,1938,2,10,0,4,5,5,0,4,0,0,1,5,2,-1.1
True,2008-02-06,11,-18,SACRAMENTO KINGS,HOME,SEATTLE SUPERSONICS,LOSS,2256,5,14,0,2,1,1,2,2,3,2,0,1,2,7.5
True,2008-02-08,13,10,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,1868,4,8,0,1,5,5,2,4,3,1,2,2,3,12.9
True,2008-02-09,19,-4,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,2057,9,15,0,1,1,1,3,5,1,1,1,4,2,13.3
True,2008-02-12,2,-28,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,LOSS,1342,1,4,0,0,0,0,0,3,2,1,0,3,3,-1.3
True,2008-02-13,0,9,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,LOSS,1259,0,4,0,3,0,0,0,0,0,0,0,0,0,-2.8
True,2008-02-19,0,-7,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1104,0,3,0,0,0,0,1,1,2,0,0,0,0,0.3
