active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-11-10,9,4,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,1562,3,9,0,3,3,4,1,4,2,1,0,1,3,5.6
True,2007-11-12,11,-23,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,1768,4,12,1,4,2,3,0,1,2,1,0,5,0,1.5
True,2007-11-14,17,0,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2335,6,11,3,5,2,2,1,3,5,3,0,1,1,18.4
True,2007-11-16,10,10,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,WIN,2630,5,12,0,2,0,0,0,1,5,1,0,2,3,5.2
True,2007-11-18,23,13,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,2327,9,13,0,1,5,5,1,3,6,0,1,1,2,22.2
True,2007-11-20,8,-14,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,1379,2,10,0,1,4,4,0,1,4,1,0,0,1,5.5
True,2007-11-23,11,-4,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2067,5,13,1,5,0,0,0,4,6,0,0,4,1,4.9
True,2007-11-26,27,10,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,2671,8,12,2,2,9,9,1,3,5,1,1,3,1,25.2
True,2007-11-28,16,-9,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,2436,7,19,0,2,2,2,3,2,1,0,0,3,4,4.3
True,2007-12-01,15,12,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,2032,6,7,0,0,3,4,0,5,5,1,0,2,2,15.3
True,2007-12-04,10,3,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,1986,4,10,1,1,1,2,1,1,3,4,0,2,5,7.3
