active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-11-02,4,-5,NEW ORLEANS HORNETS,HOME,PORTLAND TRAIL BLAZERS,WIN,647,1,1,0,0,2,2,1,2,1,0,0,1,1,4.3
True,2007-11-04,2,1,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,256,1,1,0,0,0,0,0,2,0,0,0,1,0,1.3
True,2007-11-06,2,-4,NEW ORLEANS HORNETS,AWAY,LOS ANGELES LAKERS,WIN,574,1,1,0,0,0,0,1,0,1,1,0,2,0,2.1
True,2007-11-07,0,-2,NEW ORLEANS HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,165,0,0,0,0,0,0,0,1,0,0,0,2,0,-1.7
True,2007-11-11,2,0,NEW ORLEANS HORNETS,AWAY,PHILADELPHIA 76ERS,WIN,181,1,1,0,0,0,0,0,2,0,0,0,0,1,1.9
True,2007-11-14,0,2,NEW ORLEANS HORNETS,HOME,PHILADELPHIA 76ERS,WIN,57,0,0,0,0,0,0,1,0,0,1,1,0,0,2.4
True,2007-11-17,0,-2,NEW ORLEANS HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,193,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2007-11-23,3,-7,NEW ORLEANS HORNETS,AWAY,UTAH JAZZ,LOSS,293,1,2,0,0,1,2,0,2,0,0,0,1,0,1.2
True,2007-11-30,0,-2,NEW ORLEANS HORNETS,AWAY,ATLANTA HAWKS,WIN,199,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2007-12-01,0,-8,NEW ORLEANS HORNETS,HOME,DALLAS MAVERICKS,WIN,124,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2007-12-05,0,-3,NEW ORLEANS HORNETS,HOME,DETROIT PISTONS,LOSS,560,0,1,0,0,0,0,0,1,0,0,1,1,0,-0.7
True,2007-12-07,6,-12,NEW ORLEANS HORNETS,HOME,MEMPHIS GRIZZLIES,WIN,1282,3,6,0,1,0,0,0,2,0,1,0,0,2,3.8
True,2007-12-09,6,8,NEW ORLEANS HORNETS,HOME,SEATTLE SUPERSONICS,WIN,2303,3,7,0,0,0,2,1,5,3,1,0,1,1,5.4
True,2007-12-12,2,4,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,LOSS,624,1,2,0,0,0,0,0,0,1,0,0,0,2,0.9
True,2007-12-14,4,-1,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,LOSS,580,2,3,0,0,0,0,2,1,0,1,0,0,0,5.4
True,2007-12-15,0,14,NEW ORLEANS HORNETS,HOME,PHOENIX SUNS,WIN,1124,0,5,0,0,0,0,0,5,3,0,0,1,1,-1.3
True,2007-12-17,4,-5,NEW ORLEANS HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,762,1,2,0,0,2,2,0,3,0,0,1,1,0,3.6
True,2007-12-19,0,-4,NEW ORLEANS HORNETS,AWAY,SEATTLE SUPERSONICS,WIN,648,0,1,0,0,0,0,1,1,1,0,0,0,1,0.6
True,2007-12-22,8,3,NEW ORLEANS HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,993,4,4,0,0,0,0,0,7,1,1,2,0,0,12.0
True,2007-12-26,0,-2,NEW ORLEANS HORNETS,AWAY,MEMPHIS GRIZZLIES,WIN,521,0,0,0,0,0,0,1,1,1,0,0,0,0,1.7
True,2007-12-28,4,-4,NEW ORLEANS HORNETS,AWAY,CHARLOTTE BOBCATS,WIN,745,2,5,0,0,0,1,0,0,0,1,0,0,1,1.5
True,2007-12-29,1,-10,NEW ORLEANS HORNETS,HOME,CLEVELAND CAVALIERS,WIN,306,0,0,0,0,1,2,0,0,0,0,0,0,0,0.6
True,2007-12-31,0,-3,NEW ORLEANS HORNETS,HOME,TORONTO RAPTORS,LOSS,176,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.4
True,2008-01-09,0,-4,NEW ORLEANS HORNETS,HOME,LOS ANGELES LAKERS,LOSS,302,0,2,0,0,0,0,0,0,0,0,0,1,0,-2.4
True,2008-01-21,5,-5,NEW ORLEANS HORNETS,HOME,MILWAUKEE BUCKS,WIN,183,2,2,0,0,1,2,1,0,0,0,0,0,0,4.7
True,2008-01-25,0,1,NEW ORLEANS HORNETS,HOME,LOS ANGELES CLIPPERS,WIN,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2008-01-26,0,-2,NEW ORLEANS HORNETS,AWAY,SAN ANTONIO SPURS,WIN,188,0,1,0,0,0,0,0,2,0,0,0,0,0,-0.1
True,2008-01-28,6,-1,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,WIN,343,3,3,0,0,0,1,0,0,1,0,1,0,0,6.1
True,2008-01-30,0,6,NEW ORLEANS HORNETS,HOME,GOLDEN STATE WARRIORS,LOSS,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2008-02-04,0,2,NEW ORLEANS HORNETS,AWAY,UTAH JAZZ,LOSS,491,0,1,0,0,0,0,0,3,1,0,0,1,0,-0.1
True,2008-02-09,2,2,NEW ORLEANS HORNETS,HOME,MEMPHIS GRIZZLIES,WIN,123,1,1,0,0,0,0,1,0,1,0,0,0,0,3.1
True,2008-02-20,2,-5,NEW ORLEANS HORNETS,HOME,DALLAS MAVERICKS,WIN,89,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2008-02-22,10,7,NEW ORLEANS HORNETS,HOME,HOUSTON ROCKETS,LOSS,438,5,6,0,0,0,2,1,0,0,0,0,0,0,7.7
True,2008-02-27,0,0,NEW ORLEANS HORNETS,HOME,PHOENIX SUNS,WIN,95,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2008-03-05,13,11,NEW ORLEANS HORNETS,HOME,ATLANTA HAWKS,WIN,1347,6,11,1,2,0,0,4,3,2,0,0,0,4,11.2
True,2008-03-07,20,6,NEW ORLEANS HORNETS,HOME,NEW JERSEY NETS,WIN,1762,8,9,1,1,3,4,1,7,1,2,0,0,2,21.2
True,2008-03-08,9,-2,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1700,4,8,1,2,0,0,2,0,2,1,0,1,0,7.8
True,2008-03-12,4,4,NEW ORLEANS HORNETS,HOME,SAN ANTONIO SPURS,WIN,1091,2,4,0,0,0,0,3,4,1,1,0,2,1,4.6
True,2008-03-14,9,-1,NEW ORLEANS HORNETS,HOME,LOS ANGELES LAKERS,WIN,1157,4,6,1,1,0,0,0,0,0,1,0,3,0,4.4
True,2008-03-16,10,-17,NEW ORLEANS HORNETS,AWAY,DETROIT PISTONS,LOSS,1290,4,12,0,3,2,2,1,4,1,4,0,0,1,9.4
True,2008-03-17,14,0,NEW ORLEANS HORNETS,HOME,CHICAGO BULLS,WIN,1127,6,8,1,1,1,1,1,3,0,0,1,1,4,10.5
True,2008-03-19,6,21,NEW ORLEANS HORNETS,HOME,HOUSTON ROCKETS,WIN,1411,3,5,0,0,0,2,1,3,3,0,0,0,3,5.4
True,2008-03-22,3,10,NEW ORLEANS HORNETS,HOME,BOSTON CELTICS,WIN,1045,1,3,1,1,0,0,0,0,2,2,1,1,1,4.0
True,2008-03-25,5,-2,NEW ORLEANS HORNETS,AWAY,INDIANA PACERS,WIN,1511,1,5,0,2,3,4,0,1,0,2,1,1,1,3.1
True,2008-03-26,0,2,NEW ORLEANS HORNETS,AWAY,CLEVELAND CAVALIERS,WIN,458,0,0,0,0,0,2,0,0,1,0,0,1,2,-1.9
True,2008-03-28,2,5,NEW ORLEANS HORNETS,AWAY,BOSTON CELTICS,LOSS,545,1,3,0,0,0,0,1,0,0,0,0,1,1,-0.4
True,2008-03-30,0,-6,NEW ORLEANS HORNETS,AWAY,TORONTO RAPTORS,WIN,620,0,1,0,0,0,0,0,3,0,0,0,2,0,-1.8
True,2008-04-01,2,-5,NEW ORLEANS HORNETS,AWAY,ORLANDO MAGIC,WIN,279,1,1,0,0,0,0,0,0,0,0,1,0,0,2.4
True,2008-04-02,11,21,NEW ORLEANS HORNETS,AWAY,MIAMI HEAT,WIN,1165,3,6,0,2,5,8,4,5,2,3,0,0,0,15.5
True,2008-04-04,4,-8,NEW ORLEANS HORNETS,HOME,NEW YORK KNICKS,WIN,379,2,6,0,1,0,0,0,0,0,1,0,0,1,1.2
True,2008-04-06,3,4,NEW ORLEANS HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,580,1,1,1,1,0,0,0,0,2,0,0,0,1,3.7
True,2008-04-08,3,10,NEW ORLEANS HORNETS,HOME,UTAH JAZZ,LOSS,930,1,2,1,1,0,0,0,1,3,1,0,3,0,2.4
True,2008-04-09,9,9,NEW ORLEANS HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1182,3,8,0,3,3,4,2,5,2,1,0,0,2,8.7
True,2008-04-11,3,-6,NEW ORLEANS HORNETS,AWAY,LOS ANGELES LAKERS,LOSS,373,1,1,1,1,0,0,0,0,1,1,0,0,1,4.0
True,2008-04-12,2,-5,NEW ORLEANS HORNETS,AWAY,SACRAMENTO KINGS,LOSS,361,1,1,0,0,0,0,0,1,1,1,0,0,0,3.7
True,2008-04-15,14,6,NEW ORLEANS HORNETS,HOME,LOS ANGELES CLIPPERS,WIN,1086,3,3,1,1,7,7,0,3,0,1,1,0,2,14.9
True,2008-04-16,4,0,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,LOSS,1156,1,2,0,0,2,2,1,1,1,0,1,3,3,1.2
