active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-10-29,0,3,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,184,0,2,0,0,0,0,0,0,0,1,0,0,0,-0.4
True,2008-11-01,8,-5,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,WIN,464,4,4,0,0,0,0,0,1,0,0,0,2,2,4.3
True,2008-11-03,3,1,DETROIT PISTONS,AWAY,CHARLOTTE BOBCATS,WIN,1014,1,6,0,0,1,2,4,5,2,2,1,0,2,6.4
True,2008-11-05,3,7,DETROIT PISTONS,AWAY,TORONTO RAPTORS,WIN,1067,1,4,0,0,1,1,1,3,0,0,0,0,1,1.8
True,2008-11-07,2,-1,DETROIT PISTONS,AWAY,NEW JERSEY NETS,LOSS,839,1,1,0,0,0,4,2,1,0,0,0,0,2,1.0
True,2008-11-09,2,-10,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,722,0,1,0,0,2,4,1,1,1,0,1,1,3,0.7
True,2008-11-11,5,5,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,WIN,984,2,4,0,0,1,3,1,0,0,0,2,1,2,2.5
True,2008-11-13,2,-8,DETROIT PISTONS,AWAY,GOLDEN STATE WARRIORS,WIN,564,1,3,0,0,0,0,2,1,0,0,1,1,2,0.9
True,2008-11-14,10,11,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,WIN,1706,4,5,0,0,2,3,1,9,3,1,1,2,3,11.7
True,2008-11-16,10,-1,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1231,4,4,0,0,2,4,1,2,0,0,1,0,4,8.4
True,2008-11-19,4,5,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,WIN,1105,1,2,0,0,2,3,0,2,1,1,0,2,2,2.1
True,2008-11-20,6,2,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1246,2,2,0,0,2,4,1,6,1,0,0,1,3,5.6
True,2008-11-23,2,-6,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,LOSS,882,1,3,0,0,0,0,0,3,1,0,1,2,3,-0.6
True,2008-11-26,1,2,DETROIT PISTONS,HOME,NEW YORK KNICKS,WIN,655,0,1,0,0,1,4,2,4,2,0,0,2,3,-0.1
