active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-10-29,12,-10,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,WIN,1917,5,12,2,5,0,2,1,1,3,3,0,4,3,5.7
True,2008-11-01,8,5,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,1921,3,14,0,2,2,2,0,5,6,0,0,1,2,3.3
True,2008-11-02,2,-1,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,LOSS,1789,0,10,0,3,2,2,0,3,6,0,0,5,1,-5.3
True,2008-11-05,11,7,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,2673,5,11,1,3,0,0,1,4,9,1,1,2,4,11.6
True,2008-11-07,11,-7,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,1535,4,8,3,4,0,0,0,2,4,1,0,1,0,10.4
True,2008-11-08,11,0,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2042,5,10,0,2,1,1,1,1,5,0,0,0,4,8.9
True,2008-11-11,15,-2,MINNESOTA TIMBERWOLVES,AWAY,GOLDEN STATE WARRIORS,LOSS,2326,7,19,0,6,1,2,2,2,8,2,1,1,6,11.0
True,2008-11-15,10,-5,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,LOSS,2013,5,14,0,1,0,0,1,3,2,0,0,3,2,1.4
True,2008-11-16,18,7,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,2343,7,15,1,3,3,3,0,5,6,1,1,2,6,13.3
True,2008-11-19,10,4,MINNESOTA TIMBERWOLVES,HOME,PHILADELPHIA 76ERS,WIN,2110,3,8,0,3,4,4,1,2,6,0,2,2,2,9.7
True,2008-11-21,4,-11,MINNESOTA TIMBERWOLVES,HOME,BOSTON CELTICS,LOSS,1740,2,12,0,3,0,0,0,2,1,1,0,2,4,-4.9
True,2008-11-23,23,25,MINNESOTA TIMBERWOLVES,AWAY,DETROIT PISTONS,WIN,2237,9,12,3,4,2,2,0,1,14,2,1,2,3,27.8
True,2008-11-26,17,-6,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,LOSS,2246,8,17,0,1,1,2,0,1,5,1,0,2,6,8.3
True,2008-11-28,4,6,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,1734,2,6,0,0,0,0,0,2,7,0,0,2,3,2.9
True,2008-11-29,25,-1,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,LOSS,2024,11,20,2,6,1,1,1,4,6,0,0,4,3,16.3
True,2008-12-01,23,-6,MINNESOTA TIMBERWOLVES,AWAY,CHARLOTTE BOBCATS,LOSS,2005,7,13,2,4,7,8,0,0,4,0,0,3,3,14.9
True,2008-12-03,13,-8,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,LOSS,2206,5,15,0,0,3,4,0,5,5,3,0,3,4,7.5
True,2008-12-05,20,-24,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,2062,5,13,0,2,10,10,0,3,5,0,0,5,2,11.5
True,2008-12-06,13,-9,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,1881,2,10,0,1,9,12,0,1,5,1,0,1,5,7.4
True,2008-12-09,17,-1,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,2212,4,11,1,4,8,8,1,2,4,2,0,2,5,13.0
True,2008-12-10,26,-16,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,2606,11,24,2,6,2,2,1,3,6,0,1,2,3,16.9
True,2008-12-12,19,1,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,2245,7,14,1,1,4,4,0,2,6,2,0,2,4,15.2
True,2008-12-14,5,-12,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,LOSS,1959,2,12,0,5,1,2,0,3,6,0,1,4,4,-2.8
True,2008-12-15,9,-5,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,1917,2,11,0,3,5,5,0,2,2,1,1,2,1,3.4
True,2008-12-17,7,-4,MINNESOTA TIMBERWOLVES,HOME,CLEVELAND CAVALIERS,LOSS,2131,3,8,0,2,1,2,0,4,3,3,0,1,0,7.5
True,2008-12-20,24,0,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,LOSS,1984,11,21,2,5,0,1,0,6,3,0,0,1,3,15.0
True,2008-12-23,26,-7,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,2653,9,17,2,5,6,7,1,15,1,0,0,3,4,18.6
True,2008-12-26,19,3,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,WIN,2004,8,15,1,4,2,2,0,2,2,1,0,2,4,11.1
True,2008-12-27,12,-22,MINNESOTA TIMBERWOLVES,HOME,ORLANDO MAGIC,LOSS,1877,5,15,0,1,2,3,1,2,2,3,1,4,3,4.3
True,2008-12-29,15,13,MINNESOTA TIMBERWOLVES,HOME,MEMPHIS GRIZZLIES,WIN,2392,4,8,0,1,7,7,0,6,5,1,2,1,5,15.7
True,2008-12-30,18,-16,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,2094,6,12,4,5,2,2,1,3,3,1,0,4,2,11.9
True,2009-01-02,17,12,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,WIN,1832,6,12,1,2,4,5,2,1,7,4,1,3,2,18.1
True,2009-01-03,21,5,MINNESOTA TIMBERWOLVES,AWAY,CHICAGO BULLS,WIN,2380,6,13,2,5,7,7,1,2,1,2,1,3,3,14.8
True,2009-01-06,23,6,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,WIN,2310,7,13,4,7,5,6,0,1,3,1,1,1,4,17.8
True,2009-01-07,32,28,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,WIN,1769,10,16,6,9,6,6,0,3,6,2,1,1,3,30.4
True,2009-01-10,11,-2,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,WIN,1806,4,12,2,4,1,1,0,2,2,0,0,1,3,4.0
True,2009-01-13,29,0,MINNESOTA TIMBERWOLVES,HOME,MIAMI HEAT,LOSS,2295,12,21,5,10,0,0,2,3,8,1,0,2,3,24.8
True,2009-01-16,15,1,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,WIN,2134,6,17,1,5,2,3,0,2,3,0,0,0,2,7.0
True,2009-01-19,17,11,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,WIN,2452,6,11,3,5,2,2,0,3,4,2,0,2,3,14.2
True,2009-01-20,19,-7,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,2303,7,13,2,6,3,5,0,0,1,1,0,1,2,11.8
True,2009-01-23,24,13,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS HORNETS,WIN,2419,7,19,4,8,6,7,1,4,8,1,1,0,1,21.9
True,2009-01-25,9,-3,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,2480,2,11,0,5,5,5,1,2,6,3,0,5,2,4.8
True,2009-01-26,12,2,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,WIN,2413,4,11,2,6,2,3,0,1,7,0,0,2,4,7.1
True,2009-01-28,15,-3,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,LOSS,2515,6,14,0,3,3,4,0,5,5,1,0,0,4,11.6
True,2009-01-30,27,-15,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,2219,8,20,2,5,9,9,1,2,5,0,1,3,4,17.1
True,2009-02-01,21,-2,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,2173,6,17,2,5,7,7,1,1,9,2,0,1,0,19.8
True,2009-02-03,19,4,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,WIN,2497,7,18,2,5,3,4,0,3,5,3,1,9,2,7.1
True,2009-02-04,15,-5,MINNESOTA TIMBERWOLVES,HOME,ATLANTA HAWKS,LOSS,2688,4,19,2,9,5,8,0,4,2,0,0,3,3,0.5
True,2009-02-07,10,-13,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,LOSS,2539,3,15,3,8,1,2,1,0,3,2,1,2,1,3.4
True,2009-02-08,10,-4,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS HORNETS,LOSS,2088,4,15,0,6,2,2,0,1,2,0,0,2,0,0.8
True,2009-02-10,33,1,MINNESOTA TIMBERWOLVES,HOME,TORONTO RAPTORS,LOSS,2384,11,22,3,6,8,8,0,8,2,1,1,1,2,25.7
True,2009-02-17,23,-12,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,LOSS,2480,9,21,0,4,5,6,2,2,4,1,0,2,3,14.1
True,2009-02-18,14,6,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,WIN,1498,6,12,2,4,0,0,0,2,4,0,0,1,4,8.8
True,2009-02-20,36,2,MINNESOTA TIMBERWOLVES,HOME,INDIANA PACERS,LOSS,2306,13,23,5,8,5,7,1,5,3,4,0,5,5,25.6
True,2009-02-22,16,1,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,2318,5,13,2,5,4,7,0,3,6,3,0,1,2,14.0
True,2009-02-24,25,-10,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,2389,8,16,5,9,4,4,1,1,1,0,0,2,1,16.3
True,2009-02-25,14,-9,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,2376,4,15,1,5,5,7,0,1,4,0,0,1,1,6.0
True,2009-02-27,13,-14,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,LOSS,1981,5,15,2,4,1,1,0,0,2,1,0,2,2,4.1
True,2009-03-01,24,-9,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,LOSS,2144,9,17,4,5,2,2,0,3,4,2,0,2,3,18.2
True,2009-03-03,19,-17,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,2181,5,19,1,10,8,8,1,3,2,1,1,1,2,10.6
True,2009-03-07,23,3,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1916,6,14,1,5,10,10,1,2,2,1,0,2,4,15.7
True,2009-03-09,15,-8,MINNESOTA TIMBERWOLVES,HOME,WASHINGTON WIZARDS,LOSS,2066,5,14,0,3,5,6,2,1,6,0,0,0,3,11.5
True,2009-03-14,9,9,MINNESOTA TIMBERWOLVES,HOME,CHARLOTTE BOBCATS,WIN,1871,3,8,1,2,2,2,0,3,5,0,1,2,2,6.9
True,2009-03-17,10,-2,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,2000,4,13,1,2,1,3,0,0,1,0,0,2,3,-0.8
True,2009-03-18,11,-2,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS HORNETS,LOSS,2443,4,12,1,4,2,2,2,2,4,1,0,3,4,5.4
True,2009-03-20,9,-17,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,LOSS,1966,3,11,1,2,2,2,0,1,5,0,3,3,2,4.6
True,2009-03-22,7,-26,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,LOSS,1377,3,6,1,3,0,0,1,0,2,1,0,2,4,3.5
True,2009-03-23,19,-15,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,1850,7,10,4,5,1,4,0,4,2,1,0,2,3,14.0
True,2009-03-25,8,-2,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,2131,1,10,1,5,5,5,0,1,4,0,0,2,2,1.7
