active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-10-29,0,-6,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,309,0,1,0,1,0,0,0,1,1,0,0,0,0,0.3
True,2008-11-03,12,3,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,WIN,478,4,5,4,5,0,0,0,1,2,0,0,1,1,10.4
True,2008-11-15,5,-1,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,WIN,428,2,4,1,2,0,0,0,1,1,0,0,0,0,4.0
True,2008-12-05,8,17,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,815,3,6,2,4,0,0,1,2,0,0,1,0,2,6.2
True,2008-12-06,13,2,PHILADELPHIA 76ERS,HOME,NEW JERSEY NETS,LOSS,948,5,7,3,5,0,0,2,3,1,1,0,1,2,12.3
True,2008-12-10,0,-2,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,356,0,3,0,2,0,0,0,0,0,0,0,0,0,-2.1
True,2008-12-12,0,-3,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,LOSS,360,0,1,0,1,0,0,0,2,0,0,0,0,1,-0.5
True,2008-12-26,0,0,PHILADELPHIA 76ERS,AWAY,DENVER NUGGETS,LOSS,343,0,3,0,1,0,0,0,1,0,0,1,0,0,-1.1
True,2009-01-07,0,-5,PHILADELPHIA 76ERS,AWAY,MILWAUKEE BUCKS,WIN,309,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.1
True,2009-01-16,3,2,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,WIN,230,1,1,1,1,0,0,0,1,0,0,0,0,1,2.6
True,2009-02-09,5,-1,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,WIN,217,2,3,1,2,0,0,1,2,0,0,1,0,0,5.7
True,2009-02-17,3,-8,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,LOSS,319,1,3,1,3,0,0,0,1,0,0,0,0,1,1.2
True,2009-03-11,0,-6,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,139,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2009-03-15,10,15,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,640,3,6,3,5,1,2,1,4,0,0,0,1,2,6.7
True,2009-03-17,9,12,PHILADELPHIA 76ERS,AWAY,LOS ANGELES LAKERS,WIN,601,3,3,3,3,0,0,0,0,3,2,0,0,2,11.4
True,2009-03-18,12,12,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,1200,4,6,3,5,1,2,0,1,2,0,0,0,4,9.1
True,2009-03-20,0,-6,PHILADELPHIA 76ERS,AWAY,GOLDEN STATE WARRIORS,LOSS,345,0,2,0,1,0,0,0,0,1,1,0,0,0,0.3
True,2009-03-25,0,3,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,213,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.8
True,2009-03-27,0,-6,PHILADELPHIA 76ERS,HOME,CHARLOTTE BOBCATS,LOSS,199,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2009-03-29,0,-1,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,LOSS,204,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2009-04-02,3,22,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,WIN,958,1,4,1,3,0,0,0,7,2,0,1,1,2,3.0
True,2009-04-04,0,8,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,410,0,1,0,1,0,0,0,2,0,0,0,1,0,-1.1
True,2009-04-05,4,-9,PHILADELPHIA 76ERS,AWAY,NEW JERSEY NETS,LOSS,290,2,3,0,1,0,0,1,0,0,0,0,1,2,1.6
True,2009-04-07,3,5,PHILADELPHIA 76ERS,AWAY,CHARLOTTE BOBCATS,LOSS,573,1,3,1,3,0,0,0,2,1,0,0,0,0,2.6
True,2009-04-09,4,-6,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,LOSS,447,1,3,1,2,1,2,0,0,1,0,0,0,0,2.6
