active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-10-29,0,-6,WASHINGTON WIZARDS,HOME,NEW JERSEY NETS,LOSS,529,0,4,0,0,0,0,1,1,0,0,1,1,0,-2.1
True,2008-11-05,9,-3,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,808,2,3,0,0,5,9,2,3,0,0,1,0,1,8.7
True,2008-11-07,12,-2,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,1777,5,8,0,0,2,5,1,9,0,1,2,2,2,10.2
True,2008-11-08,9,3,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,1038,4,9,0,0,1,3,1,5,0,0,0,2,2,2.9
True,2008-11-12,13,19,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,1625,4,5,0,0,5,8,6,5,0,1,3,1,5,15.7
True,2008-11-14,13,-10,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,1446,6,10,0,0,1,4,2,2,1,0,0,0,1,9.5
True,2008-11-18,7,4,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,1661,3,7,0,0,1,1,0,4,0,0,1,1,1,3.8
True,2008-11-19,5,0,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,LOSS,1350,2,4,0,0,1,2,3,2,0,1,0,0,0,6.3
True,2008-11-21,8,-9,WASHINGTON WIZARDS,HOME,HOUSTON ROCKETS,LOSS,1212,4,6,0,0,0,0,1,3,0,0,2,1,5,5.4
True,2008-11-22,9,-2,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,LOSS,514,4,8,0,0,1,1,1,2,0,0,0,0,3,5.1
True,2008-11-25,14,3,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,1225,7,15,0,0,0,0,4,1,2,1,1,1,4,9.9
True,2008-11-27,6,-1,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,984,2,6,0,0,2,2,2,5,0,1,1,1,5,4.2
True,2008-11-29,2,-14,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,LOSS,805,1,4,0,0,0,0,0,0,0,0,0,0,2,-1.2
True,2008-12-02,8,8,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,WIN,1458,4,9,0,0,0,1,2,3,0,0,3,0,4,5.7
True,2008-12-03,6,-10,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1066,3,7,0,0,0,0,2,5,0,2,3,0,4,7.7
True,2008-12-05,8,-17,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,538,3,6,0,0,2,2,2,0,0,0,0,2,1,4.0
True,2008-12-06,6,-1,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,659,3,4,0,0,0,0,0,0,0,0,4,0,2,6.4
True,2008-12-09,0,-8,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,289,0,2,0,0,0,0,0,0,0,0,0,0,1,-1.8
True,2008-12-11,11,-22,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,LOSS,1560,4,6,0,0,3,6,3,3,0,0,3,2,4,8.7
True,2008-12-13,0,-12,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,331,0,2,0,0,0,0,1,0,0,0,1,1,2,-1.8
True,2008-12-15,4,-7,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,537,0,1,0,0,4,4,1,0,0,0,2,0,1,5.0
True,2008-12-17,0,-3,WASHINGTON WIZARDS,AWAY,DETROIT PISTONS,LOSS,151,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
True,2008-12-19,3,-4,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,558,1,1,0,0,1,2,1,0,0,0,0,0,2,2.2
True,2008-12-21,2,-11,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,LOSS,728,0,0,0,0,2,4,1,2,0,1,0,1,0,2.5
True,2008-12-23,0,2,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,LOSS,535,0,2,0,0,0,0,1,2,1,1,1,0,2,1.5
True,2008-12-27,2,-2,WASHINGTON WIZARDS,HOME,OKLAHOMA CITY THUNDER,WIN,181,1,2,0,0,0,1,1,1,0,0,0,0,0,1.6
True,2008-12-29,0,3,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,WIN,174,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2008-12-30,1,-2,WASHINGTON WIZARDS,AWAY,NEW ORLEANS HORNETS,LOSS,312,0,2,0,0,1,2,2,2,0,0,0,0,0,1.2
True,2009-01-02,6,-9,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,653,3,6,0,0,0,1,0,0,0,1,0,1,1,2.2
True,2009-01-10,9,-12,WASHINGTON WIZARDS,HOME,CHARLOTTE BOBCATS,LOSS,1129,4,4,0,0,1,4,1,3,1,1,1,0,0,10.6
True,2009-01-12,2,-3,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,LOSS,833,1,2,0,0,0,0,1,0,0,1,1,1,0,2.4
True,2009-01-14,8,-8,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,LOSS,985,3,6,0,0,2,2,4,0,0,0,1,1,0,7.5
True,2009-01-16,2,2,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,WIN,248,1,1,0,0,0,0,0,1,0,0,1,0,1,2.3
True,2009-01-19,3,-7,WASHINGTON WIZARDS,AWAY,GOLDEN STATE WARRIORS,LOSS,292,1,1,0,0,1,2,0,1,0,0,0,0,0,2.6
True,2009-01-21,1,-5,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,665,0,1,0,0,1,2,1,5,0,0,0,1,2,0.3
True,2009-01-22,18,0,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1375,7,15,0,0,4,4,5,4,0,2,2,1,3,16.2
True,2009-01-24,0,-5,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,346,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.4
True,2009-01-26,6,-17,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,LOSS,1232,3,8,0,0,0,1,3,4,0,1,1,1,2,4.4
True,2009-01-28,2,-10,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,1037,1,4,0,0,0,0,2,4,0,0,1,2,2,0.1
True,2009-01-30,2,-11,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,825,0,1,0,0,2,2,3,3,0,0,2,1,3,3.5
True,2009-01-31,18,2,WASHINGTON WIZARDS,HOME,LOS ANGELES CLIPPERS,WIN,1453,8,15,0,0,2,3,5,4,1,1,1,0,5,15.4
True,2009-02-02,11,-21,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,LOSS,1578,5,10,0,0,1,1,4,3,0,2,2,0,5,11.1
True,2009-02-04,10,-6,WASHINGTON WIZARDS,HOME,NEW JERSEY NETS,LOSS,1368,4,7,0,0,2,2,3,2,1,0,0,1,3,7.9
True,2009-02-06,13,-14,WASHINGTON WIZARDS,HOME,DENVER NUGGETS,LOSS,1203,4,7,0,0,5,5,1,3,2,0,0,1,2,10.9
True,2009-02-08,3,2,WASHINGTON WIZARDS,HOME,INDIANA PACERS,WIN,1198,1,5,0,0,1,2,1,4,1,0,1,0,4,1.2
True,2009-02-10,18,-3,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,LOSS,1593,7,10,0,0,4,5,2,9,0,0,2,4,5,12.9
True,2009-02-11,8,-6,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,LOSS,1196,3,9,0,0,2,2,3,4,1,1,2,1,4,6.7
True,2009-02-17,4,-7,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,797,2,3,0,0,0,0,0,2,0,1,1,3,3,0.8
True,2009-02-20,3,-12,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,WIN,460,1,1,0,0,1,2,0,0,0,0,1,0,2,2.2
True,2009-02-21,2,-16,WASHINGTON WIZARDS,HOME,SAN ANTONIO SPURS,LOSS,778,1,7,0,0,0,0,1,2,0,0,2,0,0,0.2
True,2009-02-25,4,-1,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,346,2,4,0,0,0,0,1,0,0,0,0,0,2,1.9
True,2009-02-27,10,0,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,605,3,7,0,0,4,5,3,1,0,0,1,0,1,8.6
True,2009-02-28,8,-2,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,814,4,7,0,0,0,0,2,2,0,0,0,2,2,3.9
True,2009-03-02,14,-3,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,LOSS,1937,6,9,0,0,2,2,0,9,1,0,3,0,4,14.0
True,2009-03-04,4,0,WASHINGTON WIZARDS,AWAY,OKLAHOMA CITY THUNDER,LOSS,721,2,3,0,0,0,0,0,1,0,0,1,1,1,2.3
