active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-11-04,2,3,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,846,1,1,0,0,0,0,0,0,0,0,0,1,3,-0.5
True,2008-11-05,2,1,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1841,1,2,0,0,0,0,0,2,3,0,0,1,5,0.7
True,2008-11-07,0,-14,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,973,0,0,0,0,0,0,0,3,1,0,0,1,3,-0.6
True,2008-11-11,6,-2,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,1517,3,5,0,0,0,3,3,6,3,1,0,1,5,6.5
True,2008-11-12,1,2,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,LOSS,986,0,0,0,0,1,2,3,2,1,0,0,0,3,2.8
True,2008-11-14,4,-4,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,858,2,4,0,0,0,0,1,2,1,0,0,2,0,2.0
True,2008-11-16,2,7,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,WIN,1558,1,2,0,0,0,0,2,2,2,0,1,1,4,2.5
True,2008-11-17,0,-3,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,WIN,837,0,1,0,0,0,0,0,0,1,0,0,1,1,-1.4
True,2008-11-19,2,-7,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,891,1,1,0,0,0,1,1,1,3,0,0,1,2,2.6
True,2008-11-21,0,18,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,1355,0,1,0,0,0,0,3,2,3,0,0,1,2,2.3
True,2008-11-24,2,14,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1250,1,1,0,0,0,0,1,2,3,0,0,1,4,2.5
True,2008-11-26,5,-11,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,893,2,3,0,0,1,2,0,1,1,1,0,0,1,4.9
True,2008-11-28,4,-3,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,1383,2,4,0,0,0,0,1,3,3,0,0,2,1,3.3
True,2008-11-29,2,-13,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,LOSS,941,1,2,0,0,0,0,1,1,2,0,0,1,1,2.0
True,2008-12-02,2,-8,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,LOSS,866,1,2,0,0,0,0,1,1,1,0,0,1,1,1.3
True,2008-12-04,2,-3,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,WIN,702,1,2,0,0,0,0,3,0,4,0,0,0,1,5.5
True,2008-12-06,12,14,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,WIN,1436,3,5,0,0,6,8,2,4,2,0,0,1,2,11.1
True,2008-12-09,6,-7,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,459,2,2,0,0,2,2,0,2,0,0,0,0,1,5.6
True,2008-12-10,0,4,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,WIN,768,0,3,0,0,0,0,3,3,0,0,1,1,1,0.2
True,2008-12-12,1,1,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,620,0,2,0,0,1,2,2,1,2,0,2,1,0,2.7
True,2008-12-17,0,0,SAN ANTONIO SPURS,AWAY,NEW ORLEANS HORNETS,LOSS,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2009-01-02,0,-5,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,137,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2009-01-05,0,-2,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2009-01-08,2,2,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,WIN,309,1,1,0,0,0,0,2,0,0,0,0,0,1,2.7
True,2009-01-16,2,-5,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,LOSS,746,0,2,0,0,2,2,2,3,2,0,0,2,2,1.5
True,2009-01-17,2,-1,SAN ANTONIO SPURS,AWAY,CHICAGO BULLS,WIN,279,1,1,0,0,0,0,0,0,0,0,0,1,1,0.3
True,2009-01-19,2,1,SAN ANTONIO SPURS,AWAY,CHARLOTTE BOBCATS,WIN,128,1,2,0,0,0,0,1,0,0,0,1,0,1,2.0
True,2009-01-20,0,-5,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,851,0,4,0,0,0,0,5,0,1,0,0,1,3,-0.8
True,2009-01-23,0,0,SAN ANTONIO SPURS,HOME,NEW JERSEY NETS,WIN,380,0,0,0,0,0,0,2,0,0,0,0,1,1,0.0
True,2009-01-25,8,4,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1143,4,5,0,0,0,0,3,2,0,2,0,0,2,10.0
True,2009-01-27,4,-7,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,WIN,433,2,2,0,0,0,0,1,1,0,0,0,0,2,3.6
True,2009-01-31,2,-10,SAN ANTONIO SPURS,HOME,NEW ORLEANS HORNETS,WIN,344,1,1,0,0,0,0,0,1,0,0,0,1,1,0.6
True,2009-02-03,10,-5,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,1340,5,6,0,0,0,0,1,2,3,1,4,1,6,11.6
True,2009-02-08,2,2,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,WIN,62,1,1,0,0,0,0,1,1,0,0,0,0,0,2.7
