active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-10-29,11,-28,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,LOSS,1172,4,10,1,3,2,8,3,5,0,0,0,2,3,3.6
True,2008-10-31,20,-11,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,2428,7,16,2,6,4,7,0,7,1,0,0,3,5,8.2
True,2008-11-01,16,-8,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1804,4,11,0,0,8,8,1,6,2,0,1,2,0,12.5
True,2008-11-03,8,-11,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,1786,3,9,0,3,2,4,1,2,3,1,0,1,4,3.9
True,2008-11-05,18,-12,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,LOSS,1960,8,18,1,4,1,2,3,8,1,0,0,3,2,9.6
True,2008-11-07,0,-2,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,LOSS,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2008-11-12,12,6,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,1277,4,7,2,4,2,2,1,1,1,1,0,0,4,9.8
True,2008-11-15,6,-11,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,LOSS,703,2,5,0,0,2,2,0,2,1,1,0,1,4,3.0
True,2008-11-17,2,3,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,LOSS,721,1,7,0,0,0,0,3,0,0,0,0,2,2,-3.2
True,2008-11-19,2,-10,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,WIN,1056,1,7,0,0,0,1,2,1,1,0,0,0,2,-1.3
