active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-10-29,8,-3,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,LOSS,883,3,4,0,0,2,4,1,1,0,0,0,2,2,3.8
True,2008-10-31,6,4,MEMPHIS GRIZZLIES,HOME,ORLANDO MAGIC,WIN,1868,1,3,0,0,4,6,2,1,0,0,0,0,3,4.0
True,2008-11-01,18,-2,MEMPHIS GRIZZLIES,AWAY,CHICAGO BULLS,LOSS,2125,7,13,0,0,4,4,2,5,2,1,1,1,3,15.5
True,2008-11-03,9,13,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,1932,4,12,0,0,1,4,3,4,1,0,0,1,3,2.8
True,2008-11-05,8,-9,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1242,4,6,0,0,0,2,1,2,0,1,0,2,0,4.9
True,2008-11-07,19,9,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,2272,7,12,0,0,5,6,3,7,3,1,0,0,3,19.1
True,2008-11-09,6,-6,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,1228,1,5,0,0,4,5,0,1,1,0,1,1,3,2.0
True,2008-11-10,9,11,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1417,3,6,0,0,3,4,0,5,0,1,1,2,1,6.4
True,2008-11-12,6,-20,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,LOSS,994,2,7,0,0,2,2,3,5,0,0,0,0,0,5.5
True,2008-11-14,8,11,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,LOSS,1777,3,8,0,0,2,2,3,7,1,2,1,2,6,6.8
True,2008-11-18,21,10,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,2041,7,12,0,0,7,9,3,7,1,0,0,4,2,14.7
True,2008-11-21,4,0,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,1573,2,6,0,0,0,0,3,3,0,0,0,1,2,1.8
True,2008-11-22,4,-18,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,885,0,2,0,0,4,4,0,3,0,0,0,1,3,1.3
True,2008-11-24,3,-1,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,LOSS,407,1,4,0,0,1,2,0,0,0,0,0,1,1,-1.2
True,2008-11-26,8,-7,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,1365,4,6,0,0,0,4,1,4,1,1,0,5,5,0.4
True,2008-11-28,2,-10,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,546,1,3,0,0,0,0,0,0,0,0,1,0,1,0.6
True,2008-11-29,3,0,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,LOSS,935,1,1,0,0,1,2,0,1,0,2,0,0,0,4.6
True,2008-12-03,20,6,MEMPHIS GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,1545,8,12,0,0,4,5,1,1,1,2,0,0,3,16.9
True,2008-12-05,14,6,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,1663,5,10,0,0,4,4,1,3,0,2,1,0,0,13.3
True,2008-12-06,10,-15,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS HORNETS,LOSS,1023,4,8,0,0,2,3,0,3,2,0,1,2,2,5.8
True,2008-12-08,18,7,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,2087,6,12,0,0,6,11,2,6,1,0,2,2,4,11.7
True,2008-12-10,9,6,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,WIN,919,2,5,0,0,5,6,2,4,1,0,0,0,2,8.4
True,2008-12-12,21,9,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,WIN,1753,9,12,0,0,3,4,3,3,0,0,0,0,4,17.2
True,2008-12-14,4,-4,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,1287,1,5,0,1,2,2,0,5,1,1,0,2,3,0.9
True,2008-12-16,8,1,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS HORNETS,LOSS,1088,3,4,1,1,1,2,1,3,0,0,1,1,4,5.7
True,2008-12-19,9,-4,MEMPHIS GRIZZLIES,HOME,CHARLOTTE BOBCATS,LOSS,1145,3,6,0,0,3,4,1,3,0,0,0,0,0,7.2
