active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-10-28,6,-10,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,2129,2,4,0,1,2,2,0,2,2,0,0,1,0,5.0
True,2008-10-30,9,0,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,1800,3,8,2,6,1,2,1,5,2,2,1,1,2,8.7
True,2008-11-01,12,-2,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS HORNETS,LOSS,1637,4,6,4,5,0,0,0,4,0,0,0,2,4,7.0
True,2008-11-03,14,8,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2034,4,5,3,4,3,4,0,4,5,3,0,1,2,17.6
True,2008-11-05,16,20,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2234,6,12,3,6,1,1,0,3,3,1,0,0,3,12.8
True,2008-11-07,12,0,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2083,5,8,2,4,0,0,1,3,1,1,0,0,2,10.9
True,2008-11-08,2,11,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2012,1,4,0,2,0,0,0,2,1,0,0,3,3,-3.3
True,2008-11-11,11,16,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,2295,5,7,1,3,0,0,2,1,5,0,1,2,2,11.2
True,2008-11-13,8,15,CLEVELAND CAVALIERS,HOME,DENVER NUGGETS,WIN,2011,3,7,2,4,0,0,0,1,4,0,0,2,4,3.8
True,2008-11-15,12,30,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,2475,4,11,3,8,1,2,1,4,4,0,0,2,2,7.4
True,2008-11-18,16,13,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,WIN,1836,6,9,4,4,0,0,0,5,1,2,0,1,3,14.1
True,2008-11-19,11,-3,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,2025,4,9,1,2,2,2,0,2,1,0,1,2,5,4.3
True,2008-11-22,19,16,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,2103,7,12,2,6,3,3,0,2,5,0,0,1,2,15.7
True,2008-11-25,16,19,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,1982,7,14,1,7,1,2,1,2,1,3,0,0,1,13.2
True,2008-11-26,8,29,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,1647,4,6,0,1,0,2,0,5,10,0,0,0,2,12.3
True,2008-11-28,13,22,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,WIN,1791,4,12,1,4,4,4,2,3,3,2,1,0,2,12.5
True,2008-11-29,8,-2,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,WIN,1713,3,6,2,4,0,0,1,4,5,1,0,2,2,8.6
True,2008-12-03,12,11,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1677,4,11,0,4,4,4,0,3,1,3,0,3,2,6.7
True,2008-12-05,14,31,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1931,4,12,4,6,2,2,1,1,7,3,0,1,2,14.3
True,2008-12-06,8,31,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,WIN,1734,3,8,2,4,0,0,0,1,1,1,0,2,2,2.8
True,2008-12-09,6,27,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,2000,2,9,0,5,2,2,1,1,8,4,0,0,2,10.3
True,2008-12-10,9,-1,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,2205,4,9,1,5,0,0,0,2,3,1,0,0,0,8.0
True,2008-12-12,16,15,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,2226,6,16,2,7,2,2,0,3,2,2,0,3,1,8.1
True,2008-12-13,11,-19,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,2381,5,19,1,4,0,0,0,2,5,3,0,2,1,4.4
True,2008-12-17,21,21,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2449,9,16,0,2,3,3,0,2,5,2,0,1,1,18.1
True,2008-12-19,22,26,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,WIN,2064,8,13,2,5,4,4,1,2,4,2,0,1,4,19.6
True,2008-12-21,18,7,CLEVELAND CAVALIERS,AWAY,OKLAHOMA CITY THUNDER,WIN,2038,8,12,2,3,0,0,1,1,4,2,1,0,3,18.1
True,2008-12-23,10,-3,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,WIN,1232,3,8,1,3,3,3,0,2,4,0,0,2,1,6.6
True,2008-12-25,18,-2,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2416,6,18,5,11,1,2,0,1,7,3,1,0,0,16.3
True,2008-12-28,11,5,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,2192,2,9,1,4,6,7,1,3,4,4,1,1,3,12.0
True,2008-12-30,20,-12,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,2371,8,16,4,9,0,1,1,2,3,2,0,2,3,13.8
True,2009-01-02,14,20,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1861,6,11,2,4,0,0,0,3,3,2,0,0,3,12.5
True,2009-01-04,6,-5,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,2158,2,8,1,5,1,2,0,2,0,0,0,0,1,1.0
True,2009-01-07,7,30,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,2046,3,5,0,1,1,1,1,4,7,3,1,1,1,13.8
True,2009-01-09,8,22,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,2538,3,8,2,2,0,0,0,1,2,2,0,1,1,5.9
True,2009-01-13,19,11,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,WIN,1902,7,9,3,3,2,2,0,6,4,1,0,2,2,18.3
True,2009-01-15,11,10,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,631,5,7,1,1,0,0,0,3,2,0,0,0,0,10.4
True,2009-02-22,25,21,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,1992,8,11,5,5,4,4,1,4,4,1,0,1,3,24.0
True,2009-02-26,4,-17,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,LOSS,1729,2,8,0,1,0,0,0,3,1,0,1,3,0,-1.5
True,2009-02-27,17,20,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,WIN,1645,6,9,0,2,5,7,3,4,5,2,1,5,6,14.4
